accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,1047.8,,,0.0,1047.8,0.342,,118,,,"(None, None)","(None, None)",,,53.1178878,-86.8564417,,,,"(None, None)","(None, None)",,,0.342,,,,,26,,2021-02-19 17:30:00,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1047.4,,,3.13,1047.4,0.694,,114,,,"(None, None)","(None, None)",,,53.117873,-86.8564677,,,,"(None, None)","(None, None)",,,0.694,,,,,26,,2021-02-19 17:30:02,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1047.0,,,4.21,1047.0,0.898,,112,,,"(None, None)","(None, None)",,,53.1178634,-86.8564796,,,,"(None, None)","(None, None)",,,0.898,,,,,26,,2021-02-19 17:30:03,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1046.4,,,6.36,1046.4,0.991,,110,,,"(None, None)","(None, None)",,,53.1178472,-86.8565031,,,,"(None, None)","(None, None)",,,0.991,,,,,26,,2021-02-19 17:30:05,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1045.6,,,7.69,1045.6,0.973,,108,,,"(None, None)","(None, None)",,,53.1178375,-86.8565121,,,,"(None, None)","(None, None)",,,0.973,,,,,26,,2021-02-19 17:30:07,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1045.2,,,9.36,1045.2,0.749,,109,,,"(None, None)","(None, None)",,,53.1178215,-86.856521,,,,"(None, None)","(None, None)",,,0.749,,,,,26,,2021-02-19 17:30:09,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1045.2,,,12.49,1045.2,0.749,,110,,,"(None, None)","(None, None)",,,53.1177874,-86.8565361,,,,"(None, None)","(None, None)",,,0.749,,,,,26,,2021-02-19 17:30:10,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1044.8,,,19.89,1044.8,1.914,,111,,,"(None, None)","(None, None)",,,53.1177109,-86.8565792,,,,"(None, None)","(None, None)",,,1.914,,,,,26,,2021-02-19 17:30:13,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1044.4,,,20.69,1044.4,1.914,,112,,,"(None, None)","(None, None)",,,53.1177032,-86.8565835,,,,"(None, None)","(None, None)",,,1.914,,,,,26,,2021-02-19 17:30:14,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
,,1044.2,,,20.89,1044.2,1.112,,113,,,"(None, None)","(None, None)",,,53.1177032,-86.8565855,,,,"(None, None)","(None, None)",,,1.112,,,,,26,,2021-02-19 17:30:15,,,,,,,,,,300,,2021,2,19,17,0.81,277.0
