distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0.0,6.162,3,50.5092668,-84.8109435,6.162,2022-03-02 20:27:32,,,,,,,,,,,,,,2022,3,2,20,3.96,133.0
3.46,5.803,3,50.509297,-84.8109145,5.803,2022-03-02 20:27:33,88.0,85.0,67.0,24.0,52.0,86.0,329.0,22.0,92.0,,,,,2022,3,2,20,3.96,133.0
7.56,5.536,3,50.5093346,-84.810884,5.536,2022-03-02 20:27:34,,86.0,64.0,24.0,56.0,86.0,361.0,22.0,92.0,16.0,,,,2022,3,2,20,3.96,133.0
13.39,5.675,3,50.5093904,-84.8108461,5.675,2022-03-02 20:27:35,,87.0,65.0,24.0,60.0,86.0,393.0,22.0,92.0,16.0,,,,2022,3,2,20,3.96,133.0
19.74,6.241,3,50.5094473,-84.8107954,6.241,2022-03-02 20:27:36,,88.0,65.0,24.0,55.0,86.0,399.0,22.0,92.0,16.0,,,,2022,3,2,20,3.96,133.0
26.94,6.925,3,50.5095066,-84.8107295,6.925,2022-03-02 20:27:37,,90.0,66.0,24.0,50.0,86.0,403.0,22.0,92.0,16.0,,,,2022,3,2,20,3.96,133.0
35.18,7.783,3,50.5095674,-84.8106427,7.783,2022-03-02 20:27:38,,94.0,68.0,24.5,45.0,87.5,393.0,23.5,93.0,16.0,,,,2022,3,2,20,3.96,133.0
43.81,8.214,3,50.5096315,-84.8105524,8.214,2022-03-02 20:27:39,,104.0,70.0,27.0,48.0,93.5,327.0,28.0,95.0,15.0,,,,2022,3,2,20,3.96,133.0
52.98,8.621,3,50.5096951,-84.8104512,8.621,2022-03-02 20:27:40,,102.0,73.0,27.5,54.0,96.0,275.0,27.0,91.5,15.0,,,,2022,3,2,20,3.96,133.0
62.21,8.706,3,50.5097574,-84.8103472,8.706,2022-03-02 20:27:41,,100.0,74.0,28.0,60.0,98.0,222.0,25.5,88.0,15.0,,,,2022,3,2,20,3.96,133.0
71.25,8.71,3,50.5098185,-84.8102457,8.71,2022-03-02 20:27:42,,97.0,74.0,28.5,63.0,99.5,179.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
80.38,8.897,3,50.5098809,-84.810144,8.897,2022-03-02 20:27:43,,92.0,74.0,28.5,63.0,99.5,181.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
89.57,8.447,3,50.5099372,-84.8100347,8.447,2022-03-02 20:27:44,,85.0,76.0,28.5,62.0,99.5,228.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
99.34,9.025,3,50.5099964,-84.8099178,9.025,2022-03-02 20:27:45,,78.0,77.0,28.5,61.0,99.5,275.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
109.68,9.729,3,50.5100598,-84.809795,9.729,2022-03-02 20:27:46,,71.0,79.0,28.5,60.0,99.5,323.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
120.1,10.132,3,50.5101287,-84.8096763,10.132,2022-03-02 20:27:47,,70.0,80.0,28.5,57.0,99.5,351.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
130.27,9.68,3,50.5102006,-84.8095654,9.68,2022-03-02 20:27:48,,71.0,81.0,28.5,53.0,99.5,369.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
140.44,10.192,3,50.5102736,-84.809456,10.192,2022-03-02 20:27:49,,73.0,80.0,28.5,49.0,99.5,388.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
150.74,10.193,3,50.5103486,-84.8093463,10.193,2022-03-02 20:27:50,,79.0,80.0,28.5,46.0,99.5,336.0,25.0,86.0,15.0,,,,2022,3,2,20,3.96,133.0
161.08,10.348,3,50.5104234,-84.8092357,10.348,2022-03-02 20:27:51,,82.0,81.0,28.5,45.0,97.0,298.0,25.0,87.5,15.0,,,,2022,3,2,20,3.96,133.0
171.11,10.15,3,50.5104955,-84.8091277,10.15,2022-03-02 20:27:52,,84.0,83.0,28.0,46.0,93.0,271.0,25.5,90.5,15.0,,,,2022,3,2,20,3.96,133.0
181.37,10.217,3,50.5105687,-84.8090168,10.217,2022-03-02 20:27:53,,85.0,84.0,28.0,46.0,89.0,243.0,26.0,93.0,15.0,,,,2022,3,2,20,3.96,133.0
191.23,10.088,3,50.5106397,-84.8089107,10.088,2022-03-02 20:27:54,,89.0,86.0,27.0,46.0,82.5,234.0,25.0,90.0,15.0,6.0,6.0,,2022,3,2,20,3.96,133.0
200.72,9.754,3,50.5107059,-84.8088064,9.754,2022-03-02 20:27:55,,95.0,88.0,25.0,46.0,77.0,256.0,23.0,79.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
211.02,9.874,3,50.5107726,-84.8086874,9.874,2022-03-02 20:27:56,,95.0,88.0,28.0,46.0,86.5,322.0,20.5,69.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
221.44,10.304,3,50.5108389,-84.808566,10.304,2022-03-02 20:27:57,,87.0,88.0,25.0,46.0,86.0,253.0,23.0,74.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
232.07,10.6,3,50.5109065,-84.8084421,10.6,2022-03-02 20:27:58,,93.0,89.0,13.0,46.0,76.0,548.0,31.0,97.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
242.58,10.499,3,50.5109797,-84.8083263,10.499,2022-03-02 20:27:59,,99.0,89.0,24.5,46.0,87.0,196.0,25.0,93.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
252.74,10.224,3,50.5110504,-84.8082144,10.224,2022-03-02 20:28:00,,97.0,91.0,20.5,44.0,82.5,147.0,24.0,88.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
262.54,9.77,3,50.5111174,-84.8081049,9.77,2022-03-02 20:28:01,,94.0,92.0,16.5,42.0,78.0,99.0,22.5,82.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
271.86,9.134,3,50.5111822,-84.808002,9.134,2022-03-02 20:28:02,,92.0,93.0,12.5,40.0,73.5,50.0,21.0,77.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
280.91,8.909,3,50.5112459,-84.8079032,8.909,2022-03-02 20:28:03,,29.0,92.0,10.5,39.0,71.0,206.0,20.0,74.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
290.39,8.965,3,50.5113127,-84.8077995,8.965,2022-03-02 20:28:04,,39.0,89.0,16.0,46.0,78.0,229.0,15.0,81.0,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
299.96,9.093,3,50.5113806,-84.8076956,9.093,2022-03-02 20:28:05,,58.0,90.0,22.0,53.0,85.5,229.0,9.5,88.0,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
309.35,8.997,3,50.5114483,-84.8075948,8.997,2022-03-02 20:28:06,,77.0,91.0,28.0,59.0,92.5,230.0,4.5,94.5,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
318.54,8.854,3,50.5115169,-84.807499,8.854,2022-03-02 20:28:07,,86.0,91.0,31.0,65.0,94.5,211.0,2.5,99.5,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
327.57,8.83,3,50.5115847,-84.8074058,8.83,2022-03-02 20:28:08,,60.0,91.0,21.0,65.0,75.5,118.0,14.0,96.5,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
336.5,8.57,3,50.5116518,-84.8073132,8.57,2022-03-02 20:28:09,,33.0,90.0,11.0,65.0,56.5,25.0,26.0,93.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
345.52,8.585,3,50.511717,-84.8072169,8.585,2022-03-02 20:28:10,,28.0,90.0,27.5,65.0,76.0,112.0,9.5,84.0,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
354.51,8.639,3,50.5117808,-84.8071192,8.639,2022-03-02 20:28:11,,54.0,91.0,30.0,54.0,78.0,149.0,10.0,75.0,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
363.42,8.701,3,50.5118441,-84.8070223,8.701,2022-03-02 20:28:12,,86.0,90.0,21.0,50.0,66.5,125.0,21.5,69.5,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
372.26,8.607,3,50.5119071,-84.8069265,8.607,2022-03-02 20:28:13,,86.0,91.0,20.5,72.0,66.0,109.0,20.5,68.0,15.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
381.21,8.39,3,50.5119704,-84.8068291,8.39,2022-03-02 20:28:14,,84.0,91.0,20.0,84.0,66.5,105.0,20.5,68.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
389.82,8.399,3,50.5120302,-84.8067341,8.399,2022-03-02 20:28:15,,70.0,92.0,20.0,57.0,68.5,145.0,22.5,76.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
398.37,8.461,3,50.5120925,-84.8066432,8.461,2022-03-02 20:28:16,,76.0,92.0,25.5,50.0,79.5,212.0,20.0,69.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
407.21,8.693,3,50.5121595,-84.8065525,8.693,2022-03-02 20:28:17,,83.0,92.0,29.5,50.0,87.5,227.0,18.0,62.5,15.0,6.199999999999989,6.199999999999989,0.0,2022,3,2,20,3.96,133.0
416.05,8.642,3,50.5122289,-84.8064653,8.642,2022-03-02 20:28:18,,84.0,92.0,29.5,50.0,87.5,174.0,18.0,62.5,15.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
424.92,8.475,3,50.5122994,-84.8063789,8.475,2022-03-02 20:28:19,,84.0,91.0,29.5,50.0,87.5,146.0,18.0,62.5,15.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
433.4,8.459,3,50.5123687,-84.8062991,8.459,2022-03-02 20:28:20,,84.0,92.0,29.5,49.0,87.5,145.0,18.0,62.5,14.0,6.0,6.0,-0.37,2022,3,2,20,3.96,133.0
442.08,8.51,3,50.5124391,-84.8062168,8.51,2022-03-02 20:28:21,,84.0,92.0,29.5,49.0,87.0,151.0,18.0,61.5,14.0,6.0,6.0,-0.4,2022,3,2,20,3.96,133.0
450.68,8.462,3,50.5125087,-84.8061349,8.462,2022-03-02 20:28:22,,84.0,91.0,29.0,52.0,85.0,140.0,17.0,57.5,14.0,6.0,6.0,-0.04,2022,3,2,20,3.96,133.0
458.69,7.693,3,50.5125724,-84.8060571,7.693,2022-03-02 20:28:23,,84.0,90.0,27.5,54.0,81.0,120.0,16.5,54.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
466.02,6.209,3,50.5126295,-84.805984,6.209,2022-03-02 20:28:24,,84.0,90.0,23.5,54.0,72.5,71.0,16.5,54.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
472.02,5.659,3,50.5126754,-84.805923,5.659,2022-03-02 20:28:25,,84.0,90.0,19.5,54.0,64.0,22.0,16.5,54.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
477.66,5.433,3,50.5127158,-84.8058624,5.433,2022-03-02 20:28:26,,72.0,91.0,16.0,57.0,53.0,51.0,14.5,47.5,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
483.37,5.679,3,50.5127564,-84.8058006,5.679,2022-03-02 20:28:27,,56.0,91.0,12.5,62.0,41.0,111.0,11.5,38.0,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
489.64,6.553,3,50.5128088,-84.8057441,6.553,2022-03-02 20:28:28,,40.0,92.0,8.5,66.0,29.0,171.0,8.5,28.5,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
496.91,7.599,3,50.5128753,-84.8056887,7.599,2022-03-02 20:28:29,,24.0,93.0,5.0,71.0,17.0,231.0,5.5,18.5,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
505.04,8.205,3,50.5129488,-84.8056256,8.205,2022-03-02 20:28:30,,60.0,92.0,18.5,71.0,76.0,605.0,23.0,81.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
513.43,8.226,3,50.5130213,-84.8055534,8.226,2022-03-02 20:28:31,,87.0,91.0,22.0,71.0,92.5,642.0,28.0,98.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
521.66,8.213,3,50.5130907,-84.8054795,8.213,2022-03-02 20:28:32,,112.0,91.0,22.0,71.0,92.5,353.0,28.0,98.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
529.97,8.118,3,50.5131575,-84.8054003,8.118,2022-03-02 20:28:33,,113.0,92.0,23.0,45.0,87.0,202.0,27.0,97.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
538.2,7.98,3,50.513216,-84.805311,7.98,2022-03-02 20:28:34,,113.0,91.0,24.5,18.0,81.0,57.0,25.5,97.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
546.44,7.905,3,50.5132727,-84.8052195,7.905,2022-03-02 20:28:35,,96.0,92.0,29.0,21.0,83.0,41.0,24.5,90.0,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
554.62,8.005,3,50.5133336,-84.8051342,8.005,2022-03-02 20:28:36,,79.0,93.0,33.5,24.0,85.5,26.0,23.0,83.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
562.76,7.938,3,50.5133973,-84.8050535,7.938,2022-03-02 20:28:37,,61.0,92.0,38.0,28.0,88.0,11.0,22.0,76.0,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
570.99,7.989,3,50.513461,-84.804971,7.989,2022-03-02 20:28:38,,0.0,91.0,41.5,31.0,89.5,0.0,21.0,70.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
579.05,7.825,3,50.5135247,-84.8048919,7.825,2022-03-02 20:28:39,,0.0,90.0,41.5,34.0,89.5,0.0,21.0,70.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
587.04,7.784,3,50.5135877,-84.8048133,7.784,2022-03-02 20:28:40,,5.0,91.0,35.5,43.0,83.5,98.0,13.5,81.0,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
595.15,7.964,3,50.5136501,-84.8047315,7.964,2022-03-02 20:28:41,,11.0,91.0,29.0,53.0,77.5,182.0,6.0,92.0,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
603.39,8.315,3,50.5137142,-84.8046492,8.315,2022-03-02 20:28:42,,31.0,90.0,25.0,58.0,75.0,252.0,5.5,98.0,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
612.1,8.583,3,50.5137819,-84.8045622,8.583,2022-03-02 20:28:43,,94.0,89.0,26.5,49.0,84.5,278.0,29.0,89.5,14.0,5.800000000000011,5.800000000000011,0.0,2022,3,2,20,3.96,133.0
620.67,8.302,3,50.5138488,-84.8044769,8.302,2022-03-02 20:28:44,,98.0,90.0,26.5,49.0,84.5,165.0,29.0,89.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
628.83,7.59,3,50.5139121,-84.8043953,7.59,2022-03-02 20:28:45,,99.0,90.0,24.0,50.0,77.5,102.0,25.0,86.5,14.0,6.0,6.0,0.0,2022,3,2,20,3.96,133.0
