altitude,enhanced_altitude,timestamp,battery_soc,cadence,distance,enhanced_speed,gps_accuracy,grade,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,year,month,day,hour,wind_speed,wind_direction
-16.600000000000023,-16.600000000000023,2022-03-06 16:49:12,65.0,105.0,0.0,9.266,2.0,1.47,106.0,25.5,45.0,81.0,50.5110643,-84.8083864,228.0,24.0,91.0,9.266,16.0,2022,3,6,16,3.91,87.0
-16.600000000000023,-16.600000000000023,2022-03-06 16:49:13,65.0,100.0,10.37,9.397,2.0,1.23,105.0,24.5,45.0,81.5,50.5111327,-84.8082679,271.0,24.5,87.0,9.397,16.0,2022,3,6,16,3.91,87.0
-16.600000000000023,-16.600000000000023,2022-03-06 16:49:14,65.0,96.0,20.25,9.751,2.0,0.7,104.0,23.5,45.0,81.5,50.5111998,-84.8081572,317.0,24.5,83.5,9.751,16.0,2022,3,6,16,3.91,87.0
-16.80000000000001,-16.80000000000001,2022-03-06 16:49:15,64.5,92.0,30.33,9.73,2.0,0.12,104.0,23.5,45.0,81.5,50.5112673,-84.8080432,384.0,24.5,83.5,9.73,16.0,2022,3,6,16,3.91,87.0
-16.80000000000001,-16.80000000000001,2022-03-06 16:49:16,64.5,94.0,40.63,10.182,2.0,0.0,103.0,23.5,45.0,81.5,50.5113332,-84.8079234,409.0,24.5,83.5,10.182,16.0,2022,3,6,16,3.91,87.0
-16.80000000000001,-16.80000000000001,2022-03-06 16:49:17,64.5,97.0,51.36,10.557,2.0,-0.29,104.0,23.5,47.0,81.5,50.5114024,-84.8077992,420.0,24.5,83.5,10.557,16.0,2022,3,6,16,3.91,87.0
-17.0,-17.0,2022-03-06 16:49:18,64.5,100.0,62.39,10.709,2.0,-0.75,104.0,24.0,49.0,83.0,50.5114745,-84.8076724,421.0,25.0,84.5,10.709,16.0,2022,3,6,16,3.91,87.0
-17.19999999999999,-17.19999999999999,2022-03-06 16:49:19,64.5,105.0,73.42,11.039,2.0,-0.96,104.0,26.0,49.0,94.0,50.511544,-84.8075431,391.0,27.5,92.0,11.039,16.0,2022,3,6,16,3.91,87.0
-17.19999999999999,-17.19999999999999,2022-03-06 16:49:20,64.0,108.0,84.55,10.979,2.0,-1.03,104.0,24.0,49.0,88.0,50.5116142,-84.8074128,300.0,27.5,92.0,10.979,16.0,2022,3,6,16,3.91,87.0
-17.399999999999977,-17.399999999999977,2022-03-06 16:49:21,64.0,104.0,95.96,11.102,2.0,-0.88,105.0,27.5,49.0,90.0,50.5116927,-84.8072859,281.0,26.0,94.5,11.102,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:22,64.0,102.0,107.18,10.884,2.0,-0.81,105.0,27.0,49.0,88.0,50.5117653,-84.8071564,158.0,26.0,95.0,10.884,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:23,,102.0,117.77,10.223,2.0,-0.93,105.0,24.5,47.0,80.0,50.5118387,-84.8070392,116.0,27.5,94.5,10.223,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:24,,102.0,127.72,9.588,2.0,-0.84,105.0,21.5,46.0,72.0,50.5119074,-84.8069288,75.0,29.0,94.5,9.588,16.0,2022,3,6,16,3.91,87.0
-17.399999999999977,-17.399999999999977,2022-03-06 16:49:25,,102.0,137.94,9.573,2.0,-0.67,104.0,19.0,44.0,64.0,50.5119797,-84.8068176,33.0,30.5,94.0,9.573,16.0,2022,3,6,16,3.91,87.0
-17.399999999999977,-17.399999999999977,2022-03-06 16:49:26,,39.0,147.7,9.443,2.0,-0.36,104.0,12.0,44.0,52.5,50.512046,-84.806708,85.0,23.5,76.5,9.443,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:27,,51.0,157.45,9.459,2.0,-0.06,103.0,17.5,66.0,63.5,50.5121155,-84.8066026,184.0,20.5,74.0,9.459,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:28,,74.0,166.89,9.481,2.0,-0.18,104.0,20.5,60.0,71.5,50.512182,-84.8064994,250.0,20.0,74.5,9.481,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:29,,88.0,176.86,9.52,2.0,-0.5,104.0,20.5,44.0,73.5,50.5122562,-84.8063953,220.0,20.0,74.5,9.52,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:30,,87.0,186.2,9.561,2.0,-0.73,104.0,20.5,50.0,73.5,50.5123293,-84.8063027,75.0,20.0,74.5,9.561,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:31,,79.0,196.17,9.746,2.0,-0.86,103.0,21.5,46.0,73.5,50.512405,-84.8062006,123.0,21.0,76.5,9.746,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:32,,70.0,205.54,9.843,2.0,-0.85,104.0,22.5,43.0,73.5,50.512477,-84.8061059,171.0,22.0,78.5,9.843,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:33,,62.0,215.81,9.971,2.0,-0.49,103.0,23.0,40.0,73.5,50.5125558,-84.8060019,219.0,22.5,80.5,9.971,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:34,,58.0,225.88,10.167,2.0,-0.09,106.0,24.0,37.0,74.0,50.5126319,-84.8058983,297.0,23.5,82.0,10.167,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:35,,94.0,235.95,10.482,2.0,0.0,105.0,25.0,37.0,81.0,50.5127102,-84.8057978,634.0,23.0,78.5,10.482,16.0,2022,3,6,16,3.91,87.0
-18.19999999999999,-18.19999999999999,2022-03-06 16:49:36,,105.0,246.85,10.734,2.0,0.0,104.0,25.0,37.0,82.0,50.5127912,-84.8056838,621.0,23.0,78.0,10.734,16.0,2022,3,6,16,3.91,87.0
-18.19999999999999,-18.19999999999999,2022-03-06 16:49:37,,110.0,257.85,10.918,2.0,-0.18,104.0,25.0,37.0,82.0,50.5128704,-84.8055655,449.0,23.0,78.0,10.918,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:38,,113.0,268.68,10.941,2.0,-0.24,104.0,25.0,37.0,82.0,50.5129509,-84.8054525,241.0,23.0,78.5,10.941,16.0,2022,3,6,16,3.91,87.0
-18.0,-18.0,2022-03-06 16:49:39,,112.0,279.82,10.936,2.0,-0.06,105.0,24.0,41.0,79.5,50.5130386,-84.8053428,220.0,23.0,81.5,10.936,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:40,,111.0,290.79,10.947,2.0,0.0,104.0,22.5,45.0,77.5,50.5131267,-84.8052373,199.0,23.0,85.0,10.947,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:41,,106.0,301.33,10.929,2.0,0.0,105.0,19.5,46.0,68.0,50.5132126,-84.8051379,182.0,23.5,81.0,10.929,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:42,,102.0,312.77,10.773,2.0,0.2,106.0,17.0,46.0,61.5,50.5133044,-84.805028,171.0,23.5,77.5,10.773,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:43,,100.0,323.56,10.635,2.0,0.43,106.0,17.0,46.0,61.5,50.5133938,-84.8049285,158.0,23.5,77.5,10.635,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:44,,100.0,334.3,10.633,2.0,0.27,106.0,17.0,46.0,61.5,50.5134816,-84.8048276,171.0,23.5,77.5,10.633,16.0,2022,3,6,16,3.91,87.0
-17.80000000000001,-17.80000000000001,2022-03-06 16:49:45,,100.0,345.08,10.588,2.0,0.05,105.0,17.0,46.0,61.5,50.5135656,-84.8047203,171.0,23.5,77.5,10.588,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:46,,99.0,355.72,10.352,2.0,0.0,104.0,17.0,46.0,61.5,50.5136505,-84.8046172,163.0,23.5,77.5,10.352,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:47,,98.0,366.09,10.308,2.0,0.22,104.0,17.0,47.0,61.5,50.5137314,-84.804514,162.0,23.5,77.5,10.308,16.0,2022,3,6,16,3.91,87.0
-17.600000000000023,-17.600000000000023,2022-03-06 16:49:48,,96.0,376.39,10.177,2.0,0.28,104.0,17.0,49.0,61.5,50.5138093,-84.8044082,177.0,23.5,77.5,10.177,16.0,2022,3,6,16,3.91,87.0
-17.399999999999977,-17.399999999999977,2022-03-06 16:49:49,,96.0,386.54,10.063,2.0,0.3,104.0,17.5,51.0,64.0,50.5138875,-84.8043057,174.0,23.5,77.5,10.063,16.0,2022,3,6,16,3.91,87.0
