battery_soc,heart_rate,timestamp,temperature,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,enhanced_speed,gps_accuracy,position_lat,position_long,speed,distance,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,105.0,2022-03-11 18:33:13,15.0,81.0,15.5,37.0,52.5,57.0,16.0,54.5,0.0,6.0,50.5168054,-84.805186,0.0,,,,,2022,3,11,18,3.74,286.0
,105.0,2022-03-11 18:33:14,15.0,81.0,14.5,37.0,49.0,49.0,16.0,53.5,0.0,6.0,50.5168191,-84.8052406,0.0,0.0,,,,2022,3,11,18,3.74,286.0
,104.0,2022-03-11 18:33:18,15.0,27.0,13.5,100.0,45.0,24.0,15.5,52.5,3.539,5.0,50.5168873,-84.8055137,3.539,0.26,,,,2022,3,11,18,3.74,286.0
,105.0,2022-03-11 18:33:19,15.0,30.0,17.5,95.0,54.0,17.0,15.0,51.0,2.362,5.0,50.5169055,-84.8055501,2.362,3.05,,,,2022,3,11,18,3.74,286.0
,104.0,2022-03-11 18:33:20,15.0,33.0,22.0,90.0,63.5,10.0,14.5,49.0,1.254,5.0,50.5169328,-84.8055501,1.254,5.44,,,,2022,3,11,18,3.74,286.0
,103.0,2022-03-11 18:33:21,15.0,35.0,27.0,85.0,73.0,4.0,14.0,47.0,1.344,5.0,50.5169556,-84.805541,1.344,7.81,,,,2022,3,11,18,3.74,286.0
,103.0,2022-03-11 18:33:22,15.0,0.0,29.5,80.0,79.0,0.0,13.5,46.0,1.316,5.0,50.5169783,-84.805541,1.316,9.58,,,,2022,3,11,18,3.74,286.0
,105.0,2022-03-11 18:33:23,15.0,0.0,29.5,75.0,79.0,0.0,13.5,46.0,1.767,5.0,50.5170057,-84.805541,1.767,12.24,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:24,15.0,0.0,29.5,70.0,79.0,0.0,13.5,46.0,2.116,5.0,50.5170193,-84.8055592,2.116,13.97,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:25,15.0,0.0,29.5,65.0,79.0,0.0,13.5,46.0,3.576,5.0,50.5170375,-84.8055956,3.576,17.31,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:26,15.0,14.0,29.5,58.0,85.5,431.0,9.0,54.5,4.506,5.0,50.5170557,-84.8056502,4.506,21.47,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:27,15.0,46.0,28.5,50.0,98.5,514.0,4.0,75.0,4.988,5.0,50.5170739,-84.805723,4.988,26.52,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:28,15.0,63.0,24.0,51.0,97.5,501.0,29.5,95.5,6.292,5.0,50.5171012,-84.8058049,6.292,32.75,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:29,15.0,79.0,23.0,51.0,91.5,470.0,23.5,97.5,7.28,5.0,50.5171649,-84.8058869,7.28,40.94,,,,2022,3,11,18,3.74,286.0
,109.0,2022-03-11 18:33:30,15.0,89.0,23.5,53.0,90.5,523.0,21.5,94.5,8.407,5.0,50.5172423,-84.8059779,8.407,50.34,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:31,15.0,100.0,25.5,52.0,92.0,477.0,20.0,90.5,9.026,4.0,50.5173197,-84.8060689,9.026,60.27,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:32,15.0,104.0,32.0,44.0,97.5,311.0,18.0,84.5,8.797,4.0,50.517397,-84.806169,8.797,70.18,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:33,15.0,100.0,31.0,48.0,99.5,248.0,19.5,81.5,9.022,4.0,50.517479,-84.8062601,9.022,79.93,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:34,15.0,100.0,31.0,48.0,99.5,234.0,19.5,81.5,9.128,4.0,50.5175518,-84.8063511,9.128,89.38,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:35,15.0,100.0,29.5,48.0,94.5,271.0,21.5,81.0,8.964,4.0,50.5176292,-84.8064603,8.964,99.42,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:36,15.0,101.0,28.5,48.0,91.5,271.0,22.5,81.0,8.993,4.0,50.517702,-84.8065604,8.993,109.17,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:37,15.0,102.0,28.5,48.0,91.5,229.0,22.5,81.0,9.201,4.0,50.5177793,-84.8066514,9.201,119.04,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:38,15.0,103.0,28.0,48.0,90.0,213.0,22.5,81.0,9.529,4.0,50.5178704,-84.8067334,9.529,129.1,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:39,15.0,103.0,25.0,48.0,82.5,211.0,22.5,82.0,9.432,4.0,50.5179295,-84.806788,9.432,135.85,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:40,15.0,103.0,22.5,48.0,74.5,209.0,22.5,83.0,8.976,4.0,50.5180615,-84.806879,8.976,149.75,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:41,15.0,103.0,25.0,48.0,81.5,247.0,24.0,82.5,8.637,4.0,50.5181571,-84.8069336,8.637,159.36,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:42,15.0,101.0,27.5,48.0,89.0,287.0,25.0,82.0,9.092,4.0,50.5182618,-84.8069791,9.092,169.6,,,,2022,3,11,18,3.74,286.0
,106.0,2022-03-11 18:33:43,15.0,99.0,27.5,48.0,89.0,306.0,25.0,82.0,8.826,4.0,50.5183573,-84.8070246,8.826,179.17,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:44,15.0,98.0,27.5,48.0,89.0,290.0,25.0,82.0,8.826,4.0,50.5184575,-84.8070702,8.826,188.82,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:45,15.0,98.0,27.5,48.0,89.0,234.0,25.0,82.0,8.859,4.0,50.5185621,-84.8071157,8.859,198.92,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:46,15.0,98.0,27.5,48.0,89.0,238.0,25.0,82.0,8.381,4.0,50.5186532,-84.8071612,8.381,207.94,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:47,15.0,97.0,25.5,48.0,83.0,218.0,23.5,78.0,8.637,4.0,50.5187442,-84.8071976,8.637,216.94,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:48,15.0,97.0,21.5,48.0,71.5,195.0,21.0,69.5,8.628,4.0,50.5188306,-84.8072431,8.628,225.56,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:49,15.0,97.0,19.5,48.0,70.5,183.0,20.0,67.5,8.545,4.0,50.5189217,-84.8072795,8.545,234.34,,,,2022,3,11,18,3.74,286.0
,109.0,2022-03-11 18:33:50,15.0,96.0,19.0,48.0,68.5,167.0,20.0,67.0,8.504,4.0,50.5190172,-84.807325,8.504,243.73,,,,2022,3,11,18,3.74,286.0
,110.0,2022-03-11 18:33:51,15.0,96.0,19.0,48.0,65.5,150.0,20.5,67.0,8.377,4.0,50.5191083,-84.8073614,8.377,252.73,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:52,15.0,96.0,18.5,48.0,62.5,133.0,20.5,67.5,8.013,4.0,50.5191993,-84.8073978,8.013,261.53,,,,2022,3,11,18,3.74,286.0
,108.0,2022-03-11 18:33:53,15.0,96.0,18.5,48.0,59.5,115.0,21.0,67.5,8.016,4.0,50.5192858,-84.8074342,8.016,269.7,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:54,15.0,69.0,22.5,48.0,77.5,247.0,20.5,65.5,8.396,4.0,50.5193813,-84.8074889,8.396,280.27,,,,2022,3,11,18,3.74,286.0
,107.0,2022-03-11 18:33:55,15.0,75.0,23.0,48.0,82.5,290.0,22.5,74.0,8.385,6.0,50.5195224,-84.8079258,8.385,313.49,,,,2022,3,11,18,3.74,286.0
