battery_soc,cadence,distance,enhanced_speed,gps_accuracy,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
41.0,38,0.0,4.171,4,124,20.0,48.0,61.5,50.5093244,-84.8112199,193,21.0,78.5,4.171,2022-03-20 22:19:57,,,,,2022,3,20,22,4.72,126.0
,41,2.95,4.421,4,124,20.0,49.0,61.5,50.5093462,-84.811189,158,21.0,78.5,4.421,2022-03-20 22:19:58,,,,,2022,3,20,22,4.72,126.0
,44,6.22,4.607,4,124,20.0,50.0,61.5,50.5093734,-84.8111607,126,21.0,78.5,4.607,2022-03-20 22:19:59,,,,,2022,3,20,22,4.72,126.0
,45,10.67,4.714,4,123,20.0,50.0,61.5,50.5094189,-84.811142,142,21.0,78.5,4.714,2022-03-20 22:20:00,24.0,,,,2022,3,20,22,4.72,126.0
,45,15.81,4.974,4,123,20.0,51.0,61.5,50.509472,-84.8111254,158,21.0,78.5,4.974,2022-03-20 22:20:01,23.0,,,,2022,3,20,22,4.72,126.0
,46,20.59,4.965,4,123,20.0,51.0,61.5,50.5095145,-84.8110877,187,21.0,78.5,4.965,2022-03-20 22:20:02,23.0,,,,2022,3,20,22,4.72,126.0
,46,26.0,5.449,4,123,20.0,52.0,61.5,50.5095576,-84.8110355,220,21.0,78.5,5.449,2022-03-20 22:20:03,23.0,,,,2022,3,20,22,4.72,126.0
,47,31.54,6.037,4,124,20.0,52.0,65.5,50.5096073,-84.8109914,240,21.0,79.5,6.037,2022-03-20 22:20:04,23.0,,,,2022,3,20,22,4.72,126.0
,49,37.29,6.39,4,125,20.5,52.0,72.0,50.5096597,-84.8109473,250,21.0,81.0,6.39,2022-03-20 22:20:05,23.0,,,,2022,3,20,22,4.72,126.0
,50,43.46,6.655,4,124,20.5,52.0,79.0,50.5097123,-84.8108936,260,20.5,82.5,6.655,2022-03-20 22:20:06,23.0,,,,2022,3,20,22,4.72,126.0
,51,49.33,6.418,4,124,21.0,52.0,85.5,50.509754,-84.8108306,270,20.5,84.0,6.418,2022-03-20 22:20:07,23.0,,,,2022,3,20,22,4.72,126.0
,53,54.27,6.103,4,124,20.5,49.0,85.0,50.5097802,-84.8107687,232,20.5,84.0,6.103,2022-03-20 22:20:08,23.0,,,,2022,3,20,22,4.72,126.0
,56,59.32,5.893,4,125,20.0,45.0,82.0,50.5098132,-84.8107109,182,20.0,83.0,5.893,2022-03-20 22:20:09,23.0,,,,2022,3,20,22,4.72,126.0
,58,64.87,5.848,4,125,20.0,41.0,80.0,50.5098535,-84.8106516,140,20.0,82.0,5.848,2022-03-20 22:20:10,23.0,,,,2022,3,20,22,4.72,126.0
,61,70.45,6.019,4,124,25.0,41.0,86.0,50.5098936,-84.8105915,224,20.0,74.0,6.019,2022-03-20 22:20:11,23.0,,,,2022,3,20,22,4.72,126.0
,67,76.66,6.091,4,124,27.5,41.0,89.0,50.5099423,-84.8105305,254,20.0,70.5,6.091,2022-03-20 22:20:12,23.0,,,,2022,3,20,22,4.72,126.0
,70,82.18,6.234,4,124,25.5,41.0,85.0,50.5099896,-84.8104823,235,22.5,77.5,6.234,2022-03-20 22:20:13,23.0,,,,2022,3,20,22,4.72,126.0
,71,88.27,6.422,4,124,22.5,41.0,78.5,50.5100424,-84.8104307,214,27.0,89.5,6.422,2022-03-20 22:20:14,23.0,,,,2022,3,20,22,4.72,126.0
,72,94.45,6.539,4,122,24.5,41.0,86.0,50.5101013,-84.8103898,207,26.5,92.0,6.539,2022-03-20 22:20:15,23.0,,,,2022,3,20,22,4.72,126.0
