battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
29.0,1.64,2.371,5,50.5086116,-84.8133681,2.371,2022-03-21 19:39:11,,,,,,,,,,,,2022,3,21,19,2.33,121.0
,3.67,2.524,5,50.5085971,-84.81339,2.524,2022-03-21 19:39:12,45.0,29.0,26.0,99.0,18.0,23.0,75.0,,,,,2022,3,21,19,2.33,121.0
,7.54,3.239,5,50.5085674,-84.8134291,3.239,2022-03-21 19:39:13,32.0,29.0,26.0,99.0,83.0,23.0,75.0,,,,,2022,3,21,19,2.33,121.0
,14.8,3.792,5,50.5085081,-84.8134958,3.792,2022-03-21 19:39:14,20.0,29.0,26.0,99.0,148.0,23.0,75.0,22.0,,,,2022,3,21,19,2.33,121.0
,28.02,4.761,4,50.5083946,-84.8136085,4.761,2022-03-21 19:39:15,37.0,29.0,26.0,99.0,278.0,23.0,75.0,22.0,,,,2022,3,21,19,2.33,121.0
,35.97,5.327,4,50.5083421,-84.8136991,5.327,2022-03-21 19:39:16,63.0,28.5,32.0,98.0,386.0,23.5,78.0,22.0,,,,2022,3,21,19,2.33,121.0
,46.43,5.466,4,50.5082658,-84.8138101,5.466,2022-03-21 19:39:17,66.0,27.5,46.0,95.0,348.0,24.5,84.0,22.0,,,,2022,3,21,19,2.33,121.0
,57.84,5.532,4,50.508181,-84.8139284,5.532,2022-03-21 19:39:18,69.0,26.0,61.0,92.5,311.0,25.5,90.5,22.0,,,,2022,3,21,19,2.33,121.0
,65.64,5.576,4,50.5081328,-84.8140206,5.576,2022-03-21 19:39:19,72.0,25.0,75.0,90.0,273.0,26.0,96.5,22.0,,,,2022,3,21,19,2.33,121.0
,73.01,5.915,4,50.5080807,-84.8141004,5.915,2022-03-21 19:39:20,77.0,24.5,79.0,89.0,276.0,26.5,98.5,22.0,,,,2022,3,21,19,2.33,121.0
