altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,grade,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,heart_rate,year,month,day,hour,wind_speed,wind_direction
-17.0,0.0,-17.0,4.408,2,50.5080598,-84.8131765,4.408,2022-03-25 18:07:40,,,,,,,,,,,,2022,3,25,18,1.32,99.0
-16.80000000000001,4.29,-16.80000000000001,4.362,2,50.5080381,-84.8132309,4.362,2022-03-25 18:07:41,25.0,0.0,,,,,,,,,,2022,3,25,18,1.32,99.0
-16.80000000000001,8.58,-16.80000000000001,4.316,2,50.5080163,-84.8132853,4.316,2022-03-25 18:07:42,,0.71,59.0,9.0,13.0,33.5,37.0,14.5,46.5,,,2022,3,25,18,1.32,99.0
-16.80000000000001,12.55,-16.80000000000001,3.776,2,50.5080062,-84.8133412,3.776,2022-03-25 18:07:43,,1.75,56.0,9.0,13.0,33.5,41.0,14.5,46.5,,,2022,3,25,18,1.32,99.0
-16.600000000000023,17.21,-16.600000000000023,4.313,2,50.508022,-84.8134051,4.313,2022-03-25 18:07:44,,1.9,45.0,12.0,35.0,43.0,223.0,17.0,53.5,,,2022,3,25,18,1.32,99.0
-16.600000000000023,22.35,-16.600000000000023,4.324,2,50.5080555,-84.8134642,4.324,2022-03-25 18:07:45,,1.68,46.0,13.5,43.0,47.0,217.0,18.0,56.5,18.0,,2022,3,25,18,1.32,99.0
-16.600000000000023,27.43,-16.600000000000023,4.28,2,50.5080796,-84.8135301,4.28,2022-03-25 18:07:46,,1.54,53.0,13.5,44.0,47.0,100.0,18.0,56.5,18.0,,2022,3,25,18,1.32,99.0
-16.600000000000023,30.94,-16.600000000000023,3.795,2,50.5080718,-84.8135798,3.795,2022-03-25 18:07:47,,0.74,56.0,14.5,44.0,49.5,62.0,17.0,59.0,18.0,,2022,3,25,18,1.32,99.0
-16.600000000000023,34.51,-16.600000000000023,3.559,2,50.50806,-84.813629,3.559,2022-03-25 18:07:48,,0.03,57.0,16.0,45.0,53.0,67.0,16.0,63.0,18.0,,2022,3,25,18,1.32,99.0
-16.399999999999977,37.45,-16.399999999999977,2.294,2,50.5080343,-84.8136534,2.294,2022-03-25 18:07:49,,0.0,57.0,17.5,45.0,56.5,71.0,15.0,67.0,18.0,,2022,3,25,18,1.32,99.0
-16.399999999999977,40.26,-16.399999999999977,1.161,2,50.5080043,-84.8136577,1.161,2022-03-25 18:07:50,,0.0,57.0,18.0,47.0,58.0,65.0,14.5,68.5,18.0,,2022,3,25,18,1.32,99.0
