battery_soc,cadence,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,altitude,distance,enhanced_altitude,grade,temperature,year,month,day,hour,wind_speed,wind_direction
17.0,83,6.53,3,24.0,51.0,90.5,50.5129279,-84.864223,324,25.5,92.0,6.53,2022-03-30 20:45:04,,,,,,2022,3,30,20,3.99,338.0
,83,6.311,3,24.5,50.0,90.5,50.5129279,-84.8641684,297,27.0,93.5,6.311,2022-03-30 20:45:05,37.60000000000002,0.0,37.60000000000002,,,2022,3,30,20,3.99,338.0
,83,6.123,3,25.0,49.0,90.0,50.5129279,-84.8641138,269,28.0,95.0,6.123,2022-03-30 20:45:06,37.60000000000002,4.38,37.60000000000002,0.0,,2022,3,30,20,3.99,338.0
,81,6.164,3,24.0,47.0,91.5,50.5129279,-84.8640228,317,28.5,93.5,6.164,2022-03-30 20:45:07,37.60000000000002,10.42,37.60000000000002,0.0,,2022,3,30,20,3.99,338.0
,81,6.505,3,23.5,46.0,92.5,50.5129233,-84.8639226,288,28.5,92.5,6.505,2022-03-30 20:45:08,37.60000000000002,17.09,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,82,6.466,3,23.5,46.0,92.5,50.5129188,-84.8638316,270,28.5,92.5,6.466,2022-03-30 20:45:09,37.60000000000002,23.57,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,82,6.444,3,23.5,45.0,92.5,50.5129188,-84.8637315,255,28.5,92.5,6.444,2022-03-30 20:45:10,37.60000000000002,30.32,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,81,6.659,3,23.5,40.0,90.0,50.5129188,-84.8636314,257,26.0,92.5,6.659,2022-03-30 20:45:11,37.60000000000002,37.26,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,74,6.778,3,25.5,43.0,92.0,50.5129233,-84.8635312,207,26.0,89.5,6.778,2022-03-30 20:45:12,37.60000000000002,44.32,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,75,6.844,3,23.5,46.0,83.5,50.5129233,-84.8634311,162,27.0,91.0,6.844,2022-03-30 20:45:13,37.60000000000002,51.51,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,76,7.136,3,18.5,44.0,72.0,50.5129279,-84.8633219,134,29.0,96.0,7.136,2022-03-30 20:45:14,37.60000000000002,58.81,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,77,7.489,3,17.0,44.0,65.5,50.5129324,-84.8632127,119,25.0,85.0,7.489,2022-03-30 20:45:15,37.60000000000002,66.34,37.60000000000002,0.0,11.0,2022,3,30,20,3.99,338.0
,77,7.548,3,17.0,44.0,65.5,50.5129415,-84.8631034,99,25.0,85.0,7.548,2022-03-30 20:45:16,37.39999999999998,73.95,37.39999999999998,-0.07,11.0,2022,3,30,20,3.99,338.0
,75,7.715,3,17.0,44.0,65.5,50.5129506,-84.8629942,122,25.0,85.0,7.715,2022-03-30 20:45:17,37.200000000000045,81.71,37.200000000000045,-0.68,11.0,2022,3,30,20,3.99,338.0
,74,7.835,3,17.0,46.0,65.5,50.5129597,-84.8628759,124,24.5,83.5,7.835,2022-03-30 20:45:18,37.0,89.61,37.0,-1.26,11.0,2022,3,30,20,3.99,338.0
,74,7.924,3,17.5,50.0,65.5,50.5129688,-84.8627666,123,23.0,80.5,7.924,2022-03-30 20:45:19,36.799999999999955,97.46,36.799999999999955,-1.6,11.0,2022,3,30,20,3.99,338.0
