heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,battery_soc,cadence,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
112,24.5,45.0,96.0,231,20.5,68.5,2022-04-04 19:23:29,,94.0,22.0,0.0,7.693,3.0,50.5095988,-84.8104703,7.693,,,,2022,4,4,19,2.44,341.0
113,24.5,47.0,96.0,242,20.5,68.5,2022-04-04 19:23:30,,93.0,22.0,3.85,7.52,3.0,50.5096226,-84.8104247,7.52,,,,2022,4,4,19,2.44,341.0
112,24.5,50.0,96.0,239,20.5,68.5,2022-04-04 19:23:31,,93.0,22.0,7.7,7.347,3.0,50.5096464,-84.810379,7.347,,,,2022,4,4,19,2.44,341.0
112,24.5,51.0,96.0,244,20.5,68.5,2022-04-04 19:23:32,,93.0,22.0,16.57,7.567,3.0,50.5097082,-84.8102814,7.567,,,,2022,4,4,19,2.44,341.0
113,24.5,52.0,96.0,248,20.5,68.5,2022-04-04 19:23:33,,93.0,22.0,24.75,8.133,3.0,50.5097546,-84.8101809,8.133,,,,2022,4,4,19,2.44,341.0
113,24.5,53.0,96.0,253,20.5,68.5,2022-04-04 19:23:34,,93.0,22.0,33.92,7.898,3.0,50.5098054,-84.8100671,7.898,,,,2022,4,4,19,2.44,341.0
112,24.5,53.0,96.0,214,20.5,68.5,2022-04-04 19:23:35,,93.0,22.0,44.34,7.665,3.0,50.5098844,-84.8099603,7.665,,,,2022,4,4,19,2.44,341.0
112,24.5,53.0,96.0,151,20.5,68.5,2022-04-04 19:23:36,,93.0,22.0,53.89,7.233,3.0,50.5099645,-84.809874,7.233,,,,2022,4,4,19,2.44,341.0
112,16.5,55.0,92.5,155,21.0,69.0,2022-04-04 19:23:37,,86.0,22.0,62.96,7.28,3.0,50.5100413,-84.8097932,7.28,,,,2022,4,4,19,2.44,341.0
112,4.0,58.0,87.0,194,21.5,69.5,2022-04-04 19:23:38,,75.0,22.0,74.2,7.522,3.0,50.5101454,-84.8097109,7.522,,,,2022,4,4,19,2.44,341.0
111,12.5,59.0,81.5,212,19.5,65.5,2022-04-04 19:23:39,,81.0,22.0,83.13,7.963,3.0,50.5102172,-84.8096252,7.963,,,,2022,4,4,19,2.44,341.0
111,24.0,59.0,78.5,280,17.5,62.0,2022-04-04 19:23:40,,91.0,22.0,91.7,8.8,3.0,50.5102882,-84.8095463,8.8,,,,2022,4,4,19,2.44,341.0
111,28.0,55.0,93.0,304,23.5,82.5,2022-04-04 19:23:41,,93.0,22.0,100.1,8.417,3.0,50.5103562,-84.8094664,8.417,,,,2022,4,4,19,2.44,341.0
111,26.0,48.0,85.5,278,22.5,81.0,2022-04-04 19:23:42,,94.0,22.0,108.56,8.524,3.0,50.5104292,-84.8093934,8.524,,,,2022,4,4,19,2.44,341.0
110,26.5,50.0,87.0,266,23.0,79.5,2022-04-04 19:23:43,,94.0,22.0,116.19,7.859,3.0,50.510489,-84.8093179,7.859,,,,2022,4,4,19,2.44,341.0
109,28.0,52.0,90.5,254,24.0,80.0,2022-04-04 19:23:44,,93.0,22.0,123.0,7.207,3.0,50.510532,-84.8092381,7.207,,,,2022,4,4,19,2.44,341.0
109,29.5,52.0,91.5,243,24.5,80.5,2022-04-04 19:23:45,,93.0,22.0,130.93,7.593,3.0,50.5105869,-84.8091503,7.593,,,,2022,4,4,19,2.44,341.0
109,27.0,52.0,86.0,236,23.0,77.0,2022-04-04 19:23:46,,93.0,22.0,139.41,8.268,3.0,50.5106585,-84.8090746,8.268,,,,2022,4,4,19,2.44,341.0
109,24.5,52.0,81.0,228,21.5,73.5,2022-04-04 19:23:47,,93.0,22.0,147.39,8.115,3.0,50.5107214,-84.808996,8.115,,,,2022,4,4,19,2.44,341.0
109,22.0,47.0,74.5,183,21.5,72.0,2022-04-04 19:23:48,,93.0,22.0,158.52,10.319,3.0,50.5108314,-84.8089334,10.319,,,,2022,4,4,19,2.44,341.0
108,21.0,47.0,72.0,196,22.5,74.5,2022-04-04 19:23:49,95.0,93.0,22.0,166.35,8.566,3.0,50.5108932,-84.8088563,8.566,,,,2022,4,4,19,2.44,341.0
108,22.0,53.0,74.5,263,22.0,73.5,2022-04-04 19:23:50,,91.0,22.0,174.61,8.244,3.0,50.510953,-84.8087681,8.244,,,,2022,4,4,19,2.44,341.0
107,26.0,53.0,89.0,313,19.0,62.0,2022-04-04 19:23:51,,90.0,22.0,183.0,8.343,3.0,50.5110087,-84.8086726,8.343,,,,2022,4,4,19,2.44,341.0
106,30.0,53.0,94.0,287,23.5,75.0,2022-04-04 19:23:52,,90.0,21.0,190.78,7.958,3.0,50.5110561,-84.8085799,7.958,,,,2022,4,4,19,2.44,341.0
106,32.5,52.0,96.5,281,26.5,83.5,2022-04-04 19:23:53,,89.0,21.0,198.7,7.944,3.0,50.5111076,-84.8084887,7.944,,,,2022,4,4,19,2.44,341.0
107,34.0,51.0,97.5,285,28.5,90.0,2022-04-04 19:23:54,,89.0,21.0,207.01,8.233,3.0,50.511169,-84.8084013,8.233,,,,2022,4,4,19,2.44,341.0
107,34.5,50.0,99.0,283,29.5,93.5,2022-04-04 19:23:55,,89.0,21.0,221.19,12.663,4.0,50.5111796,-84.8081968,12.663,,,,2022,4,4,19,2.44,341.0
106,32.5,50.0,97.0,261,30.0,94.0,2022-04-04 19:23:56,,90.0,21.0,231.09,10.573,4.0,50.5112489,-84.8080886,10.573,,,,2022,4,4,19,2.44,341.0
106,25.0,50.0,84.5,188,32.0,97.5,2022-04-04 19:23:57,,92.0,21.0,240.72,9.897,4.0,50.5113195,-84.8079867,9.897,,,,2022,4,4,19,2.44,341.0
105,21.0,50.0,72.0,185,27.5,88.0,2022-04-04 19:23:58,,94.0,21.0,249.6,9.137,4.0,50.5113822,-84.8078897,9.137,,,,2022,4,4,19,2.44,341.0
108,18.5,50.0,65.0,198,24.5,82.0,2022-04-04 19:23:59,,95.0,21.0,258.73,9.097,4.0,50.5114579,-84.8078059,9.097,,,,2022,4,4,19,2.44,341.0
112,18.5,50.0,65.0,202,24.5,82.0,2022-04-04 19:24:00,,96.0,21.0,266.76,8.823,4.0,50.5115172,-84.8077215,8.823,,,,2022,4,4,19,2.44,341.0
116,18.5,50.0,65.0,176,24.5,82.0,2022-04-04 19:24:01,,96.0,21.0,277.02,8.302,4.0,50.511601,-84.8076251,8.302,,,,2022,4,4,19,2.44,341.0
121,18.5,34.0,65.0,226,24.5,82.0,2022-04-04 19:24:02,,98.0,21.0,284.85,8.214,4.0,50.5116591,-84.807543,8.214,,,,2022,4,4,19,2.44,341.0
125,18.5,25.0,65.0,275,24.5,82.0,2022-04-04 19:24:03,,95.0,21.0,293.01,8.214,4.0,50.5117184,-84.807456,8.214,,,,2022,4,4,19,2.44,341.0
126,18.5,31.0,65.0,302,24.5,82.0,2022-04-04 19:24:04,,91.0,21.0,301.1,8.123,4.0,50.511782,-84.8073764,8.123,,,,2022,4,4,19,2.44,341.0
125,18.5,46.0,65.0,310,24.5,82.0,2022-04-04 19:24:05,,90.0,21.0,309.44,8.31,4.0,50.5118471,-84.8072936,8.31,,,,2022,4,4,19,2.44,341.0
125,18.5,50.0,65.0,305,24.5,82.0,2022-04-04 19:24:06,,89.0,21.0,317.63,8.211,4.0,50.5119126,-84.8072142,8.211,,,,2022,4,4,19,2.44,341.0
