battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,87,26.5,49.0,90.5,147,23.0,82.0,2022-04-07 17:11:55,17.0,0.0,0.0,8.0,50.5139455,-84.8052786,0.0,,,,2022,4,7,17,6.05,56.0
,87,23.5,48.0,86.0,112,24.0,83.0,2022-04-07 17:11:56,17.0,0.0,0.0,7.0,50.5139689,-84.8052516,0.0,,,,2022,4,7,17,6.05,56.0
,81,16.5,54.0,51.5,522,21.0,65.5,2022-04-07 17:12:06,17.0,2.13,6.963,5.0,50.5145232,-84.8041499,6.963,,,,2022,4,7,17,6.05,56.0
,85,16.5,54.0,51.5,436,21.0,65.5,2022-04-07 17:12:07,17.0,9.15,7.207,4.0,50.514579,-84.8042183,7.207,,,,2022,4,7,17,6.05,56.0
,88,16.5,54.0,51.5,373,21.0,65.5,2022-04-07 17:12:08,17.0,16.24,7.21,4.0,50.5146328,-84.8042908,7.21,,,,2022,4,7,17,6.05,56.0
,88,16.5,54.0,51.5,409,21.0,65.5,2022-04-07 17:12:09,17.0,23.5,7.206,4.0,50.5146831,-84.8043709,7.206,,,,2022,4,7,17,6.05,56.0
,89,16.5,54.0,51.5,402,21.0,65.5,2022-04-07 17:12:10,17.0,30.89,7.394,4.0,50.5147347,-84.8044523,7.394,,,,2022,4,7,17,6.05,56.0
,89,16.5,55.0,51.5,393,21.0,65.5,2022-04-07 17:12:11,17.0,38.38,7.424,4.0,50.5147877,-84.8045339,7.424,,,,2022,4,7,17,6.05,56.0
,90,16.5,55.0,51.5,365,21.0,65.5,2022-04-07 17:12:12,17.0,46.04,7.616,4.0,50.5148437,-84.8046151,7.616,,,,2022,4,7,17,6.05,56.0
,92,16.5,55.0,51.5,348,21.0,65.5,2022-04-07 17:12:13,17.0,53.77,7.582,4.0,50.5148999,-84.8046974,7.582,,,,2022,4,7,17,6.05,56.0
,92,16.5,55.0,51.5,381,21.0,65.5,2022-04-07 17:12:14,17.0,61.63,7.637,4.0,50.5149514,-84.8047873,7.637,,,,2022,4,7,17,6.05,56.0
,93,16.5,55.0,51.5,445,21.0,65.5,2022-04-07 17:12:15,17.0,69.46,7.789,4.0,50.5149972,-84.8048823,7.789,,,,2022,4,7,17,6.05,56.0
,94,28.5,55.0,91.5,386,29.0,92.0,2022-04-07 17:12:16,17.0,77.06,7.766,4.0,50.515047,-84.8049694,7.766,,,,2022,4,7,17,6.05,56.0
,95,29.0,51.0,94.0,381,29.5,93.5,2022-04-07 17:12:17,17.0,85.72,7.858,4.0,50.5151085,-84.8050634,7.858,,,,2022,4,7,17,6.05,56.0
,96,29.0,47.0,94.0,383,29.5,93.5,2022-04-07 17:12:18,17.0,93.43,8.057,4.0,50.5151636,-84.8051466,8.057,,,,2022,4,7,17,6.05,56.0
,97,29.0,47.0,94.0,393,29.5,93.5,2022-04-07 17:12:19,17.0,100.16,8.181,4.0,50.5152133,-84.8052174,8.181,,,,2022,4,7,17,6.05,56.0
,97,29.0,47.0,94.0,382,29.5,93.5,2022-04-07 17:12:20,17.0,107.3,7.931,4.0,50.5152659,-84.8052926,7.931,,,,2022,4,7,17,6.05,56.0
,97,29.0,47.0,94.0,335,29.5,93.5,2022-04-07 17:12:21,17.0,114.73,7.864,4.0,50.5153156,-84.8053745,7.864,,,,2022,4,7,17,6.05,56.0
