distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,enhanced_altitude,grade,left_pedal_smoothness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,cadence,left_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
0.0,6.312,4,50.5241421,-84.8082214,6.312,2022-04-07 20:50:41,,,,,,,,,,,,,2022,4,7,20,5.86,65.0
4.19,6.223,4,50.5241259,-84.8082781,6.223,2022-04-07 20:50:42,74.0,,,,,,,,,,,,2022,4,7,20,5.86,65.0
9.54,6.137,4,50.5241062,-84.8083508,6.137,2022-04-07 20:50:43,,,,,,,,,,,,,2022,4,7,20,5.86,65.0
16.97,6.317,4,50.5240794,-84.8084521,6.317,2022-04-07 20:50:44,,,,,,,,,,,,,2022,4,7,20,5.86,65.0
23.59,6.623,4,50.5240542,-84.8085417,6.623,2022-04-07 20:50:45,,,,,,,,,,,,,2022,4,7,20,5.86,65.0
30.62,6.75,3,50.5240282,-84.8086373,6.75,2022-04-07 20:50:46,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
37.66,6.948,3,50.5240004,-84.808732,6.948,2022-04-07 20:50:47,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
44.59,6.94,3,50.5239715,-84.8088245,6.94,2022-04-07 20:50:48,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
51.75,7.118,3,50.5239427,-84.8089207,7.118,2022-04-07 20:50:49,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
59.0,7.289,3,50.523916,-84.8090192,7.289,2022-04-07 20:50:50,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
66.24,7.267,3,50.5238923,-84.8091189,7.267,2022-04-07 20:50:51,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
73.71,7.393,3,50.5238657,-84.809221,7.393,2022-04-07 20:50:52,,16.0,,,,,,,,,,,2022,4,7,20,5.86,65.0
