heart_rate,timestamp,battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
117,2022-04-11 16:36:30,,67.0,17.5,38.0,58.0,55.0,18.0,61.5,23.0,0.0,4.106,5.0,50.5041347,-84.8219593,4.106,,,,2022,4,11,16,4.25,311.0
118,2022-04-11 16:36:31,,62.0,18.5,38.0,59.0,51.0,16.0,55.5,23.0,1.82,2.561,5.0,50.504119,-84.821975,2.561,,,,2022,4,11,16,4.25,311.0
118,2022-04-11 16:36:32,,56.0,20.0,38.0,60.5,47.0,14.0,50.0,23.0,3.6,2.282,5.0,50.5041051,-84.8219928,2.282,,,,2022,4,11,16,4.25,311.0
118,2022-04-11 16:36:33,,52.0,21.5,40.0,64.0,40.0,14.0,49.0,23.0,4.19,1.617,5.0,50.5040989,-84.8219931,1.617,,,,2022,4,11,16,4.25,311.0
117,2022-04-11 16:36:34,,48.0,23.5,43.0,68.0,34.0,14.0,49.5,23.0,4.8,1.488,5.0,50.504093,-84.8219971,1.488,,,,2022,4,11,16,4.25,311.0
117,2022-04-11 16:36:35,,44.0,25.5,45.0,72.0,27.0,14.0,50.0,23.0,5.59,0.693,5.0,50.504097,-84.8219871,0.693,,,,2022,4,11,16,4.25,311.0
116,2022-04-11 16:36:36,,40.0,27.5,47.0,76.0,21.0,14.5,50.0,23.0,5.59,0.016,5.0,50.5041047,-84.8219716,0.016,,,,2022,4,11,16,4.25,311.0
116,2022-04-11 16:36:37,,36.0,29.5,50.0,80.0,14.0,14.5,50.5,23.0,5.59,0.0,5.0,50.5041153,-84.8219556,0.0,,,,2022,4,11,16,4.25,311.0
117,2022-04-11 16:36:38,,32.0,31.5,52.0,84.0,7.0,14.5,50.5,23.0,5.59,0.0,5.0,50.5041128,-84.8219553,0.0,,,,2022,4,11,16,4.25,311.0
116,2022-04-11 16:36:39,,27.0,33.5,55.0,88.0,1.0,14.5,51.0,23.0,5.59,0.0,5.0,50.5041128,-84.8219534,0.0,,,,2022,4,11,16,4.25,311.0
109,2022-04-11 16:36:58,,0.0,23.0,52.0,74.0,0.0,14.5,51.0,23.0,5.89,3.023,6.0,50.5027157,-84.8239764,3.023,,,,2022,4,11,16,4.25,311.0
109,2022-04-11 16:36:59,,0.0,23.0,51.0,74.0,0.0,14.5,51.0,23.0,9.34,3.922,6.0,50.5026793,-84.8239855,3.922,,,,2022,4,11,16,4.25,311.0
109,2022-04-11 16:37:00,,28.0,29.5,63.0,96.0,588.0,2.0,6.5,23.0,15.1,5.105,6.0,50.5026235,-84.8240214,5.105,,,,2022,4,11,16,4.25,311.0
108,2022-04-11 16:37:01,,50.0,30.0,60.0,99.0,664.0,23.0,71.5,23.0,19.0,5.369,6.0,50.5025845,-84.8240417,5.369,,,,2022,4,11,16,4.25,311.0
