cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,battery_soc,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,9.5,,35.0,0,10.0,36.5,2022-04-15 18:47:27,,18.0,0.0,0.0,7.0,50.5130308,-84.8036739,0.0,,,,2022,4,15,18,3.29,200.0
0,9.5,,35.0,0,10.0,36.5,2022-04-15 18:47:28,,18.0,0.0,0.0,6.0,50.513018,-84.8036786,0.0,,,,2022,4,15,18,3.29,200.0
70,9.5,30.0,35.0,315,10.0,36.5,2022-04-15 18:47:53,,18.0,0.68,2.112,4.0,50.5134152,-84.8032446,2.112,,,,2022,4,15,18,3.29,200.0
68,9.5,30.0,35.0,319,10.0,36.5,2022-04-15 18:47:54,,18.0,3.14,2.707,4.0,50.5134193,-84.8032096,2.707,,,,2022,4,15,18,3.29,200.0
71,9.5,42.0,35.0,281,10.0,36.5,2022-04-15 18:47:55,,18.0,6.22,2.971,4.0,50.5134328,-84.8031694,2.971,,,,2022,4,15,18,3.29,200.0
76,13.0,48.0,47.0,256,14.0,50.5,2022-04-15 18:47:56,,18.0,9.86,3.444,4.0,50.513457,-84.8031281,3.444,,,,2022,4,15,18,3.29,200.0
78,19.0,46.0,67.0,255,20.0,73.5,2022-04-15 18:47:57,,18.0,14.55,4.083,4.0,50.5134925,-84.8030808,4.083,,,,2022,4,15,18,3.29,200.0
80,24.5,44.0,84.5,251,25.5,93.5,2022-04-15 18:47:58,,19.0,20.39,5.567,4.0,50.513545,-84.8030345,5.567,,,,2022,4,15,18,3.29,200.0
82,24.5,44.0,84.0,219,23.5,90.5,2022-04-15 18:47:59,,19.0,30.26,8.716,4.0,50.5136313,-84.8029517,8.716,,,,2022,4,15,18,3.29,200.0
84,24.5,44.0,83.0,186,21.5,87.0,2022-04-15 18:48:00,,19.0,45.55,8.254,4.0,50.5137695,-84.8028339,8.254,,,,2022,4,15,18,3.29,200.0
87,22.5,44.0,76.5,172,21.0,81.0,2022-04-15 18:48:01,,19.0,73.78,8.61,4.0,50.5140322,-84.8026312,8.61,,,,2022,4,15,18,3.29,200.0
90,19.5,44.0,67.0,170,21.0,74.0,2022-04-15 18:48:02,,19.0,92.65,11.344,4.0,50.5141974,-84.8024728,11.344,,,,2022,4,15,18,3.29,200.0
90,20.0,44.0,69.0,176,21.0,74.0,2022-04-15 18:48:03,,19.0,108.12,16.726,4.0,50.5143349,-84.8023476,16.726,,,,2022,4,15,18,3.29,200.0
90,24.5,44.0,85.5,198,19.0,73.0,2022-04-15 18:48:04,,19.0,121.73,14.292,4.0,50.5144604,-84.8022468,14.292,,,,2022,4,15,18,3.29,200.0
86,28.0,44.0,94.0,229,18.5,72.5,2022-04-15 18:48:05,,19.0,135.02,13.524,4.0,50.5145777,-84.8021374,13.524,,,,2022,4,15,18,3.29,200.0
82,29.5,44.0,95.0,230,18.5,72.5,2022-04-15 18:48:06,,19.0,146.46,11.96,4.0,50.5146793,-84.8020444,11.96,,,,2022,4,15,18,3.29,200.0
82,29.5,41.0,95.0,197,18.5,72.5,2022-04-15 18:48:07,,19.0,157.04,11.022,4.0,50.514777,-84.8019673,11.022,,,,2022,4,15,18,3.29,200.0
82,24.5,45.0,79.5,193,26.0,86.0,2022-04-15 18:48:08,,19.0,167.08,10.45,4.0,50.5148738,-84.801905,10.45,,,,2022,4,15,18,3.29,200.0
82,24.0,46.0,77.0,205,27.0,88.0,2022-04-15 18:48:09,,19.0,177.17,9.928,4.0,50.5149602,-84.801817,9.928,,,,2022,4,15,18,3.29,200.0
82,23.5,44.0,76.0,201,23.0,79.0,2022-04-15 18:48:10,,19.0,186.98,9.836,4.0,50.5150407,-84.8017253,9.836,,,,2022,4,15,18,3.29,200.0
81,22.0,44.0,76.5,211,20.0,73.0,2022-04-15 18:48:11,,19.0,196.51,9.612,4.0,50.5151156,-84.8016317,9.612,,,,2022,4,15,18,3.29,200.0
81,21.0,49.0,81.0,246,20.5,75.5,2022-04-15 18:48:12,,19.0,205.1,8.879,4.0,50.5151814,-84.8015452,8.879,,,,2022,4,15,18,3.29,200.0
79,27.0,47.0,94.0,262,28.0,91.5,2022-04-15 18:48:13,,19.0,213.56,8.69,4.0,50.5152505,-84.8014665,8.69,,,,2022,4,15,18,3.29,200.0
78,25.5,47.0,85.5,215,25.0,91.5,2022-04-15 18:48:14,,19.0,222.09,8.533,4.0,50.5153121,-84.8013754,8.533,,,,2022,4,15,18,3.29,200.0
77,23.0,46.0,81.0,209,23.0,90.5,2022-04-15 18:48:15,,19.0,230.97,8.658,4.0,50.5153812,-84.8012868,8.658,,,,2022,4,15,18,3.29,200.0
77,20.5,44.0,80.5,229,23.0,90.5,2022-04-15 18:48:16,,19.0,240.17,9.076,4.0,50.5154594,-84.8012097,9.076,,,,2022,4,15,18,3.29,200.0
78,20.5,44.0,80.5,243,23.0,90.5,2022-04-15 18:48:17,,19.0,250.24,9.831,4.0,50.5155551,-84.8011454,9.831,,,,2022,4,15,18,3.29,200.0
82,20.5,44.0,80.5,249,23.0,90.5,2022-04-15 18:48:18,,19.0,262.18,8.336,4.0,50.5156579,-84.8010434,8.336,,,,2022,4,15,18,3.29,200.0
83,24.5,44.0,89.5,212,26.0,90.0,2022-04-15 18:48:19,,19.0,280.1,9.539,4.0,50.515817,-84.8008991,9.539,,,,2022,4,15,18,3.29,200.0
84,26.0,43.0,93.5,169,27.5,89.5,2022-04-15 18:48:20,,19.0,291.86,12.973,4.0,50.5159146,-84.8007936,12.973,,,,2022,4,15,18,3.29,200.0
85,26.0,36.0,93.5,157,27.5,89.5,2022-04-15 18:48:21,,19.0,305.56,13.406,4.0,50.5160433,-84.8006981,13.406,,,,2022,4,15,18,3.29,200.0
85,26.0,36.0,93.5,138,27.5,89.5,2022-04-15 18:48:22,,19.0,318.63,13.168,4.0,50.5161645,-84.8006026,13.168,,,,2022,4,15,18,3.29,200.0
85,26.0,39.0,93.5,110,27.5,89.5,2022-04-15 18:48:23,,19.0,329.81,11.663,4.0,50.5162682,-84.8005221,11.663,,,,2022,4,15,18,3.29,200.0
85,26.0,41.0,93.5,82,27.5,89.5,2022-04-15 18:48:24,,19.0,340.23,10.75,4.0,50.5163567,-84.8004299,10.75,,,,2022,4,15,18,3.29,200.0
85,26.0,43.0,93.5,54,27.5,89.5,2022-04-15 18:48:25,,19.0,349.12,9.367,4.0,50.5164299,-84.8003473,9.367,,,,2022,4,15,18,3.29,200.0
85,26.0,45.0,93.5,26,27.5,89.5,2022-04-15 18:48:26,,19.0,358.48,9.369,4.0,50.5165163,-84.8002847,9.369,,,,2022,4,15,18,3.29,200.0
79,26.0,43.0,93.5,3,27.5,89.5,2022-04-15 18:48:27,,19.0,368.65,10.145,3.0,50.5166204,-84.8002447,10.145,,,,2022,4,15,18,3.29,200.0
45,26.0,20.0,93.5,7,27.5,89.5,2022-04-15 18:48:28,,19.0,375.74,7.923,3.0,50.516685,-84.8001903,7.923,,,,2022,4,15,18,3.29,200.0
16,26.0,0.0,92.5,23,26.0,85.0,2022-04-15 18:48:29,,19.0,383.1,7.309,3.0,50.5167481,-84.8001266,7.309,,,,2022,4,15,18,3.29,200.0
20,24.5,0.0,86.0,109,15.5,53.5,2022-04-15 18:48:30,,19.0,389.94,6.978,3.0,50.516802,-84.8000594,6.978,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
28,23.5,5.0,82.5,97,12.0,54.5,2022-04-15 18:48:31,,19.0,396.64,6.784,3.0,50.5168561,-84.7999956,6.784,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
37,22.0,11.0,79.0,73,9.0,58.5,2022-04-15 18:48:32,,19.0,402.82,6.34,3.0,50.5169038,-84.7999333,6.34,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
45,21.0,17.0,76.0,49,6.0,63.0,2022-04-15 18:48:33,,19.0,407.07,4.808,4.0,50.5169295,-84.799886,4.808,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
54,20.0,23.0,72.5,26,3.0,67.5,2022-04-15 18:48:34,,19.0,409.15,2.744,4.0,50.5169305,-84.7998568,2.744,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
63,18.5,29.0,69.5,2,0.5,71.5,2022-04-15 18:48:35,,19.0,410.83,1.956,4.0,50.5169432,-84.7998425,1.956,57.39999999999998,57.39999999999998,0.31,2022,4,15,18,3.29,200.0
0,18.5,34.0,69.0,0,0.0,76.0,2022-04-15 18:48:36,,19.0,413.92,2.789,3.0,50.516976,-84.7998407,2.789,57.39999999999998,57.39999999999998,0.95,2022,4,15,18,3.29,200.0
0,18.5,40.0,69.0,0,0.0,80.5,2022-04-15 18:48:37,,19.0,417.27,3.197,3.0,50.5170116,-84.7998462,3.197,57.39999999999998,57.39999999999998,1.37,2022,4,15,18,3.29,200.0
0,18.5,46.0,69.0,0,0.0,84.5,2022-04-15 18:48:38,,19.0,419.22,2.26,3.0,50.5170252,-84.7998246,2.26,57.39999999999998,57.39999999999998,1.06,2022,4,15,18,3.29,200.0
2,19.5,51.0,71.0,0,2.0,89.0,2022-04-15 18:48:39,,19.0,424.73,4.691,3.0,50.5170634,-84.7997637,4.691,57.39999999999998,57.39999999999998,0.33,2022,4,15,18,3.29,200.0
13,27.0,51.0,83.0,250,13.0,93.5,2022-04-15 18:48:40,,19.0,428.71,4.176,3.0,50.5170898,-84.7997184,4.176,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
36,33.0,51.0,93.5,346,22.0,97.0,2022-04-15 18:48:41,,19.0,433.47,4.61,4.0,50.5171219,-84.7996653,4.61,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
50,33.0,51.0,93.5,352,22.0,97.0,2022-04-15 18:48:42,,19.0,439.29,5.515,4.0,50.5171671,-84.7996072,5.515,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
56,27.0,54.0,89.5,366,23.5,92.5,2022-04-15 18:48:43,,19.0,446.64,6.927,3.0,50.5172281,-84.7995427,6.927,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
60,26.5,53.0,87.0,369,22.0,87.5,2022-04-15 18:48:44,,19.0,454.77,7.778,3.0,50.5173026,-84.7994856,7.778,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
63,25.5,52.0,85.5,344,20.5,84.5,2022-04-15 18:48:45,,19.0,462.34,7.629,3.0,50.5173598,-84.7994081,7.629,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
64,23.0,49.0,85.0,284,20.5,84.5,2022-04-15 18:48:46,,19.0,470.32,7.881,3.0,50.5174265,-84.7993353,7.881,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
53,35.5,41.0,91.5,194,21.5,80.5,2022-04-15 18:48:47,,19.0,478.23,7.9,3.0,50.5174928,-84.7992639,7.9,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
57,32.5,40.0,89.0,378,22.5,80.0,2022-04-15 18:48:48,,19.0,486.12,7.877,3.0,50.5175568,-84.7991892,7.877,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
71,20.0,44.0,80.0,390,25.0,79.5,2022-04-15 18:48:49,,19.0,494.25,8.039,3.0,50.5176233,-84.7991129,8.039,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
73,19.0,51.0,77.0,359,24.5,79.5,2022-04-15 18:48:50,,19.0,502.67,8.33,3.0,50.5176904,-84.7990312,8.33,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
75,14.5,51.0,58.5,356,22.0,78.0,2022-04-15 18:48:51,,19.0,510.74,8.162,3.0,50.517754,-84.7989517,8.162,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
76,14.0,50.0,57.0,277,22.0,78.0,2022-04-15 18:48:52,,19.0,518.01,7.557,3.0,50.5178102,-84.7988786,7.557,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
76,14.0,48.0,57.0,192,22.0,78.0,2022-04-15 18:48:53,,19.0,524.31,6.644,3.0,50.5178553,-84.7988109,6.644,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
77,14.0,46.0,57.0,107,22.0,78.0,2022-04-15 18:48:54,,19.0,529.95,5.843,3.0,50.517892,-84.7987459,5.843,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
69,13.0,40.0,53.5,75,21.0,79.0,2022-04-15 18:48:55,,19.0,535.52,5.641,3.0,50.5179304,-84.7986842,5.641,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
21,7.5,12.0,35.5,277,16.5,83.0,2022-04-15 18:48:56,,19.0,541.1,5.588,3.0,50.5179693,-84.7986227,5.588,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
35,12.0,20.0,52.0,281,21.5,86.0,2022-04-15 18:48:57,,19.0,546.71,5.627,3.0,50.5180065,-84.7985588,5.627,57.200000000000045,57.200000000000045,-0.27,2022,4,15,18,3.29,200.0
54,17.5,30.0,70.5,270,27.5,89.0,2022-04-15 18:48:58,,19.0,553.11,6.249,3.0,50.5180489,-84.7984859,6.249,57.200000000000045,57.200000000000045,-0.49,2022,4,15,18,3.29,200.0
74,22.0,39.0,86.0,203,32.0,91.0,2022-04-15 18:48:59,,19.0,559.67,6.395,3.0,50.5180961,-84.7984156,6.395,57.39999999999998,57.39999999999998,-0.22,2022,4,15,18,3.29,200.0
79,22.0,39.0,86.0,188,32.0,91.0,2022-04-15 18:49:00,,19.0,566.25,6.585,3.0,50.5181431,-84.7983444,6.585,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
79,22.0,42.0,86.0,179,32.0,91.0,2022-04-15 18:49:01,,19.0,573.31,6.886,3.0,50.5181914,-84.7982659,6.886,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
80,22.0,43.0,86.0,167,32.0,91.0,2022-04-15 18:49:02,,19.0,579.64,6.505,3.0,50.5182401,-84.798202,6.505,57.60000000000002,57.60000000000002,0.3,2022,4,15,18,3.29,200.0
80,22.0,43.0,86.0,155,32.0,91.0,2022-04-15 18:49:03,,19.0,586.32,6.561,3.0,50.5182896,-84.7981323,6.561,57.60000000000002,57.60000000000002,0.85,2022,4,15,18,3.29,200.0
80,21.5,41.0,84.5,148,31.0,89.0,2022-04-15 18:49:04,,19.0,593.69,6.574,3.0,50.5183384,-84.7980484,6.574,57.60000000000002,57.60000000000002,0.81,2022,4,15,18,3.29,200.0
80,21.0,36.0,81.0,145,29.0,84.0,2022-04-15 18:49:05,,19.0,600.36,6.646,4.0,50.5183853,-84.7979754,6.646,57.60000000000002,57.60000000000002,0.25,2022,4,15,18,3.29,200.0
80,20.5,31.0,78.0,142,27.0,79.5,2022-04-15 18:49:06,,19.0,607.02,6.128,4.0,50.5184253,-84.7978967,6.128,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
80,19.5,27.0,74.5,138,25.0,74.5,2022-04-15 18:49:07,,19.0,614.27,6.389,4.0,50.5184642,-84.7978081,6.389,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
80,19.0,22.0,71.0,135,22.5,70.0,2022-04-15 18:49:08,,19.0,621.19,7.045,4.0,50.5185184,-84.79774,7.045,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
78,18.5,22.0,68.5,125,21.0,66.0,2022-04-15 18:49:09,,19.0,628.14,6.835,4.0,50.5185698,-84.7976672,6.835,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
67,18.5,41.0,68.5,84,21.0,66.0,2022-04-15 18:49:10,,19.0,634.13,6.213,4.0,50.5186182,-84.7976102,6.213,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
55,18.5,82.0,68.5,158,21.0,66.0,2022-04-15 18:49:11,,19.0,640.45,6.305,4.0,50.5186649,-84.7975443,6.305,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
64,17.0,84.0,66.0,108,22.0,71.5,2022-04-15 18:49:12,,19.0,647.74,7.096,4.0,50.5187133,-84.7974614,7.096,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
73,15.5,84.0,64.0,48,22.5,77.0,2022-04-15 18:49:13,,19.0,654.48,6.841,4.0,50.5187616,-84.7973889,6.841,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
58,14.5,84.0,62.5,59,23.0,80.0,2022-04-15 18:49:14,,19.0,660.51,6.227,4.0,50.518804,-84.7973228,6.227,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
25,14.5,82.0,62.5,128,23.0,80.0,2022-04-15 18:49:15,,18.0,666.34,5.868,4.0,50.5188462,-84.7972605,5.868,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
38,15.0,75.0,61.5,94,23.0,80.0,2022-04-15 18:49:16,,18.0,671.96,5.679,4.0,50.5188845,-84.7971978,5.679,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
52,15.0,68.0,61.0,60,23.0,80.0,2022-04-15 18:49:17,,18.0,677.85,5.833,4.0,50.5189257,-84.7971331,5.833,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
65,15.5,60.0,60.0,27,23.0,80.0,2022-04-15 18:49:18,,18.0,682.59,5.006,4.0,50.5189597,-84.7970819,5.006,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
0,15.5,53.0,59.5,0,23.0,80.0,2022-04-15 18:49:19,,18.0,686.77,4.385,3.0,50.5189896,-84.7970367,4.385,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
1,17.0,53.0,62.5,0,22.5,79.0,2022-04-15 18:49:20,,18.0,691.06,4.329,3.0,50.519021,-84.7969915,4.329,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
8,23.5,84.0,76.0,229,20.5,74.0,2022-04-15 18:49:21,,18.0,695.91,4.733,3.0,50.5190591,-84.7969437,4.733,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
31,27.0,68.0,83.5,340,19.5,71.5,2022-04-15 18:49:22,,18.0,700.98,4.966,3.0,50.5191019,-84.7968984,4.966,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
46,25.5,50.0,83.5,354,21.0,75.0,2022-04-15 18:49:23,,18.0,706.28,5.226,3.0,50.5191434,-84.796846,5.226,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
50,23.5,51.0,83.0,364,23.5,80.5,2022-04-15 18:49:24,,18.0,712.25,5.798,3.0,50.5191889,-84.7967851,5.798,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
58,22.0,52.0,83.0,372,25.5,84.5,2022-04-15 18:49:25,,18.0,718.4,6.039,3.0,50.5192392,-84.7967278,6.039,57.0,57.0,-0.27,2022,4,15,18,3.29,200.0
71,21.0,48.0,77.0,315,23.0,82.5,2022-04-15 18:49:26,,18.0,725.34,6.716,3.0,50.5192989,-84.7966675,6.716,57.0,57.0,-0.49,2022,4,15,18,3.29,200.0
79,20.0,41.0,74.5,268,22.5,83.5,2022-04-15 18:49:27,,18.0,732.25,6.887,3.0,50.5193576,-84.7966062,6.887,57.0,57.0,-0.22,2022,4,15,18,3.29,200.0
81,22.0,36.0,79.0,230,24.0,87.5,2022-04-15 18:49:28,,18.0,739.1,6.862,3.0,50.5194145,-84.7965435,6.862,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
81,25.5,51.0,89.0,198,24.0,87.5,2022-04-15 18:49:29,,18.0,745.99,6.838,3.0,50.5194653,-84.7964721,6.838,57.0,57.0,0.0,2022,4,15,18,3.29,200.0
83,25.5,50.0,89.0,166,24.0,87.5,2022-04-15 18:49:30,,18.0,752.69,6.761,3.0,50.5195059,-84.7963923,6.761,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
84,23.0,50.0,85.0,147,25.5,89.5,2022-04-15 18:49:31,,18.0,759.69,6.915,3.0,50.5195552,-84.7963158,6.915,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
84,21.0,49.0,80.0,123,26.5,90.5,2022-04-15 18:49:32,,18.0,766.66,7.028,3.0,50.5196058,-84.7962416,7.028,57.200000000000045,57.200000000000045,0.0,2022,4,15,18,3.29,200.0
84,19.5,48.0,74.0,94,26.5,90.5,2022-04-15 18:49:33,,18.0,772.86,7.023,3.0,50.5196487,-84.7961729,7.023,57.39999999999998,57.39999999999998,0.19,2022,4,15,18,3.29,200.0
84,18.0,46.0,68.5,65,26.5,90.5,2022-04-15 18:49:34,,18.0,779.24,6.941,3.0,50.519694,-84.7961037,6.941,57.39999999999998,57.39999999999998,0.36,2022,4,15,18,3.29,200.0
84,16.5,44.0,62.5,37,26.5,90.5,2022-04-15 18:49:35,,18.0,786.22,6.748,3.0,50.5197434,-84.7960278,6.748,57.39999999999998,57.39999999999998,0.43,2022,4,15,18,3.29,200.0
84,15.0,43.0,57.0,8,26.5,90.5,2022-04-15 18:49:36,,18.0,792.45,6.351,4.0,50.5197918,-84.7959654,6.351,57.39999999999998,57.39999999999998,0.49,2022,4,15,18,3.29,200.0
0,29.5,41.0,72.0,0,24.0,82.0,2022-04-15 18:49:37,,18.0,798.38,6.082,4.0,50.5198379,-84.7959063,6.082,57.39999999999998,57.39999999999998,0.22,2022,4,15,18,3.29,200.0
4,46.5,40.0,91.0,0,21.0,72.0,2022-04-15 18:49:38,,18.0,804.69,6.044,3.0,50.5198845,-84.79584,6.044,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
19,45.5,39.0,,13,20.5,72.5,2022-04-15 18:49:39,,18.0,810.73,5.686,3.0,50.5199294,-84.7957769,5.686,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
19,41.5,36.0,,13,19.0,75.0,2022-04-15 18:49:40,,18.0,815.82,4.591,3.0,50.5199672,-84.7957238,4.591,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
19,37.5,32.0,,13,17.0,77.5,2022-04-15 18:49:41,,18.0,819.79,2.984,3.0,50.5199882,-84.7956757,2.984,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
19,33.5,29.0,,12,15.0,79.5,2022-04-15 18:49:42,,18.0,822.37,1.33,3.0,50.5199959,-84.7956315,1.33,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
18,29.5,26.0,,12,13.5,82.0,2022-04-15 18:49:43,,18.0,822.37,0.0,3.0,50.520006,-84.795609,0.0,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
18,26.0,22.0,,12,11.5,84.5,2022-04-15 18:49:44,,18.0,822.37,0.0,3.0,50.5200126,-84.7955944,0.0,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
18,22.0,19.0,,12,10.0,87.0,2022-04-15 18:49:45,,18.0,822.37,0.0,3.0,50.5200181,-84.795593,0.0,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
17,18.0,15.0,,12,8.0,89.0,2022-04-15 18:49:46,,18.0,822.37,0.0,3.0,50.5200181,-84.795593,0.0,57.39999999999998,57.39999999999998,0.0,2022,4,15,18,3.29,200.0
10,1.5,0.0,14.5,328,0.0,19.5,2022-04-15 18:50:00,,18.0,824.29,1.477,2.0,50.5200328,-84.7955735,1.477,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
69,7.0,7.0,32.0,349,8.0,25.5,2022-04-15 18:50:01,,18.0,829.37,2.223,2.0,50.5200723,-84.7955229,2.223,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
83,21.0,28.0,82.5,288,29.0,94.0,2022-04-15 18:50:02,,18.0,832.41,2.943,2.0,50.5201001,-84.7955007,2.943,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
89,20.0,28.0,83.0,247,25.0,84.0,2022-04-15 18:50:03,,18.0,836.55,3.908,3.0,50.5201386,-84.795472,3.908,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
91,20.0,28.0,83.0,270,25.0,84.0,2022-04-15 18:50:04,,18.0,841.29,4.26,3.0,50.5201711,-84.7954207,4.26,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
87,20.0,41.0,83.0,248,25.0,84.0,2022-04-15 18:50:05,,18.0,846.73,4.253,3.0,50.5201989,-84.7953515,4.253,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
84,20.5,49.0,83.0,249,25.5,86.5,2022-04-15 18:50:06,,18.0,852.94,5.318,3.0,50.5202377,-84.7952786,5.318,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
84,21.5,50.0,83.0,285,26.0,91.0,2022-04-15 18:50:07,,18.0,859.45,6.135,3.0,50.5202865,-84.7952115,6.135,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
84,22.5,51.0,83.0,321,26.5,95.5,2022-04-15 18:50:08,,18.0,865.83,6.252,3.0,50.5203402,-84.7951542,6.252,57.60000000000002,57.60000000000002,0.0,2022,4,15,18,3.29,200.0
