left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,altitude,battery_soc,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,cadence,temperature,left_right_balance,year,month,day,hour,wind_speed,wind_direction
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:28,149.0,66.0,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,,,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:29,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:30,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:31,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:32,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:33,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:34,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:35,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:36,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
31.5,99.0,0,23.0,97.0,2022-04-16 12:16:37,149.0,,0.0,149.0,0.0,1.0,0.0,52.1410004,-86.2554067,0.0,0.0,8.0,,2022,4,16,12,4.17,134.0
