battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,heart_rate,year,month,day,hour,wind_speed,wind_direction
47.0,0.0,6.015,2,50.5132615,-84.8139063,6.015,2022-04-18 02:06:49,,,,,,,,,,,,,2022,4,18,2,2.85,18.0
,3.9,6.05,2,50.5132779,-84.8138544,6.05,2022-04-18 02:06:50,77.0,4.5,67.0,19.5,142.0,13.5,44.0,,,,,,2022,4,18,2,2.85,18.0
,8.79,6.028,2,50.513303,-84.8137925,6.028,2022-04-18 02:06:51,77.0,7.0,65.0,28.5,153.0,15.5,52.0,,,,,,2022,4,18,2,2.85,18.0
,15.25,6.119,2,50.5133427,-84.8137157,6.119,2022-04-18 02:06:52,77.0,9.5,64.0,37.5,164.0,17.5,60.5,,,,,,2022,4,18,2,2.85,18.0
,21.95,6.479,2,50.5133825,-84.8136351,6.479,2022-04-18 02:06:53,77.0,12.0,62.0,46.5,174.0,19.5,68.5,11.0,,,,,2022,4,18,2,2.85,18.0
,28.58,6.729,2,50.5134194,-84.813553,6.729,2022-04-18 02:06:54,77.0,14.5,61.0,55.5,185.0,21.5,77.0,11.0,,,,,2022,4,18,2,2.85,18.0
,35.54,6.876,2,50.5134574,-84.8134664,6.876,2022-04-18 02:06:55,78.0,17.0,59.0,64.5,196.0,24.0,85.0,11.0,,,,,2022,4,18,2,2.85,18.0
,43.04,7.231,2,50.5135009,-84.8133756,7.231,2022-04-18 02:06:56,79.0,18.5,50.0,69.5,194.0,25.0,90.0,11.0,,,,,2022,4,18,2,2.85,18.0
,50.53,7.468,2,50.5135486,-84.8132885,7.468,2022-04-18 02:06:57,82.0,18.5,31.0,69.5,174.0,25.0,90.0,11.0,,,,,2022,4,18,2,2.85,18.0
,57.97,7.5,2,50.513591,-84.8131974,7.5,2022-04-18 02:06:58,81.0,19.0,34.0,68.0,135.0,29.0,92.5,11.0,,,,,2022,4,18,2,2.85,18.0
,65.56,7.541,2,50.5136316,-84.813102,7.541,2022-04-18 02:06:59,80.0,19.5,38.0,66.5,95.0,33.5,94.5,11.0,,,,,2022,4,18,2,2.85,18.0
,73.04,7.368,2,50.5136684,-84.8130058,7.368,2022-04-18 02:07:00,80.0,17.0,42.0,57.5,77.0,25.5,74.5,11.0,,,,,2022,4,18,2,2.85,18.0
,80.39,7.106,2,50.5137033,-84.8129103,7.106,2022-04-18 02:07:01,80.0,14.5,45.0,47.5,60.0,14.5,49.5,11.0,,,,,2022,4,18,2,2.85,18.0
,87.64,6.996,2,50.5137384,-84.8128166,6.996,2022-04-18 02:07:02,70.0,13.5,45.0,44.5,24.0,14.0,48.0,11.0,,,,,2022,4,18,2,2.85,18.0
,94.69,6.916,2,50.5137721,-84.8127253,6.916,2022-04-18 02:07:03,50.0,11.5,49.0,38.5,14.0,13.0,45.0,11.0,,,,,2022,4,18,2,2.85,18.0
,101.62,6.64,2,50.5138036,-84.8126344,6.64,2022-04-18 02:07:04,49.0,11.5,71.0,38.5,16.0,13.0,45.0,11.0,,,,,2022,4,18,2,2.85,18.0
,108.27,6.429,2,50.5138352,-84.812548,6.429,2022-04-18 02:07:05,48.0,11.5,93.0,38.5,18.0,13.0,45.0,11.0,,,,,2022,4,18,2,2.85,18.0
,114.89,6.666,2,50.5138678,-84.812463,6.666,2022-04-18 02:07:06,39.0,14.5,65.0,44.0,52.0,6.0,50.0,11.0,,,,,2022,4,18,2,2.85,18.0
