distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,battery_soc,cadence,enhanced_altitude,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,2.669,2,50.389632,-84.4810244,2.669,2022-05-08 14:39:08,,,,,,,,,,,,,2022,5,8,14,3.71,275.0
2.1,2.754,2,50.3896109,-84.481035,2.754,2022-05-08 14:39:09,54.0,66.0,62.0,54.0,8.14,28.5,51.0,95.0,236.0,28.0,97.5,,2022,5,8,14,3.71,275.0
4.92,2.954,2,50.3895822,-84.481048,2.954,2022-05-08 14:39:10,54.0,,64.0,54.0,7.19,28.5,51.0,95.0,233.0,28.0,97.5,,2022,5,8,14,3.71,275.0
7.97,3.014,2,50.3895502,-84.4810564,3.014,2022-05-08 14:39:11,54.200000000000045,,66.0,54.200000000000045,6.24,28.5,51.0,95.0,208.0,28.0,97.5,,2022,5,8,14,3.71,275.0
10.9,3.074,2,50.3895187,-84.4810582,3.074,2022-05-08 14:39:12,54.39999999999998,,68.0,54.39999999999998,5.89,27.5,44.0,89.0,267.0,31.5,94.5,20.0,2022,5,8,14,3.71,275.0
14.16,3.152,2,50.3894839,-84.4810542,3.152,2022-05-08 14:39:13,54.799999999999955,,68.0,54.799999999999955,5.91,26.5,44.0,90.5,251.0,31.0,95.0,20.0,2022,5,8,14,3.71,275.0
17.02,2.897,2,50.3894537,-84.4810468,2.897,2022-05-08 14:39:14,55.0,,69.0,55.0,5.52,26.0,45.0,91.5,234.0,30.5,95.0,20.0,2022,5,8,14,3.71,275.0
19.46,2.536,2,50.3894285,-84.4810374,2.536,2022-05-08 14:39:15,55.39999999999998,,69.0,55.39999999999998,5.75,25.0,45.0,93.0,216.0,30.0,95.5,20.0,2022,5,8,14,3.71,275.0
21.77,2.39,2,50.3894051,-84.4810263,2.39,2022-05-08 14:39:16,55.60000000000002,,69.0,55.60000000000002,6.85,25.0,45.0,93.0,161.0,30.0,95.5,20.0,2022,5,8,14,3.71,275.0
23.89,2.183,2,50.3893838,-84.4810157,2.183,2022-05-08 14:39:17,56.0,,61.0,56.0,8.2,25.0,45.0,93.0,154.0,30.0,95.5,20.0,2022,5,8,14,3.71,275.0
25.94,2.084,2,50.3893627,-84.4810071,2.084,2022-05-08 14:39:18,56.39999999999998,,59.0,56.39999999999998,10.01,25.0,44.0,93.0,169.0,30.0,95.5,20.0,2022,5,8,14,3.71,275.0
