distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,battery_soc,enhanced_altitude,grade,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,7.25,2,50.3903618,-84.4799129,7.25,2022-05-10 12:33:39,,,,,,,,,,,,,2022,5,10,12,6.63,247.0
7.17,7.379,2,50.3904099,-84.4798321,7.379,2022-05-10 12:33:40,31.600000000000023,99.0,31.600000000000023,0.0,,,,,,,,,2022,5,10,12,6.63,247.0
14.33,7.508,2,50.390458,-84.4797513,7.508,2022-05-10 12:33:41,31.0,,31.0,-0.81,91.0,20.0,50.0,67.5,182.0,19.5,80.5,,2022,5,10,12,6.63,247.0
22.11,7.692,2,50.3905082,-84.4796614,7.692,2022-05-10 12:33:42,31.200000000000045,,31.200000000000045,-1.49,93.0,20.0,50.0,67.5,144.0,19.5,80.5,18.0,2022,5,10,12,6.63,247.0
29.74,7.803,2,50.390556,-84.4795719,7.803,2022-05-10 12:33:43,30.799999999999955,,30.799999999999955,-1.33,93.0,20.0,54.0,67.5,218.0,19.5,80.5,18.0,2022,5,10,12,6.63,247.0
37.6,8.018,2,50.3906052,-84.4794795,8.018,2022-05-10 12:33:44,30.399999999999977,,30.399999999999977,-1.58,92.0,20.0,68.0,67.5,300.0,19.5,80.5,18.0,2022,5,10,12,6.63,247.0
45.8,8.048,2,50.3906563,-84.4793831,8.048,2022-05-10 12:33:45,30.200000000000045,,30.200000000000045,-2.39,93.0,20.5,68.0,70.5,289.0,20.5,81.5,18.0,2022,5,10,12,6.63,247.0
53.93,8.038,2,50.3907084,-84.4792887,8.038,2022-05-10 12:33:46,30.0,,30.0,-2.41,94.0,23.5,68.0,82.5,265.0,24.5,84.5,18.0,2022,5,10,12,6.63,247.0
61.96,8.008,2,50.3907604,-84.4791961,8.008,2022-05-10 12:33:47,29.799999999999955,,29.799999999999955,-2.34,95.0,24.0,68.0,85.0,215.0,25.5,85.0,18.0,2022,5,10,12,6.63,247.0
69.99,7.886,2,50.3908126,-84.4791037,7.886,2022-05-10 12:33:48,29.600000000000023,,29.600000000000023,-3.17,95.0,21.5,60.0,75.5,179.0,22.5,78.0,18.0,2022,5,10,12,6.63,247.0
77.9,7.686,2,50.390864,-84.4790128,7.686,2022-05-10 12:33:49,29.600000000000023,,29.600000000000023,-3.31,95.0,18.5,49.0,63.0,150.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
85.58,7.382,2,50.3909111,-84.4789216,7.382,2022-05-10 12:33:50,29.799999999999955,,29.799999999999955,-2.12,95.0,18.5,49.0,63.0,110.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
92.92,7.138,2,50.3909552,-84.4788336,7.138,2022-05-10 12:33:51,29.600000000000023,,29.600000000000023,-1.22,95.0,18.5,49.0,63.0,69.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
100.12,7.126,2,50.390999,-84.4787478,7.126,2022-05-10 12:33:52,29.399999999999977,,29.399999999999977,-1.43,94.0,18.5,49.0,63.0,29.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
107.41,7.13,2,50.3910446,-84.4786622,7.13,2022-05-10 12:33:53,29.200000000000045,,29.200000000000045,-1.49,0.0,18.5,49.0,63.0,0.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
114.73,7.232,2,50.3910905,-84.4785763,7.232,2022-05-10 12:33:54,29.0,,29.0,-1.5,0.0,18.5,49.0,63.0,0.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
122.34,7.691,2,50.3911381,-84.4784871,7.691,2022-05-10 12:33:55,28.600000000000023,,28.600000000000023,-1.9,0.0,18.5,49.0,63.0,0.0,19.0,69.0,18.0,2022,5,10,12,6.63,247.0
