battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,timestamp,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,heart_rate,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,0,19.0,53.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:37,0.0,0.0,7.0,50.3923184,-84.4760415,0.0,,,,,2022,5,10,23,4.76,219.0
,0,19.0,48.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:41,0.0,9.051,5.0,50.3926783,-84.4755026,9.051,,,,,2022,5,10,23,4.76,219.0
,0,19.0,47.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:42,9.26,13.79,5.0,50.3927773,-84.4753518,13.79,,,,,2022,5,10,23,4.76,219.0
,0,19.0,46.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:43,22.87,13.656,5.0,50.3928762,-84.4752071,13.656,,,,,2022,5,10,23,4.76,219.0
,0,19.0,45.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:44,36.19,13.053,5.0,50.3929737,-84.4750662,13.053,,,,,2022,5,10,23,4.76,219.0
,0,19.0,44.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:45,48.59,12.072,5.0,50.3930558,-84.4749254,12.072,,,,,2022,5,10,23,4.76,219.0
,0,19.0,43.0,68.5,0,21.5,74.5,18,2022-05-10 23:33:46,60.2,11.369,4.0,50.3931292,-84.4747898,11.369,,,,,2022,5,10,23,4.76,219.0
,2,19.5,43.0,70.0,0,19.5,75.0,18,2022-05-10 23:33:47,71.45,10.828,4.0,50.3932037,-84.4746618,10.828,,,,,2022,5,10,23,4.76,219.0
,25,24.5,55.0,83.5,310,2.5,78.0,18,2022-05-10 23:33:48,82.0,10.547,4.0,50.3932713,-84.4745395,10.547,,,,,2022,5,10,23,4.76,219.0
,60,24.5,57.0,85.5,387,16.0,81.0,18,2022-05-10 23:33:49,92.25,10.536,4.0,50.3933415,-84.4744256,10.536,,,,,2022,5,10,23,4.76,219.0
,75,24.5,56.0,86.0,421,23.0,82.0,18,2022-05-10 23:33:50,102.85,10.468,4.0,50.393411,-84.4743045,10.468,,,,,2022,5,10,23,4.76,219.0
,75,24.0,53.0,86.5,435,22.5,81.5,18,2022-05-10 23:33:51,113.12,10.38,4.0,50.3934741,-84.4741827,10.38,,,,,2022,5,10,23,4.76,219.0
,75,23.5,51.0,87.0,450,22.5,81.5,18,2022-05-10 23:33:52,123.73,10.393,4.0,50.3935402,-84.4740579,10.393,,,,,2022,5,10,23,4.76,219.0
,74,23.5,51.0,87.0,456,22.5,81.5,18,2022-05-10 23:33:53,134.33,10.432,3.0,50.393609,-84.4739358,10.432,,,,,2022,5,10,23,4.76,219.0
,74,23.5,52.0,87.0,462,22.5,81.5,18,2022-05-10 23:33:54,144.39,10.271,3.0,50.3936784,-84.4738244,10.271,,,,,2022,5,10,23,4.76,219.0
,73,23.5,52.0,87.0,471,22.5,81.5,18,2022-05-10 23:33:55,154.74,10.376,3.0,50.3937505,-84.4737106,10.376,,,,,2022,5,10,23,4.76,219.0
,72,23.5,52.0,87.0,430,22.5,81.5,18,2022-05-10 23:33:56,165.29,10.315,3.0,50.3938215,-84.4735917,10.315,,,,,2022,5,10,23,4.76,219.0
,72,23.5,52.0,86.5,308,23.0,82.5,17,2022-05-10 23:33:57,175.31,9.955,3.0,50.3938895,-84.4734796,9.955,,,,,2022,5,10,23,4.76,219.0
,72,23.0,52.0,81.5,202,25.0,89.5,17,2022-05-10 23:33:58,184.86,9.462,3.0,50.3939545,-84.4733727,9.462,,,,,2022,5,10,23,4.76,219.0
,71,22.5,52.0,77.0,116,27.0,96.0,17,2022-05-10 23:33:59,194.14,9.266,3.0,50.3940171,-84.4732682,9.266,,,,,2022,5,10,23,4.76,219.0
,68,22.5,52.0,77.0,179,27.0,96.0,17,2022-05-10 23:34:00,203.33,9.165,3.0,50.3940814,-84.4731676,9.165,,,,,2022,5,10,23,4.76,219.0
,72,22.5,52.0,77.0,223,27.0,96.0,17,2022-05-10 23:34:01,212.12,8.816,3.0,50.3941441,-84.4730726,8.816,,,,,2022,5,10,23,4.76,219.0
,75,22.5,52.0,77.0,228,27.0,96.0,17,2022-05-10 23:34:02,220.74,8.692,4.0,50.3942043,-84.4729779,8.692,,,,,2022,5,10,23,4.76,219.0
,75,22.5,52.0,77.0,261,27.0,96.0,17,2022-05-10 23:34:03,229.42,8.603,4.0,50.3942625,-84.4728799,8.603,,,,,2022,5,10,23,4.76,219.0
,75,23.5,52.0,81.0,273,27.0,96.0,17,2022-05-10 23:34:04,238.0,8.522,4.0,50.3943114,-84.4727752,8.522,,,,,2022,5,10,23,4.76,219.0
,77,25.0,52.0,87.0,269,27.5,96.5,17,2022-05-10 23:34:05,246.59,8.362,4.0,50.3943561,-84.4726666,8.362,,,,,2022,5,10,23,4.76,219.0
,78,26.5,52.0,93.0,265,28.0,97.0,17,2022-05-10 23:34:06,255.74,8.41,4.0,50.3944053,-84.4725521,8.41,,,,,2022,5,10,23,4.76,219.0
,78,28.0,49.0,92.5,255,24.5,92.0,17,2022-05-10 23:34:07,264.49,8.181,4.0,50.3944603,-84.4724499,8.181,,,,,2022,5,10,23,4.76,219.0
,77,30.0,46.0,92.0,244,21.0,86.0,17,2022-05-10 23:34:08,273.6,8.18,4.0,50.3945286,-84.472356,8.18,,,,,2022,5,10,23,4.76,219.0
