battery_soc,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
74.0,0.0,3.521,2,95,50.3888228,-84.4812193,3.521,2022-05-11 22:20:44,,,,,,,,,,,,2022,5,11,22,2.9,180.0
,2.84,3.803,2,94,50.3887999,-84.4812464,3.803,2022-05-11 22:20:45,81.0,29.5,49.0,99.5,293.0,26.5,91.0,,,,,2022,5,11,22,2.9,180.0
,6.45,4.018,2,94,50.3887707,-84.4812809,4.018,2022-05-11 22:20:46,81.0,29.0,50.0,98.5,304.0,27.5,92.5,,,,,2022,5,11,22,2.9,180.0
,10.49,4.017,2,95,50.3887392,-84.4813208,4.017,2022-05-11 22:20:47,81.0,29.0,50.0,97.5,316.0,28.5,94.0,,,,,2022,5,11,22,2.9,180.0
,14.38,3.987,2,95,50.3887099,-84.481361,3.987,2022-05-11 22:20:48,81.0,28.5,51.0,96.5,327.0,29.5,95.5,14.0,,,,2022,5,11,22,2.9,180.0
,18.4,4.013,2,94,50.38868,-84.4814028,4.013,2022-05-11 22:20:49,81.0,28.0,52.0,95.5,338.0,30.5,97.0,14.0,,,,2022,5,11,22,2.9,180.0
,22.58,4.093,2,95,50.3886472,-84.4814442,4.093,2022-05-11 22:20:50,81.0,28.0,52.0,95.0,341.0,31.0,98.0,14.0,,,,2022,5,11,22,2.9,180.0
,26.6,4.028,2,95,50.3886169,-84.4814853,4.028,2022-05-11 22:20:51,81.0,28.5,52.0,95.5,335.0,29.5,98.0,14.0,,,,2022,5,11,22,2.9,180.0
,30.47,3.913,2,96,50.3885903,-84.4815283,3.913,2022-05-11 22:20:52,82.0,29.5,52.0,97.0,327.0,27.0,97.5,14.0,,,,2022,5,11,22,2.9,180.0
,34.32,3.865,2,95,50.3885657,-84.4815731,3.865,2022-05-11 22:20:53,81.0,32.0,47.0,98.0,306.0,29.0,99.0,14.0,,,,2022,5,11,22,2.9,180.0
,37.92,3.664,2,96,50.3885431,-84.4816152,3.664,2022-05-11 22:20:54,79.0,32.0,45.0,96.5,263.0,30.0,99.0,14.0,,,,2022,5,11,22,2.9,180.0
,41.39,3.526,2,96,50.3885201,-84.4816547,3.526,2022-05-11 22:20:55,77.0,32.0,45.0,95.5,219.0,30.5,98.5,14.0,,,,2022,5,11,22,2.9,180.0
,44.94,3.543,2,96,50.3884974,-84.4816959,3.543,2022-05-11 22:20:56,76.0,32.0,45.0,95.5,183.0,30.5,98.5,14.0,,,,2022,5,11,22,2.9,180.0
,48.57,3.604,2,96,50.3884766,-84.4817402,3.604,2022-05-11 22:20:57,72.0,32.0,45.0,95.5,198.0,30.5,98.5,14.0,,,,2022,5,11,22,2.9,180.0
,52.17,3.662,2,96,50.3884551,-84.4817834,3.662,2022-05-11 22:20:58,72.0,32.0,45.0,95.5,200.0,30.5,98.5,14.0,,,,2022,5,11,22,2.9,180.0
,56.09,3.837,2,95,50.3884299,-84.4818286,3.837,2022-05-11 22:20:59,74.0,26.0,45.0,83.0,183.0,31.0,93.0,14.0,,,,2022,5,11,22,2.9,180.0
,60.43,4.173,2,94,50.3884047,-84.4818813,4.173,2022-05-11 22:21:00,77.0,22.5,45.0,75.0,151.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,64.84,4.545,2,95,50.3883785,-84.4819343,4.545,2022-05-11 22:21:01,81.0,22.5,45.0,75.0,116.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,69.57,4.855,2,94,50.3883468,-84.4819877,4.855,2022-05-11 22:21:02,87.0,22.5,45.0,75.0,92.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,74.58,5.275,2,95,50.3883142,-84.4820452,5.275,2022-05-11 22:21:03,91.0,22.5,45.0,75.0,62.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,80.12,5.96,2,95,50.3882787,-84.4821096,5.96,2022-05-11 22:21:04,85.0,22.5,46.0,75.0,79.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,86.36,6.638,2,94,50.3882375,-84.4821806,6.638,2022-05-11 22:21:05,70.0,22.5,49.0,75.0,138.0,31.0,89.5,14.0,,,,2022,5,11,22,2.9,180.0
,93.16,7.032,2,93,50.3881906,-84.4822559,7.032,2022-05-11 22:21:06,75.0,22.5,41.0,76.5,137.0,26.5,81.5,14.0,,,,2022,5,11,22,2.9,180.0
,100.85,7.776,2,93,50.3881356,-84.4823389,7.776,2022-05-11 22:21:07,80.0,22.5,33.0,78.0,137.0,22.5,74.0,14.0,,,,2022,5,11,22,2.9,180.0
,109.37,8.665,2,93,50.3880703,-84.482425,8.665,2022-05-11 22:21:08,84.0,22.5,33.0,78.0,152.0,22.5,74.0,14.0,,,,2022,5,11,22,2.9,180.0
,118.78,9.34,2,94,50.3879911,-84.4825091,9.34,2022-05-11 22:21:09,88.0,22.5,33.0,78.0,141.0,22.5,74.0,14.0,,,,2022,5,11,22,2.9,180.0
,128.32,9.359,2,95,50.3879069,-84.4825876,9.359,2022-05-11 22:21:10,93.0,22.5,38.0,78.0,130.0,22.5,74.0,14.0,,,,2022,5,11,22,2.9,180.0
,138.31,9.943,2,95,50.3878161,-84.4826645,9.943,2022-05-11 22:21:11,99.0,22.5,49.0,78.0,125.0,22.5,74.0,14.0,,,,2022,5,11,22,2.9,180.0
,148.92,10.5,2,95,50.3877179,-84.4827422,10.5,2022-05-11 22:21:12,100.0,20.5,55.0,68.5,169.0,20.5,68.0,14.0,,,,2022,5,11,22,2.9,180.0
,160.17,11.019,2,95,50.3876106,-84.4828169,11.019,2022-05-11 22:21:13,99.0,18.0,60.0,56.0,228.0,18.0,60.0,14.0,,,,2022,5,11,22,2.9,180.0
,172.43,11.852,2,96,50.3874887,-84.4828833,11.852,2022-05-11 22:21:14,100.0,17.5,61.0,53.5,292.0,17.5,58.5,14.0,,,,2022,5,11,22,2.9,180.0
,185.46,12.671,2,96,50.3873553,-84.4829401,12.671,2022-05-11 22:21:15,101.0,18.5,61.0,58.5,281.0,18.5,61.5,14.0,,,,2022,5,11,22,2.9,180.0
,199.21,13.411,2,95,50.3872115,-84.482984,13.411,2022-05-11 22:21:16,103.0,20.0,61.0,67.5,204.0,20.0,66.5,14.0,,,,2022,5,11,22,2.9,180.0
,213.39,13.745,2,96,50.3870605,-84.4830086,13.745,2022-05-11 22:21:17,105.0,22.0,60.0,76.5,127.0,21.0,72.0,14.0,,,,2022,5,11,22,2.9,180.0
,227.45,13.655,2,95,50.38691,-84.4830052,13.655,2022-05-11 22:21:18,107.0,23.5,60.0,85.5,50.0,22.5,77.5,14.0,,,,2022,5,11,22,2.9,180.0
,241.54,13.64,2,96,50.3867603,-84.4829761,13.64,2022-05-11 22:21:19,57.0,25.5,45.0,82.0,129.0,24.5,82.5,14.0,,,,2022,5,11,22,2.9,180.0
,255.47,13.492,2,95,50.3866136,-84.4829375,13.492,2022-05-11 22:21:20,114.0,26.0,37.0,79.0,276.0,25.0,83.5,14.0,,,,2022,5,11,22,2.9,180.0
,269.31,13.473,2,95,50.3864678,-84.4828984,13.473,2022-05-11 22:21:21,104.0,26.0,38.0,85.5,379.0,19.0,60.0,14.0,39.0,39.0,0.0,2022,5,11,22,2.9,180.0
,283.07,13.115,2,94,50.3863243,-84.4828513,13.115,2022-05-11 22:21:22,102.0,29.0,54.0,91.5,339.0,19.5,61.0,14.0,39.39999999999998,39.39999999999998,0.0,2022,5,11,22,2.9,180.0
,296.34,12.939,2,93,50.3861903,-84.4827871,12.939,2022-05-11 22:21:23,102.0,25.5,49.0,88.0,319.0,26.5,84.0,14.0,39.39999999999998,39.39999999999998,0.0,2022,5,11,22,2.9,180.0
,309.42,12.895,2,92,50.3860634,-84.482706,12.895,2022-05-11 22:21:24,101.0,27.5,50.0,89.0,275.0,26.5,87.0,14.0,39.39999999999998,39.39999999999998,0.0,2022,5,11,22,2.9,180.0
,322.38,12.693,2,93,50.3859434,-84.4826116,12.693,2022-05-11 22:21:25,99.0,27.0,51.0,85.5,246.0,25.0,82.5,14.0,39.39999999999998,39.39999999999998,0.0,2022,5,11,22,2.9,180.0
,335.39,12.509,2,94,50.385826,-84.4825097,12.509,2022-05-11 22:21:26,95.0,24.5,51.0,80.0,210.0,24.0,78.5,14.0,39.60000000000002,39.60000000000002,0.09,2022,5,11,22,2.9,180.0
,348.26,12.188,2,94,50.3857106,-84.4824073,12.188,2022-05-11 22:21:27,94.0,24.5,50.0,77.5,234.0,22.0,77.5,14.0,39.799999999999955,39.799999999999955,0.57,2022,5,11,22,2.9,180.0
,360.34,11.776,2,93,50.3856065,-84.4823033,11.776,2022-05-11 22:21:28,92.0,24.5,54.0,80.5,223.0,23.0,75.0,14.0,40.0,40.0,0.92,2022,5,11,22,2.9,180.0
,372.21,11.605,2,93,50.3855058,-84.4821981,11.605,2022-05-11 22:21:29,91.0,24.5,55.0,81.5,221.0,23.5,74.0,14.0,40.0,40.0,0.9,2022,5,11,22,2.9,180.0
,383.73,11.331,2,92,50.3854072,-84.4820975,11.331,2022-05-11 22:21:30,91.0,24.5,54.0,81.5,222.0,23.5,74.0,14.0,40.0,40.0,1.01,2022,5,11,22,2.9,180.0
,394.96,11.045,2,93,50.3853115,-84.4819987,11.045,2022-05-11 22:21:31,93.0,24.5,54.0,81.5,242.0,23.5,74.0,14.0,39.799999999999955,39.799999999999955,0.93,2022,5,11,22,2.9,180.0
,406.14,10.968,2,93,50.3852149,-84.4819028,10.968,2022-05-11 22:21:32,93.0,24.5,54.0,81.5,257.0,23.5,74.0,14.0,40.0,40.0,0.38,2022,5,11,22,2.9,180.0
,416.79,10.576,2,94,50.3851213,-84.4818142,10.576,2022-05-11 22:21:33,92.0,24.5,54.0,81.5,267.0,23.5,74.0,14.0,40.200000000000045,40.200000000000045,0.0,2022,5,11,22,2.9,180.0
,427.37,10.122,2,94,50.3850285,-84.4817262,10.122,2022-05-11 22:21:34,90.0,24.5,54.0,81.5,237.0,23.5,74.0,14.0,40.200000000000045,40.200000000000045,0.0,2022,5,11,22,2.9,180.0
,438.1,9.768,2,94,50.3849349,-84.4816356,9.768,2022-05-11 22:21:35,88.0,24.5,50.0,81.5,230.0,23.5,74.0,14.0,40.200000000000045,40.200000000000045,0.0,2022,5,11,22,2.9,180.0
,448.23,9.473,2,94,50.3848478,-84.481548,9.473,2022-05-11 22:21:36,87.0,25.0,47.0,81.5,227.0,23.5,75.5,14.0,40.39999999999998,40.39999999999998,0.12,2022,5,11,22,2.9,180.0
,457.9,9.472,2,96,50.3847651,-84.4814634,9.472,2022-05-11 22:21:37,86.0,27.5,48.0,82.0,214.0,24.5,80.5,14.0,40.39999999999998,40.39999999999998,0.79,2022,5,11,22,2.9,180.0
,467.46,9.62,2,95,50.3846825,-84.4813812,9.62,2022-05-11 22:21:38,86.0,29.5,49.0,82.5,200.0,25.0,85.5,14.0,40.39999999999998,40.39999999999998,1.13,2022,5,11,22,2.9,180.0
,476.79,9.733,2,95,50.3846011,-84.4813028,9.733,2022-05-11 22:21:39,84.0,29.5,49.0,82.5,193.0,25.0,85.5,14.0,40.39999999999998,40.39999999999998,0.74,2022,5,11,22,2.9,180.0
,486.81,9.88,2,95,50.3845129,-84.4812197,9.88,2022-05-11 22:21:40,84.0,29.5,49.0,82.5,202.0,25.0,85.5,14.0,40.39999999999998,40.39999999999998,0.54,2022,5,11,22,2.9,180.0
,497.31,9.939,2,94,50.3844198,-84.4811339,9.939,2022-05-11 22:21:41,86.0,29.5,51.0,82.5,215.0,25.0,85.5,14.0,40.200000000000045,40.200000000000045,0.25,2022,5,11,22,2.9,180.0
,507.48,9.855,2,94,50.3843298,-84.4810507,9.855,2022-05-11 22:21:42,86.0,29.5,56.0,82.5,214.0,25.0,85.5,14.0,40.200000000000045,40.200000000000045,-0.05,2022,5,11,22,2.9,180.0
,517.51,9.742,2,94,50.3842408,-84.4809689,9.742,2022-05-11 22:21:43,87.0,28.0,55.0,83.0,203.0,28.0,85.0,14.0,40.0,40.0,-0.39,2022,5,11,22,2.9,180.0
,527.37,9.808,2,93,50.3841527,-84.48089,9.808,2022-05-11 22:21:44,87.0,26.5,54.0,83.5,194.0,30.0,84.0,14.0,39.799999999999955,39.799999999999955,-0.84,2022,5,11,22,2.9,180.0
,537.44,10.173,2,94,50.3840629,-84.4808089,10.173,2022-05-11 22:21:45,87.0,27.5,54.0,88.5,218.0,26.0,80.5,14.0,39.60000000000002,39.60000000000002,-1.18,2022,5,11,22,2.9,180.0
,547.8,10.369,2,93,50.3839725,-84.4807217,10.369,2022-05-11 22:21:46,88.0,28.0,54.0,90.5,211.0,24.0,79.0,14.0,39.39999999999998,39.39999999999998,-1.35,2022,5,11,22,2.9,180.0
,558.33,10.428,2,93,50.3838817,-84.4806308,10.428,2022-05-11 22:21:47,89.0,28.0,50.0,90.5,196.0,24.0,79.0,14.0,39.200000000000045,39.200000000000045,-1.46,2022,5,11,22,2.9,180.0
,569.08,10.536,2,93,50.3837895,-84.4805374,10.536,2022-05-11 22:21:48,90.0,28.0,44.0,90.5,192.0,24.0,79.0,14.0,39.0,39.0,-1.83,2022,5,11,22,2.9,180.0
,580.22,10.808,2,93,50.3836937,-84.4804409,10.808,2022-05-11 22:21:49,91.0,26.0,44.0,84.5,183.0,24.5,80.5,14.0,38.39999999999998,38.39999999999998,-2.32,2022,5,11,22,2.9,180.0
,591.1,10.687,2,93,50.3835999,-84.4803471,10.687,2022-05-11 22:21:50,91.0,23.5,45.0,76.5,174.0,25.0,82.0,14.0,38.0,38.0,-2.91,2022,5,11,22,2.9,180.0
,601.79,10.612,2,94,50.3835073,-84.4802557,10.612,2022-05-11 22:21:51,91.0,20.5,45.0,69.0,165.0,25.0,84.0,13.0,37.60000000000002,37.60000000000002,-3.35,2022,5,11,22,2.9,180.0
,612.56,10.459,2,94,50.3834129,-84.4801657,10.459,2022-05-11 22:21:52,91.0,19.0,46.0,64.0,145.0,25.5,85.0,13.0,37.200000000000045,37.200000000000045,-3.66,2022,5,11,22,2.9,180.0
,623.11,9.676,2,94,50.3833207,-84.4800771,9.676,2022-05-11 22:21:53,92.0,19.0,46.0,64.0,103.0,25.5,85.0,13.0,36.799999999999955,36.799999999999955,-3.97,2022,5,11,22,2.9,180.0
,632.97,8.852,2,94,50.3832323,-84.479999,8.852,2022-05-11 22:21:54,93.0,19.0,46.0,64.0,60.0,25.5,85.0,13.0,36.200000000000045,36.200000000000045,-4.13,2022,5,11,22,2.9,180.0
,642.21,8.293,2,94,50.3831409,-84.4799505,8.293,2022-05-11 22:21:55,93.0,19.0,46.0,64.0,18.0,25.5,85.0,13.0,35.39999999999998,35.39999999999998,-3.78,2022,5,11,22,2.9,180.0
