altitude,battery_soc,cadence,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,temperature,heart_rate,year,month,day,hour,wind_speed,wind_direction
52.39999999999998,20.0,76,0.0,52.39999999999998,5.074,2,0.0,18.5,67.0,57.0,50.3902982,-84.4797956,70,15.5,57.0,5.074,2022-05-19 22:30:27,,,2022,5,19,22,0.95,198.0
52.39999999999998,,77,3.66,52.39999999999998,5.063,2,-0.41,18.0,62.0,58.5,50.3903216,-84.4797532,78,15.0,54.0,5.063,2022-05-19 22:30:28,16.0,,2022,5,19,22,0.95,198.0
52.200000000000045,,79,8.31,52.200000000000045,5.293,2,-0.88,17.5,58.0,60.0,50.3903513,-84.4796991,85,15.0,51.0,5.293,2022-05-19 22:30:29,16.0,,2022,5,19,22,0.95,198.0
52.200000000000045,,80,13.76,52.200000000000045,5.631,2,-1.56,17.0,53.0,61.5,50.3903864,-84.4796361,93,14.5,48.5,5.631,2022-05-19 22:30:30,16.0,,2022,5,19,22,0.95,198.0
52.0,,82,20.1,52.0,5.982,2,-1.58,17.0,55.0,62.0,50.3904275,-84.4795631,101,14.5,47.5,5.982,2022-05-19 22:30:31,16.0,,2022,5,19,22,0.95,198.0
51.799999999999955,,84,26.6,51.799999999999955,6.284,2,-1.69,17.0,59.0,62.0,50.3904686,-84.479487,110,14.5,47.5,6.284,2022-05-19 22:30:32,16.0,,2022,5,19,22,0.95,198.0
51.60000000000002,,86,33.45,51.60000000000002,6.571,2,-2.21,17.0,63.0,62.0,50.3905131,-84.4794082,119,14.5,47.5,6.571,2022-05-19 22:30:33,16.0,,2022,5,19,22,0.95,198.0
51.39999999999998,,87,40.61,51.39999999999998,6.835,2,-2.65,17.0,66.0,62.0,50.3905586,-84.4793249,123,14.5,47.5,6.835,2022-05-19 22:30:34,16.0,,2022,5,19,22,0.95,198.0
51.39999999999998,,87,48.05,51.39999999999998,7.062,2,-2.76,17.5,65.0,63.5,50.3906063,-84.4792387,118,14.5,48.0,7.062,2022-05-19 22:30:35,16.0,,2022,5,19,22,0.95,198.0
51.200000000000045,,88,55.69,51.200000000000045,7.241,2,-2.71,19.5,63.0,68.5,50.3906557,-84.4791504,123,15.5,50.0,7.241,2022-05-19 22:30:36,16.0,,2022,5,19,22,0.95,198.0
51.0,,88,63.46,51.0,7.319,2,-2.61,21.5,60.0,74.0,50.3907069,-84.4790618,128,16.0,52.0,7.319,2022-05-19 22:30:37,16.0,,2022,5,19,22,0.95,198.0
51.0,,89,71.03,51.0,7.206,2,-2.47,23.5,58.0,79.0,50.3907596,-84.4789785,133,16.5,54.0,7.206,2022-05-19 22:30:38,16.0,,2022,5,19,22,0.95,198.0
