distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,heart_rate,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0.0,5.011,3,50.3910816,-84.4785648,5.011,2022-05-22 19:14:08,,,,,,,,,,,,,,2022,5,22,19,2.51,157.0
3.64,5.309,3,50.3911003,-84.4785186,5.309,2022-05-22 19:14:09,96.0,0.0,104.0,14.0,43.5,0.0,17.5,56.0,,,,,,2022,5,22,19,2.51,157.0
9.18,6.359,3,50.3911323,-84.4784511,6.359,2022-05-22 19:14:10,,0.0,105.0,14.0,43.5,0.0,17.5,56.0,29.0,,,,,2022,5,22,19,2.51,157.0
17.14,7.557,3,50.3911834,-84.478359,7.557,2022-05-22 19:14:11,,0.0,105.0,14.0,43.5,0.0,17.5,56.0,29.0,45.0,,,,2022,5,22,19,2.51,157.0
24.8,7.694,3,50.3912316,-84.4782696,7.694,2022-05-22 19:14:12,,11.0,106.0,18.5,53.0,129.0,14.5,46.5,29.0,62.0,,,,2022,5,22,19,2.51,157.0
33.11,8.204,3,50.3912819,-84.4781706,8.204,2022-05-22 19:14:13,,64.0,107.0,38.5,97.5,115.0,0.5,2.0,29.0,79.0,,,,2022,5,22,19,2.51,157.0
42.12,8.738,3,50.3913397,-84.4780661,8.738,2022-05-22 19:14:14,,72.0,106.0,26.5,79.5,81.0,12.0,40.5,29.0,65.0,,,,2022,5,22,19,2.51,157.0
51.38,9.124,3,50.3913976,-84.4779575,9.124,2022-05-22 19:14:15,,75.0,105.0,19.0,68.0,68.0,19.0,63.5,29.0,50.0,,,,2022,5,22,19,2.51,157.0
61.49,9.9,3,50.3914612,-84.4778389,9.9,2022-05-22 19:14:16,,76.0,105.0,18.0,63.5,79.0,17.0,58.0,29.0,47.0,,,,2022,5,22,19,2.51,157.0
72.42,10.632,3,50.391529,-84.47771,10.632,2022-05-22 19:14:17,,81.0,104.0,16.0,55.5,89.0,13.5,49.0,29.0,56.0,,,,2022,5,22,19,2.51,157.0
84.09,11.059,3,50.3915971,-84.4775687,11.059,2022-05-22 19:14:18,,86.0,105.0,15.5,51.5,104.0,13.5,49.0,29.0,51.0,,,,2022,5,22,19,2.51,157.0
96.41,11.662,3,50.391667,-84.4774179,11.662,2022-05-22 19:14:19,,88.0,107.0,16.0,53.0,78.0,13.5,49.5,29.0,52.0,,,,2022,5,22,19,2.51,157.0
108.77,12.096,3,50.3917464,-84.4772748,12.096,2022-05-22 19:14:20,,90.0,108.0,16.5,54.5,50.0,13.5,50.0,29.0,52.0,,,,2022,5,22,19,2.51,157.0
121.43,12.343,3,50.3918307,-84.4771312,12.343,2022-05-22 19:14:21,,92.0,108.0,17.0,56.0,22.0,13.5,50.5,29.0,53.0,,,,2022,5,22,19,2.51,157.0
134.31,12.896,3,50.3919174,-84.4769861,12.896,2022-05-22 19:14:22,,0.0,108.0,17.5,57.0,0.0,13.5,51.0,29.0,53.0,,,,2022,5,22,19,2.51,157.0
148.26,13.874,3,50.3920127,-84.4768304,13.874,2022-05-22 19:14:23,,0.0,108.0,17.5,57.0,0.0,13.5,51.0,29.0,54.0,,,,2022,5,22,19,2.51,157.0
162.13,14.626,3,50.3921066,-84.476675,14.626,2022-05-22 19:14:24,,40.0,108.0,17.5,57.0,61.0,13.5,51.0,29.0,54.0,,,,2022,5,22,19,2.51,157.0
176.47,14.974,3,50.392201,-84.476511,14.974,2022-05-22 19:14:25,,96.0,108.0,17.5,58.0,184.0,13.5,51.5,29.0,54.0,,,,2022,5,22,19,2.51,157.0
192.41,15.2,3,50.3923057,-84.4763288,15.2,2022-05-22 19:14:26,,95.0,108.0,18.5,62.0,173.0,14.0,53.5,29.0,56.0,,,,2022,5,22,19,2.51,157.0
207.83,15.414,3,50.3924089,-84.4761546,15.414,2022-05-22 19:14:27,,94.0,108.0,19.5,66.5,163.0,14.5,55.5,29.0,57.0,,,,2022,5,22,19,2.51,157.0
223.3,15.652,3,50.3925129,-84.47598,15.652,2022-05-22 19:14:28,,93.0,108.0,20.5,70.5,152.0,15.0,57.5,29.0,59.0,,,,2022,5,22,19,2.51,157.0
238.9,15.755,3,50.3926186,-84.4758052,15.755,2022-05-22 19:14:29,,93.0,107.0,21.5,74.0,142.0,15.5,59.0,29.0,60.0,,,,2022,5,22,19,2.51,157.0
254.41,15.403,3,50.3927229,-84.4756304,15.403,2022-05-22 19:14:30,,97.0,108.0,21.5,74.0,134.0,15.5,59.0,29.0,60.0,,,,2022,5,22,19,2.51,157.0
269.86,14.714,3,50.3928248,-84.4754541,14.714,2022-05-22 19:14:31,,96.0,107.0,21.5,74.0,131.0,15.5,59.0,29.0,60.0,,,,2022,5,22,19,2.51,157.0
285.19,14.363,3,50.3929252,-84.4752785,14.363,2022-05-22 19:14:32,,96.0,106.0,21.5,74.0,136.0,15.5,59.0,30.0,50.0,,,,2022,5,22,19,2.51,157.0
299.72,14.125,3,50.3930204,-84.475112,14.125,2022-05-22 19:14:33,,95.0,106.0,21.0,72.0,141.0,16.0,59.0,30.0,47.0,,,,2022,5,22,19,2.51,157.0
314.0,14.014,3,50.3931137,-84.4749482,14.014,2022-05-22 19:14:34,,94.0,105.0,19.5,67.5,146.0,16.5,58.5,30.0,52.0,,,,2022,5,22,19,2.51,157.0
328.32,13.98,3,50.3932076,-84.4747844,13.98,2022-05-22 19:14:35,,95.0,105.0,19.0,66.0,167.0,17.5,61.0,30.0,54.0,,,,2022,5,22,19,2.51,157.0
342.42,13.82,3,50.3932988,-84.4746215,13.82,2022-05-22 19:14:36,,97.0,106.0,20.0,68.0,204.0,19.0,67.0,30.0,54.0,,,,2022,5,22,19,2.51,157.0
356.67,13.647,3,50.3933889,-84.4744552,13.647,2022-05-22 19:14:37,,97.0,108.0,20.5,68.5,192.0,19.5,68.5,30.0,54.0,,,,2022,5,22,19,2.51,157.0
370.5,13.342,3,50.3934777,-84.474295,13.342,2022-05-22 19:14:38,,96.0,106.0,20.5,68.5,199.0,19.5,68.5,30.0,54.0,,,,2022,5,22,19,2.51,157.0
383.56,12.845,3,50.3935631,-84.4741452,12.845,2022-05-22 19:14:39,,95.0,107.0,22.0,72.0,207.0,19.5,69.0,30.0,53.0,,,,2022,5,22,19,2.51,157.0
395.97,12.683,3,50.3936437,-84.4740023,12.683,2022-05-22 19:14:40,,94.0,107.0,25.5,79.5,215.0,20.0,70.0,30.0,50.0,,,,2022,5,22,19,2.51,157.0
408.6,12.668,3,50.3937263,-84.4738576,12.668,2022-05-22 19:14:41,,94.0,106.0,28.5,87.0,222.0,20.5,70.5,30.0,47.0,,,,2022,5,22,19,2.51,157.0
421.96,12.37,3,50.3938156,-84.4737064,12.37,2022-05-22 19:14:42,,93.0,105.0,32.0,94.5,230.0,21.0,71.5,30.0,44.0,,,,2022,5,22,19,2.51,157.0
434.38,12.164,3,50.3938985,-84.4735657,12.164,2022-05-22 19:14:43,,92.0,105.0,28.0,89.0,247.0,23.0,77.0,30.0,43.0,,,,2022,5,22,19,2.51,157.0
446.49,12.0,3,50.3939771,-84.4734262,12.0,2022-05-22 19:14:44,,91.0,105.0,22.0,79.5,205.0,25.5,82.5,30.0,43.0,,,,2022,5,22,19,2.51,157.0
458.28,11.883,3,50.39405,-84.4732869,11.883,2022-05-22 19:14:45,,90.0,108.0,23.0,80.0,184.0,25.0,81.5,30.0,48.0,,,,2022,5,22,19,2.51,157.0
470.1,11.793,3,50.3941241,-84.4731482,11.793,2022-05-22 19:14:46,,89.0,111.0,27.0,83.0,163.0,23.5,77.5,30.0,48.0,,,,2022,5,22,19,2.51,157.0
481.95,11.917,3,50.3942031,-84.473014,11.917,2022-05-22 19:14:47,,88.0,115.0,24.5,79.5,188.0,23.0,75.0,30.0,46.0,5.0,5.0,,2022,5,22,19,2.51,157.0
493.87,12.022,3,50.3942842,-84.4728807,12.022,2022-05-22 19:14:48,,88.0,118.0,21.0,74.5,199.0,22.0,71.5,30.0,44.0,5.0,5.0,0.0,2022,5,22,19,2.51,157.0
