altitude,cadence,distance,enhanced_altitude,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,grade,temperature,year,month,day,hour,wind_speed,wind_direction
50.39999999999998,85,0.0,50.39999999999998,8.004,3,22.0,51.0,72.5,50.3906143,-84.4792408,160,22.0,74.0,8.004,2022-05-28 19:38:56,,,,2022,5,28,19,1.7,130.0
50.200000000000045,87,6.0,50.200000000000045,8.23,3,22.0,48.0,72.5,50.3906541,-84.4791726,184,22.0,74.0,8.23,2022-05-28 19:38:57,29.0,0.0,23.0,2022,5,28,19,1.7,130.0
50.200000000000045,89,13.68,50.200000000000045,8.333,3,24.0,47.0,77.0,50.390705,-84.4790851,199,22.5,75.5,8.333,2022-05-28 19:38:58,,0.0,23.0,2022,5,28,19,1.7,130.0
50.0,91,22.77,50.0,8.867,3,33.0,55.0,98.5,50.3907663,-84.4789831,178,24.0,84.0,8.867,2022-05-28 19:38:59,,-0.14,23.0,2022,5,28,19,1.7,130.0
49.60000000000002,96,32.15,49.60000000000002,9.328,3,27.5,51.0,84.5,50.3908309,-84.478879,146,21.5,75.0,9.328,2022-05-28 19:39:00,,-1.62,23.0,2022,5,28,19,1.7,130.0
49.200000000000045,99,41.83,49.200000000000045,9.265,3,20.5,46.0,67.5,50.3908975,-84.4787715,104,19.5,69.5,9.265,2022-05-28 19:39:01,,-2.72,23.0,2022,5,28,19,1.7,130.0
49.0,96,51.78,49.0,9.29,3,18.0,44.0,62.0,50.3909665,-84.4786618,37,19.0,70.0,9.29,2022-05-28 19:39:02,,-2.55,23.0,2022,5,28,19,1.7,130.0
48.799999999999955,74,61.58,48.799999999999955,9.671,3,18.0,44.0,62.0,50.3910335,-84.4785524,25,19.0,70.0,9.671,2022-05-28 19:39:03,,-2.63,23.0,2022,5,28,19,1.7,130.0
48.39999999999998,72,71.92,48.39999999999998,10.203,3,18.0,44.0,62.0,50.3911028,-84.4784358,145,19.0,70.0,10.203,2022-05-28 19:39:04,,-2.65,23.0,2022,5,28,19,1.7,130.0
48.39999999999998,83,83.02,48.39999999999998,11.051,3,18.0,44.0,62.0,50.3911728,-84.4783059,191,19.0,70.0,11.051,2022-05-28 19:39:05,,-2.57,23.0,2022,5,28,19,1.7,130.0
47.60000000000002,92,95.43,47.60000000000002,11.936,3,19.5,44.0,66.0,50.3912531,-84.4781629,191,20.5,73.0,11.936,2022-05-28 19:39:06,,-2.54,23.0,2022,5,28,19,1.7,130.0
