distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,heart_rate,year,month,day,hour,wind_speed,wind_direction
0.0,7.139,2,50.390503,-84.4795212,7.139,2022-05-30 00:03:56,,,,,,,,,,,,,,2022,5,30,0,4.68,250.0
4.47,7.176,2,50.3905318,-84.4794696,7.176,2022-05-30 00:03:57,22.0,86.0,24.5,53.0,78.5,161.0,18.0,74.0,21.0,,,,,2022,5,30,0,4.68,250.0
10.02,7.387,2,50.3905673,-84.4794052,7.387,2022-05-30 00:03:58,,92.0,24.5,53.0,78.5,159.0,18.0,74.0,21.0,,,,,2022,5,30,0,4.68,250.0
17.7,7.814,2,50.3906168,-84.4793163,7.814,2022-05-30 00:03:59,,100.0,24.5,53.0,78.5,145.0,18.0,74.0,21.0,,,,,2022,5,30,0,4.68,250.0
25.61,7.995,2,50.3906684,-84.4792256,7.995,2022-05-30 00:04:00,,104.0,25.5,51.0,82.0,146.0,17.5,69.0,21.0,,,,,2022,5,30,0,4.68,250.0
33.76,8.055,2,50.3907209,-84.4791313,8.055,2022-05-30 00:04:01,,101.0,27.5,47.0,88.5,177.0,16.0,59.5,21.0,,,,,2022,5,30,0,4.68,250.0
42.09,7.997,2,50.3907745,-84.4790347,7.997,2022-05-30 00:04:02,,98.0,29.5,43.0,95.0,208.0,15.0,50.5,21.0,,,,,2022,5,30,0,4.68,250.0
50.57,8.012,2,50.390828,-84.4789356,8.012,2022-05-30 00:04:03,,94.0,30.5,41.0,98.0,174.0,14.5,46.5,21.0,,,,,2022,5,30,0,4.68,250.0
59.22,8.287,2,50.3908835,-84.4788354,8.287,2022-05-30 00:04:04,,89.0,30.5,41.0,98.0,93.0,14.5,46.5,21.0,,,,,2022,5,30,0,4.68,250.0
67.88,8.56,2,50.3909396,-84.4787355,8.56,2022-05-30 00:04:05,,82.0,29.0,42.0,94.5,69.0,15.5,50.5,21.0,,,,,2022,5,30,0,4.68,250.0
76.72,8.84,2,50.3909939,-84.4786308,8.84,2022-05-30 00:04:06,,74.0,27.0,43.0,88.5,89.0,18.0,57.5,21.0,47.200000000000045,47.200000000000045,,,2022,5,30,0,4.68,250.0
85.89,9.159,2,50.3910503,-84.4785221,9.159,2022-05-30 00:04:07,,66.0,25.0,45.0,82.5,109.0,20.0,65.0,21.0,47.0,47.0,0.0,,2022,5,30,0,4.68,250.0
95.23,9.467,2,50.3911098,-84.4784135,9.467,2022-05-30 00:04:08,,58.0,22.5,46.0,76.0,129.0,22.0,72.0,21.0,46.799999999999955,46.799999999999955,0.0,,2022,5,30,0,4.68,250.0
105.46,9.896,2,50.3911742,-84.4782937,9.896,2022-05-30 00:04:09,,49.0,20.5,48.0,70.0,149.0,24.0,79.0,21.0,46.39999999999998,46.39999999999998,0.0,,2022,5,30,0,4.68,250.0
115.51,10.282,2,50.3912387,-84.4781773,10.282,2022-05-30 00:04:10,,47.0,18.5,49.0,64.5,164.0,26.0,85.5,21.0,45.799999999999955,45.799999999999955,0.0,,2022,5,30,0,4.68,250.0
126.01,10.853,2,50.3913074,-84.478057,10.853,2022-05-30 00:04:11,,87.0,20.5,49.0,70.5,143.0,24.5,81.0,21.0,45.200000000000045,45.200000000000045,0.0,,2022,5,30,0,4.68,250.0
137.25,11.254,2,50.39138,-84.4779271,11.254,2022-05-30 00:04:12,,84.0,25.5,49.0,88.5,166.0,20.0,67.0,21.0,44.60000000000002,44.60000000000002,-1.46,,2022,5,30,0,4.68,250.0
148.74,11.543,2,50.3914536,-84.4777938,11.543,2022-05-30 00:04:13,,85.0,28.0,49.0,96.0,142.0,18.0,61.5,21.0,44.0,44.0,-4.19,,2022,5,30,0,4.68,250.0
160.48,11.955,2,50.3915282,-84.477657,11.955,2022-05-30 00:04:14,,92.0,27.0,49.0,92.5,128.0,18.0,61.0,21.0,43.200000000000045,43.200000000000045,-5.76,,2022,5,30,0,4.68,250.0
172.96,12.357,2,50.391607,-84.477511,12.357,2022-05-30 00:04:15,,96.0,18.5,49.0,63.5,105.0,17.0,57.5,21.0,42.799999999999955,42.799999999999955,-6.03,,2022,5,30,0,4.68,250.0
185.28,12.628,2,50.391685,-84.4773672,12.628,2022-05-30 00:04:16,,98.0,15.0,53.0,52.5,102.0,14.5,51.5,21.0,42.39999999999998,42.39999999999998,-5.75,,2022,5,30,0,4.68,250.0
198.98,12.794,3,50.3917536,-84.477195,12.794,2022-05-30 00:04:17,,99.0,12.5,46.0,43.5,49.0,14.5,52.0,21.0,41.200000000000045,41.200000000000045,-5.76,,2022,5,30,0,4.68,250.0
215.25,13.332,4,50.3918244,-84.4769865,13.332,2022-05-30 00:04:18,,100.0,9.5,38.0,33.0,27.0,15.0,52.5,21.0,40.200000000000045,40.200000000000045,-5.94,,2022,5,30,0,4.68,250.0
229.69,14.079,4,50.391941,-84.4768508,14.079,2022-05-30 00:04:19,,91.0,9.0,30.0,30.0,10.0,15.0,53.0,21.0,39.200000000000045,39.200000000000045,-5.54,,2022,5,30,0,4.68,250.0
244.86,14.965,4,50.3920702,-84.476719,14.965,2022-05-30 00:04:20,,44.0,19.5,37.0,62.0,64.0,11.0,53.5,21.0,37.799999999999955,37.799999999999955,-5.5,,2022,5,30,0,4.68,250.0
259.48,15.327,3,50.3921714,-84.4765592,15.327,2022-05-30 00:04:21,,105.0,7.0,56.0,24.5,148.0,0.0,55.5,21.0,36.39999999999998,36.39999999999998,-6.35,,2022,5,30,0,4.68,250.0
274.04,15.164,3,50.3922589,-84.4763851,15.164,2022-05-30 00:04:22,,105.0,7.0,56.0,24.5,184.0,0.0,57.0,21.0,35.200000000000045,35.200000000000045,-7.09,,2022,5,30,0,4.68,250.0
289.49,15.247,3,50.3923612,-84.4762091,15.247,2022-05-30 00:04:23,,104.0,7.0,56.0,24.5,112.0,0.0,59.0,21.0,33.799999999999955,33.799999999999955,-7.69,,2022,5,30,0,4.68,250.0
305.0,15.594,3,50.392464,-84.4760329,15.594,2022-05-30 00:04:24,,82.0,12.5,56.0,45.0,158.0,5.5,61.0,21.0,32.200000000000045,32.200000000000045,-8.81,,2022,5,30,0,4.68,250.0
320.84,15.729,3,50.3925685,-84.4758522,15.729,2022-05-30 00:04:25,,60.0,24.0,56.0,85.0,331.0,18.0,68.0,21.0,31.0,31.0,-9.78,,2022,5,30,0,4.68,250.0
337.09,15.635,3,50.3926732,-84.4756643,15.635,2022-05-30 00:04:26,,108.0,25.0,56.0,87.0,298.0,24.0,84.5,21.0,29.600000000000023,29.600000000000023,-9.94,,2022,5,30,0,4.68,250.0
352.47,15.369,3,50.3927677,-84.4754821,15.369,2022-05-30 00:04:27,,108.0,21.0,56.0,76.0,278.0,25.5,87.5,21.0,27.799999999999955,27.799999999999955,-10.01,,2022,5,30,0,4.68,250.0
367.8,15.167,2,50.3928626,-84.4753012,15.167,2022-05-30 00:04:28,,107.0,20.0,56.0,71.5,234.0,23.5,79.5,21.0,26.200000000000045,26.200000000000045,-10.4,,2022,5,30,0,4.68,250.0
383.64,15.112,2,50.3929686,-84.475122,15.112,2022-05-30 00:04:29,,107.0,21.5,53.0,73.5,240.0,20.5,69.5,21.0,25.0,25.0,-10.42,,2022,5,30,0,4.68,250.0
398.56,14.993,2,50.3930697,-84.4749546,14.993,2022-05-30 00:04:30,,106.0,21.0,49.0,72.0,233.0,21.5,71.5,21.0,24.399999999999977,24.399999999999977,-9.57,,2022,5,30,0,4.68,250.0
413.05,14.565,2,50.3931672,-84.4747915,14.565,2022-05-30 00:04:31,,105.0,21.0,48.0,72.0,214.0,21.5,71.5,21.0,23.600000000000023,23.600000000000023,-8.19,,2022,5,30,0,4.68,250.0
427.53,14.148,2,50.3932642,-84.4746277,14.148,2022-05-30 00:04:32,,104.0,21.0,47.0,72.0,235.0,21.5,71.5,21.0,22.600000000000023,22.600000000000023,-6.87,,2022,5,30,0,4.68,250.0
441.46,13.817,2,50.3933576,-84.4744707,13.817,2022-05-30 00:04:33,,103.0,21.0,47.0,72.0,258.0,21.5,71.5,21.0,21.799999999999955,21.799999999999955,-5.82,,2022,5,30,0,4.68,250.0
455.23,13.616,2,50.3934485,-84.4743137,13.616,2022-05-30 00:04:34,,102.0,21.0,54.0,72.0,293.0,21.5,71.5,21.0,21.200000000000045,21.200000000000045,-5.04,,2022,5,30,0,4.68,250.0
468.79,13.472,2,50.393535,-84.4741559,13.472,2022-05-30 00:04:35,,101.0,21.0,62.0,72.0,328.0,21.5,71.5,21.0,20.799999999999955,20.799999999999955,-4.74,,2022,5,30,0,4.68,250.0
482.0,13.188,2,50.3936191,-84.4740022,13.188,2022-05-30 00:04:36,,98.0,21.0,63.0,72.0,296.0,21.5,71.5,21.0,20.799999999999955,20.799999999999955,-4.89,,2022,5,30,0,4.68,250.0
494.72,12.929,2,50.3937015,-84.4738555,12.929,2022-05-30 00:04:37,,96.0,21.0,58.0,72.0,274.0,21.5,71.5,21.0,20.799999999999955,20.799999999999955,-4.49,,2022,5,30,0,4.68,250.0
507.78,12.524,2,50.3937872,-84.4737059,12.524,2022-05-30 00:04:38,,94.0,21.0,49.0,72.0,267.0,21.5,71.5,21.0,20.799999999999955,20.799999999999955,-3.17,,2022,5,30,0,4.68,250.0
520.23,12.279,2,50.393868,-84.4735626,12.279,2022-05-30 00:04:39,,95.0,21.0,46.0,72.0,255.0,21.5,71.5,21.0,21.200000000000045,21.200000000000045,-1.52,,2022,5,30,0,4.68,250.0
532.17,12.073,2,50.3939464,-84.4734261,12.073,2022-05-30 00:04:40,,94.0,21.0,46.0,72.0,254.0,21.5,71.5,21.0,21.399999999999977,21.399999999999977,-0.14,,2022,5,30,0,4.68,250.0
543.89,11.825,2,50.3940222,-84.4732908,11.825,2022-05-30 00:04:41,,94.0,21.0,48.0,72.0,257.0,21.5,71.5,21.0,21.200000000000045,21.200000000000045,0.6,,2022,5,30,0,4.68,250.0
555.72,11.734,2,50.3940974,-84.473153,11.734,2022-05-30 00:04:42,,94.0,21.0,52.0,72.0,254.0,21.5,71.5,21.0,21.399999999999977,21.399999999999977,0.77,,2022,5,30,0,4.68,250.0
567.44,11.648,2,50.3941708,-84.4730155,11.648,2022-05-30 00:04:43,,95.0,21.0,50.0,72.0,254.0,21.5,71.5,21.0,21.600000000000023,21.600000000000023,0.86,,2022,5,30,0,4.68,250.0
578.89,11.488,2,50.3942438,-84.4728823,11.488,2022-05-30 00:04:44,,95.0,21.0,48.0,72.0,255.0,21.5,71.5,21.0,21.600000000000023,21.600000000000023,0.89,,2022,5,30,0,4.68,250.0
590.26,11.331,2,50.3943199,-84.4727537,11.331,2022-05-30 00:04:45,,95.0,21.0,47.0,72.0,253.0,21.5,71.5,20.0,21.799999999999955,21.799999999999955,0.54,,2022,5,30,0,4.68,250.0
601.42,11.179,2,50.394394,-84.472627,11.179,2022-05-30 00:04:46,,94.0,21.0,47.0,72.0,238.0,21.5,71.5,20.0,22.0,22.0,0.46,,2022,5,30,0,4.68,250.0
612.39,11.199,2,50.3944651,-84.4725005,11.199,2022-05-30 00:04:47,,95.0,21.0,47.0,72.0,303.0,21.5,71.5,20.0,22.200000000000045,22.200000000000045,1.09,,2022,5,30,0,4.68,250.0
623.26,11.18,2,50.3945359,-84.4723756,11.18,2022-05-30 00:04:48,,97.0,21.0,47.0,72.0,333.0,21.5,71.5,20.0,22.399999999999977,22.399999999999977,1.56,,2022,5,30,0,4.68,250.0
634.57,10.994,2,50.3946094,-84.4722455,10.994,2022-05-30 00:04:49,,97.0,21.0,47.0,72.0,247.0,21.5,71.5,20.0,22.0,22.0,1.37,,2022,5,30,0,4.68,250.0
645.61,10.737,2,50.3946839,-84.4721214,10.737,2022-05-30 00:04:50,,66.0,22.0,48.0,74.5,365.0,22.0,72.5,20.0,22.399999999999977,22.399999999999977,1.15,,2022,5,30,0,4.68,250.0
656.41,10.555,2,50.3947558,-84.4719989,10.555,2022-05-30 00:04:51,,94.0,30.0,53.0,94.5,439.0,25.5,81.0,20.0,22.600000000000023,22.600000000000023,1.21,,2022,5,30,0,4.68,250.0
667.07,10.212,2,50.394828,-84.4718793,10.212,2022-05-30 00:04:52,,93.0,36.5,53.0,99.5,462.0,31.0,93.5,20.0,22.799999999999955,22.799999999999955,1.21,,2022,5,30,0,4.68,250.0
