altitude,enhanced_altitude,heart_rate,timestamp,battery_soc,cadence,distance,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,year,month,day,hour,wind_speed,wind_direction
46.799999999999955,46.799999999999955,116,2022-06-08 23:16:37,82.0,89.0,0.0,7.813,2.0,-2.89,18.5,64.0,60.5,50.3907615,-84.4791096,120.0,20.5,70.5,7.813,,2022,6,8,23,1.93,201.0
46.60000000000002,46.60000000000002,116,2022-06-08 23:16:38,,91.0,5.11,7.933,2.0,-2.86,18.5,64.0,60.5,50.3907925,-84.4790487,133.0,20.5,70.5,7.933,,2022,6,8,23,1.93,201.0
46.60000000000002,46.60000000000002,116,2022-06-08 23:16:39,,91.0,11.59,8.009,2.0,-2.8,18.5,64.0,60.5,50.3908319,-84.4789714,82.0,20.5,70.5,8.009,,2022,6,8,23,1.93,201.0
46.60000000000002,46.60000000000002,116,2022-06-08 23:16:40,,87.0,19.96,8.101,2.0,-1.98,18.5,64.0,60.5,50.3908843,-84.4788733,38.0,20.5,70.5,8.101,28.0,2022,6,8,23,1.93,201.0
46.200000000000045,46.200000000000045,116,2022-06-08 23:16:41,,53.0,28.38,8.307,2.0,-1.94,18.5,64.0,60.5,50.3909389,-84.4787762,50.0,20.5,70.5,8.307,28.0,2022,6,8,23,1.93,201.0
45.799999999999955,45.799999999999955,117,2022-06-08 23:16:42,,77.0,37.38,8.547,2.0,-2.27,18.5,64.0,60.5,50.3909969,-84.4786721,66.0,20.5,70.5,8.547,28.0,2022,6,8,23,1.93,201.0
45.200000000000045,45.200000000000045,118,2022-06-08 23:16:43,,87.0,46.44,8.901,2.0,-2.16,17.0,64.0,56.0,50.3910549,-84.478567,86.0,16.0,55.5,8.901,28.0,2022,6,8,23,1.93,201.0
45.0,45.0,118,2022-06-08 23:16:44,,88.0,55.76,9.332,2.0,-2.61,15.5,62.0,51.5,50.391112,-84.4784563,105.0,11.0,40.5,9.332,28.0,2022,6,8,23,1.93,201.0
44.39999999999998,44.39999999999998,117,2022-06-08 23:16:45,,90.0,65.55,9.808,2.0,-3.55,15.5,47.0,51.5,50.3911704,-84.4783387,168.0,11.0,40.5,9.808,28.0,2022,6,8,23,1.93,201.0
44.0,44.0,117,2022-06-08 23:16:46,,90.0,76.01,10.396,2.0,-3.98,16.0,40.0,53.5,50.3912332,-84.4782134,172.0,13.0,46.0,10.396,28.0,2022,6,8,23,1.93,201.0
