timestamp,battery_soc,cadence,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,heart_rate,year,month,day,hour,wind_speed,wind_direction
2022-06-13 23:49:38,,87.0,20.0,84.0,551.0,24.5,93.0,51.0,19.0,0.0,0.0,4.0,50.3907973,-84.4789287,0.0,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:42,,102.0,20.0,71.5,222.0,21.5,80.5,57.0,19.0,0.0,6.368,3.0,50.3910272,-84.4784911,6.368,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:43,,97.0,22.0,76.0,226.0,23.0,80.0,59.0,19.0,7.32,10.066,3.0,50.3910882,-84.4783572,10.066,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:44,,93.0,26.0,83.5,287.0,25.0,79.5,38.0,19.0,18.6,10.039,3.0,50.3911547,-84.4782211,10.039,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:45,,88.0,26.0,83.5,235.0,25.0,79.5,50.0,19.0,29.24,9.945,3.0,50.3912203,-84.4780952,9.945,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:46,,87.0,26.0,83.5,173.0,25.0,79.5,51.0,19.0,39.91,9.729,3.0,50.3912799,-84.4779637,9.729,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:47,,87.0,26.0,83.5,109.0,25.0,79.5,49.0,19.0,48.78,10.102,3.0,50.3913349,-84.4778595,10.102,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:48,,88.0,26.0,83.5,45.0,25.0,79.5,46.0,19.0,57.76,10.708,3.0,50.3913968,-84.4777599,10.708,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:49,,0.0,26.0,83.5,0.0,25.0,79.5,44.0,19.0,68.32,11.008,3.0,50.3914691,-84.4776422,11.008,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:50,,0.0,25.0,83.0,0.0,24.5,79.0,42.0,19.0,79.69,10.972,3.0,50.3915446,-84.4775131,10.972,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:51,,0.0,4.0,78.0,0.0,20.5,70.0,39.0,19.0,91.24,11.259,3.0,50.3916223,-84.4773829,11.259,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:52,,4.0,0.0,73.0,0.0,19.5,68.0,35.0,19.0,103.08,11.671,3.0,50.3917021,-84.4772498,11.671,,,,,2022,6,13,23,2.21,342.0
2022-06-13 23:49:53,,9.0,0.0,68.0,43.0,19.5,68.0,31.0,19.0,115.18,11.916,3.0,50.391782,-84.4771119,11.916,,,,,2022,6,13,23,2.21,342.0
