timestamp,battery_soc,cadence,distance,enhanced_speed,gps_accuracy,heart_rate,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,left_right_balance,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-06-20 00:27:18,29.0,50.0,0.0,3.099,3.0,91.0,20.0,65.0,50.3958776,-84.5772933,0.0,21.0,73.5,3.099,,,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:19,,0.0,3.63,3.081,3.0,92.0,17.0,58.0,50.3959026,-84.5773337,0.0,20.5,70.5,3.081,5.0,,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:20,,1.0,7.26,2.655,3.0,91.0,8.0,36.5,50.3959322,-84.5773677,0.0,19.5,61.0,2.655,5.0,,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:21,,15.0,12.26,2.755,3.0,91.0,8.0,36.5,50.3959811,-84.5773976,26.0,19.5,61.0,2.755,5.0,,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:22,,22.0,16.52,4.285,3.0,91.0,8.0,36.5,50.3960173,-84.5774349,50.0,19.5,61.0,4.285,22.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:23,,20.0,20.59,4.155,3.0,92.0,9.0,40.0,50.3960531,-84.5774689,137.0,19.0,60.5,4.155,66.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:24,,37.0,26.15,5.219,3.0,92.0,20.5,71.5,50.3960829,-84.5775382,159.0,15.5,57.5,5.219,73.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:25,,60.0,30.73,4.799,3.0,92.0,22.0,75.0,50.3961095,-84.5775939,155.0,20.0,72.5,4.799,58.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:26,,72.0,35.87,5.096,3.0,93.0,20.0,69.0,50.3961397,-84.5776561,140.0,23.5,83.0,5.096,46.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:27,,74.0,41.28,5.379,3.0,94.0,20.0,69.0,50.3961733,-84.5777199,128.0,23.5,83.0,5.379,47.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:28,,73.0,46.98,5.551,3.0,92.0,20.0,69.0,50.3962016,-84.5777928,148.0,23.5,83.0,5.551,53.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:29,,71.0,53.34,6.088,3.0,92.0,20.0,69.0,50.3962438,-84.5778651,173.0,23.5,83.0,6.088,56.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:30,,71.0,59.05,5.79,3.0,93.0,20.5,71.5,50.3962646,-84.5779425,185.0,23.5,82.5,5.79,55.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:31,,72.0,64.77,5.77,3.0,93.0,22.0,76.0,50.3962901,-84.5780177,187.0,24.0,82.0,5.77,53.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:32,,72.0,70.47,5.724,3.0,92.0,23.5,79.5,50.3963178,-84.5780912,194.0,23.5,81.5,5.724,52.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:33,,72.0,76.0,5.638,3.0,92.0,25.5,82.5,50.3963375,-84.5781666,205.0,23.0,81.5,5.638,52.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:34,,71.0,81.66,5.727,3.0,91.0,25.5,82.5,50.3963625,-84.5782411,209.0,23.0,81.5,5.727,52.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:35,,71.0,87.69,5.8,3.0,91.0,25.5,82.5,50.3963858,-84.5783224,190.0,23.0,81.5,5.8,52.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:36,,72.0,93.1,5.524,3.0,92.0,25.5,82.5,50.3964095,-84.5783938,179.0,23.0,81.5,5.524,51.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:37,,72.0,98.05,5.095,3.0,91.0,25.5,82.5,50.3964219,-84.5784632,183.0,23.0,81.5,5.095,47.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:38,,72.0,103.04,4.993,3.0,91.0,30.0,89.5,50.3964358,-84.578533,146.0,23.0,81.5,4.993,45.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:39,,72.0,108.04,4.982,3.0,93.0,35.0,98.0,50.3964479,-84.5786033,103.0,23.0,81.5,4.982,43.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:40,,63.0,113.04,5.002,3.0,94.0,35.5,99.0,50.3964636,-84.5786725,139.0,23.0,81.5,5.002,43.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:41,,62.0,118.14,5.111,3.0,94.0,31.0,90.5,50.3964775,-84.5787438,163.0,18.0,64.0,5.111,43.0,10.0,,,,2022,6,20,0,4.5,267.0
2022-06-20 00:27:42,,67.0,123.39,5.212,3.0,94.0,23.5,77.5,50.3964915,-84.5788174,172.0,10.0,36.5,5.212,43.0,10.0,,,,2022,6,20,0,4.5,267.0
