battery_soc,cadence,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,timestamp,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,90,123,26.0,48.0,89.5,236,21.0,72.0,2022-06-28 17:34:29,0.0,8.933,3.0,50.3943207,-84.4722774,8.933,36.0,,,,2022,6,28,17,4.44,157.0
,90,122,26.0,48.0,90.5,194,21.0,72.0,2022-06-28 17:34:30,4.48,9.027,3.0,50.3943479,-84.4722241,9.027,36.0,,,,2022,6,28,17,4.44,157.0
,90,122,26.0,48.0,90.5,237,21.0,72.0,2022-06-28 17:34:31,10.95,9.1,3.0,50.3943976,-84.4721859,9.1,36.0,,,,2022,6,28,17,4.44,157.0
,90,122,26.0,48.0,90.5,247,21.0,72.0,2022-06-28 17:34:32,34.25,8.971,5.0,50.3946341,-84.4722674,8.971,36.0,,,,2022,6,28,17,4.44,157.0
,90,121,25.5,48.0,90.5,242,22.0,75.0,2022-06-28 17:34:33,43.71,8.719,4.0,50.3946924,-84.4721553,8.719,36.0,,,,2022,6,28,17,4.44,157.0
,89,121,24.5,48.0,90.0,252,23.5,78.5,2022-06-28 17:34:34,52.24,8.421,4.0,50.3947478,-84.472057,8.421,36.0,,,,2022,6,28,17,4.44,157.0
,89,121,24.0,48.0,90.0,262,25.0,82.0,2022-06-28 17:34:35,60.29,8.086,3.0,50.3948037,-84.4719683,8.086,36.0,,,,2022,6,28,17,4.44,157.0
,89,120,23.5,48.0,90.0,193,25.5,83.0,2022-06-28 17:34:36,67.72,7.388,3.0,50.3948613,-84.4718943,7.388,36.0,,,,2022,6,28,17,4.44,157.0
,77,121,23.5,48.0,90.0,126,25.5,83.0,2022-06-28 17:34:37,74.19,6.808,3.0,50.3949195,-84.471843,6.808,36.0,,,,2022,6,28,17,4.44,157.0
,46,121,23.5,48.0,90.0,124,25.5,83.0,2022-06-28 17:34:38,80.76,6.883,3.0,50.3949825,-84.4718007,6.883,36.0,,,,2022,6,28,17,4.44,157.0
,47,121,22.5,52.0,87.0,92,19.0,87.5,2022-06-28 17:34:39,85.64,6.884,3.0,50.3950328,-84.4717806,6.884,36.0,,,,2022,6,28,17,4.44,157.0
,51,121,21.5,57.0,84.0,56,11.5,92.5,2022-06-28 17:34:40,94.63,6.796,3.0,50.3951286,-84.4717756,6.796,36.0,,,,2022,6,28,17,4.44,157.0
,55,121,20.5,61.0,81.0,21,4.5,97.0,2022-06-28 17:34:41,101.2,6.258,3.0,50.3951975,-84.4717957,6.258,35.0,,,,2022,6,28,17,4.44,157.0
,0,121,20.0,66.0,79.0,0,0.0,100.0,2022-06-28 17:34:42,106.74,5.022,3.0,50.3952548,-84.4718173,5.022,35.0,,,,2022,6,28,17,4.44,157.0
,3,121,20.0,70.0,79.0,0,0.0,100.0,2022-06-28 17:34:43,111.88,4.78,3.0,50.3953085,-84.4718341,4.78,35.0,,,,2022,6,28,17,4.44,157.0
,21,120,20.0,70.0,79.0,133,0.0,100.0,2022-06-28 17:34:44,116.7,4.572,3.0,50.3953601,-84.4718345,4.572,35.0,,,,2022,6,28,17,4.44,157.0
,27,120,20.0,43.0,79.0,263,0.0,100.0,2022-06-28 17:34:45,122.14,5.476,3.0,50.3954154,-84.4718097,5.476,35.0,,,,2022,6,28,17,4.44,157.0
,42,121,21.0,34.0,81.0,333,7.0,94.0,2022-06-28 17:34:46,127.87,5.997,3.0,50.3954685,-84.4717678,5.997,35.0,,,,2022,6,28,17,4.44,157.0
,68,121,22.5,52.0,85.0,311,21.5,82.5,2022-06-28 17:34:47,134.36,6.271,2.0,50.395522,-84.4717076,6.271,35.0,,,,2022,6,28,17,4.44,157.0
,74,120,20.5,50.0,80.5,273,16.5,76.0,2022-06-28 17:34:48,141.07,6.465,2.0,50.3955729,-84.471639,6.465,35.0,,,,2022,6,28,17,4.44,157.0
,75,120,18.0,49.0,75.0,258,16.0,75.0,2022-06-28 17:34:49,147.9,6.541,2.0,50.395623,-84.4715668,6.541,35.0,,,,2022,6,28,17,4.44,157.0
,75,121,17.0,49.0,73.0,264,16.0,75.0,2022-06-28 17:34:50,154.54,6.651,2.0,50.3956705,-84.4714953,6.651,35.0,,,,2022,6,28,17,4.44,157.0
,75,123,18.0,52.0,76.0,287,16.5,76.0,2022-06-28 17:34:51,161.01,6.516,2.0,50.3957145,-84.4714229,6.516,35.0,,,,2022,6,28,17,4.44,157.0
,75,124,20.0,57.0,82.5,315,17.0,78.0,2022-06-28 17:34:52,167.33,6.651,2.0,50.395755,-84.4713496,6.651,35.0,,,,2022,6,28,17,4.44,157.0
,73,125,20.0,54.0,82.5,306,17.0,78.0,2022-06-28 17:34:53,174.03,6.262,2.0,50.3957943,-84.4712684,6.262,35.0,,,,2022,6,28,17,4.44,157.0
,73,127,20.0,52.0,82.0,238,17.0,77.5,2022-06-28 17:34:54,179.85,5.766,3.0,50.3958251,-84.4711954,5.766,35.0,,,,2022,6,28,17,4.44,157.0
,73,128,20.5,50.0,81.5,166,16.5,77.0,2022-06-28 17:34:55,185.05,5.093,3.0,50.3958441,-84.4711248,5.093,35.0,,,,2022,6,28,17,4.44,157.0
,72,130,20.5,49.0,81.0,94,16.5,76.5,2022-06-28 17:34:56,189.21,4.339,3.0,50.3958477,-84.4710648,4.339,35.0,,,,2022,6,28,17,4.44,157.0
,65,130,20.5,52.0,79.5,58,17.0,76.5,2022-06-28 17:34:57,193.13,3.879,3.0,50.395843,-84.4710087,3.879,35.0,,,,2022,6,28,17,4.44,157.0
,23,131,19.0,80.0,71.5,215,20.0,78.5,2022-06-28 17:34:58,197.17,3.95,3.0,50.395822,-84.4709577,3.95,35.0,,,,2022,6,28,17,4.44,157.0
,40,131,20.0,64.0,74.0,233,9.5,90.0,2022-06-28 17:34:59,202.79,5.325,3.0,50.3957848,-84.4708938,5.325,35.0,,,,2022,6,28,17,4.44,157.0
,61,132,20.5,49.0,76.5,225,0.0,100.0,2022-06-28 17:35:00,209.83,6.384,3.0,50.3957285,-84.4708261,6.384,35.0,,,,2022,6,28,17,4.44,157.0
,71,132,22.5,44.0,87.0,159,11.5,79.0,2022-06-28 17:35:01,217.48,6.926,3.0,50.395661,-84.4707627,6.926,35.0,,,,2022,6,28,17,4.44,157.0
,74,132,23.5,45.0,88.5,130,16.0,68.5,2022-06-28 17:35:02,225.34,7.171,3.0,50.3955914,-84.4706987,7.171,35.0,,,,2022,6,28,17,4.44,157.0
,74,132,23.5,51.0,83.5,116,15.0,67.5,2022-06-28 17:35:03,232.94,7.222,2.0,50.3955258,-84.4706331,7.222,35.0,,,,2022,6,28,17,4.44,157.0
,75,132,22.0,55.0,74.0,134,14.5,62.5,2022-06-28 17:35:04,241.09,7.723,2.0,50.3954565,-84.4705611,7.723,35.0,,,,2022,6,28,17,4.44,157.0
,78,132,19.0,55.0,61.0,178,15.0,53.5,2022-06-28 17:35:05,249.06,7.794,2.0,50.3953933,-84.4704834,7.794,35.0,,,,2022,6,28,17,4.44,157.0
,80,131,19.0,55.0,61.0,150,15.0,53.5,2022-06-28 17:35:06,257.46,7.621,2.0,50.3953311,-84.4703955,7.621,35.0,,,,2022,6,28,17,4.44,157.0
,81,130,19.0,55.0,62.0,118,15.0,53.0,2022-06-28 17:35:07,265.46,7.417,2.0,50.3952698,-84.4703146,7.417,35.0,,,,2022,6,28,17,4.44,157.0
,82,130,19.0,55.0,63.0,85,15.0,53.0,2022-06-28 17:35:08,273.39,7.188,2.0,50.3952074,-84.4702365,7.188,35.0,,,,2022,6,28,17,4.44,157.0
,82,130,19.5,55.0,64.0,52,15.5,52.5,2022-06-28 17:35:09,281.1,7.051,2.0,50.395147,-84.4701603,7.051,35.0,,,,2022,6,28,17,4.44,157.0
,83,130,19.5,55.0,65.5,19,15.5,52.0,2022-06-28 17:35:10,288.09,6.904,2.0,50.3950911,-84.4700928,6.904,35.0,,,,2022,6,28,17,4.44,157.0
,60,129,22.0,58.0,76.0,85,17.0,56.0,2022-06-28 17:35:11,295.5,6.918,2.0,50.3950301,-84.470024,6.918,35.0,,,,2022,6,28,17,4.44,157.0
,35,128,24.5,61.0,87.0,157,18.0,60.0,2022-06-28 17:35:12,302.69,7.209,2.0,50.3949693,-84.4699602,7.209,35.0,,,,2022,6,28,17,4.44,157.0
,29,128,26.0,63.0,92.5,182,19.5,64.5,2022-06-28 17:35:13,309.76,7.204,2.0,50.3949143,-84.4698897,7.204,35.0,,,,2022,6,28,17,4.44,157.0
,48,128,26.5,63.0,91.5,148,21.0,69.5,2022-06-28 17:35:14,316.0,6.598,2.0,50.3948648,-84.4698286,6.598,35.0,,,,2022,6,28,17,4.44,157.0
,67,128,27.0,63.0,90.5,114,22.5,74.5,2022-06-28 17:35:15,321.68,5.808,2.0,50.3948239,-84.4697679,5.808,35.0,,,,2022,6,28,17,4.44,157.0
,57,128,27.0,63.0,90.0,54,23.5,77.5,2022-06-28 17:35:16,326.83,5.3,2.0,50.3947816,-84.4697201,5.3,35.0,,,,2022,6,28,17,4.44,157.0
,30,126,27.0,44.0,90.0,4,23.5,77.5,2022-06-28 17:35:17,331.49,4.817,2.0,50.39474,-84.4696825,4.817,35.0,,,,2022,6,28,17,4.44,157.0
,28,126,27.0,2.0,90.0,5,23.5,77.5,2022-06-28 17:35:18,335.87,4.495,2.0,50.394701,-84.4696471,4.495,34.0,,,,2022,6,28,17,4.44,157.0
,38,126,27.0,38.0,90.0,11,23.5,77.5,2022-06-28 17:35:19,339.91,4.156,2.0,50.3946668,-84.4696113,4.156,34.0,,,,2022,6,28,17,4.44,157.0
,48,126,27.0,78.0,90.0,17,23.5,77.5,2022-06-28 17:35:20,343.77,3.976,2.0,50.3946321,-84.4695805,3.976,34.0,,,,2022,6,28,17,4.44,157.0
,52,125,27.0,85.0,90.0,23,23.5,77.5,2022-06-28 17:35:21,348.16,4.207,2.0,50.394593,-84.4695453,4.207,34.0,,,,2022,6,28,17,4.44,157.0
,50,125,23.5,60.0,80.0,28,21.0,69.0,2022-06-28 17:35:22,351.98,3.743,2.0,50.3945591,-84.4695142,3.743,34.0,,,,2022,6,28,17,4.44,157.0
,49,125,10.0,59.0,39.0,38,10.5,35.5,2022-06-28 17:35:23,356.4,4.154,2.0,50.3945159,-84.4694879,4.154,34.0,,,,2022,6,28,17,4.44,157.0
,48,125,9.0,56.0,39.5,106,11.5,39.0,2022-06-28 17:35:24,360.63,4.275,2.0,50.3944801,-84.4694503,4.275,34.0,,,,2022,6,28,17,4.44,157.0
,48,124,29.5,79.0,78.0,208,9.5,32.0,2022-06-28 17:35:25,365.48,5.066,2.0,50.3944375,-84.4694098,5.066,34.0,,,,2022,6,28,17,4.44,157.0
,60,125,39.0,81.0,100.0,366,14.0,45.5,2022-06-28 17:35:26,371.18,5.845,2.0,50.394387,-84.4693632,5.845,34.0,,,,2022,6,28,17,4.44,157.0
,71,124,34.0,54.0,100.0,459,29.5,92.5,2022-06-28 17:35:27,377.58,6.532,2.0,50.3943312,-84.4693093,6.532,34.0,0.39999999999997726,0.39999999999997726,0.0,2022,6,28,17,4.44,157.0
