battery_soc,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,cadence,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,grade,left_right_balance,year,month,day,hour,wind_speed,wind_direction
64.0,0.0,11.425,3,86,50.3914256,-84.4780478,11.425,2022-06-30 23:42:35,,,,,,,,,,,,2022,6,30,23,4.34,206.0
,11.03,11.395,3,85,50.3914982,-84.4779217,11.395,2022-06-30 23:42:36,,,,,,,,,,,,2022,6,30,23,4.34,206.0
,23.07,12.113,3,85,50.3915796,-84.4777865,12.113,2022-06-30 23:42:37,,,,,,,,,,,,2022,6,30,23,4.34,206.0
,35.05,12.065,3,86,50.3916606,-84.477652,12.065,2022-06-30 23:42:38,104.0,17.0,57.5,0.0,20.5,66.0,20.0,,,,,2022,6,30,23,4.34,206.0
,47.38,12.548,3,85,50.3917438,-84.4775135,12.548,2022-06-30 23:42:39,0.0,17.0,57.5,0.0,20.5,66.0,20.0,,,,,2022,6,30,23,4.34,206.0
,60.25,12.779,3,84,50.3918316,-84.4773697,12.779,2022-06-30 23:42:40,0.0,17.0,57.5,0.0,20.5,66.0,20.0,,,,,2022,6,30,23,4.34,206.0
,73.2,13.315,3,84,50.391919,-84.4772241,13.315,2022-06-30 23:42:41,0.0,17.0,57.5,0.0,20.5,66.0,20.0,47.799999999999955,47.799999999999955,0.0,,2022,6,30,23,4.34,206.0
,87.56,14.019,3,83,50.3920129,-84.4770594,14.019,2022-06-30 23:42:42,0.0,17.5,60.0,0.0,16.5,57.5,20.0,47.39999999999998,47.39999999999998,0.0,,2022,6,30,23,4.34,206.0
,101.98,14.531,3,82,50.3921035,-84.4768904,14.531,2022-06-30 23:42:43,0.0,17.5,61.5,0.0,14.5,52.5,20.0,46.60000000000002,46.60000000000002,0.0,,2022,6,30,23,4.34,206.0
,116.59,14.333,3,82,50.3921945,-84.4767184,14.333,2022-06-30 23:42:44,0.0,17.5,61.5,0.0,14.5,52.5,20.0,45.799999999999955,45.799999999999955,0.0,,2022,6,30,23,4.34,206.0
,131.51,15.191,3,82,50.3922912,-84.4765464,15.191,2022-06-30 23:42:45,0.0,17.5,61.5,0.0,14.5,52.5,20.0,44.799999999999955,44.799999999999955,0.0,,2022,6,30,23,4.34,206.0
,146.7,15.337,3,82,50.3923877,-84.4763694,15.337,2022-06-30 23:42:46,0.0,17.5,61.5,0.0,14.5,52.5,20.0,43.60000000000002,43.60000000000002,-1.5,,2022,6,30,23,4.34,206.0
,161.98,15.185,3,82,50.3924822,-84.4761888,15.185,2022-06-30 23:42:47,0.0,17.5,61.5,0.0,14.5,52.5,20.0,42.60000000000002,42.60000000000002,-4.19,,2022,6,30,23,4.34,206.0
,176.6,14.841,3,83,50.392575,-84.4760184,14.841,2022-06-30 23:42:48,0.0,17.5,61.5,0.0,14.5,52.5,20.0,41.39999999999998,41.39999999999998,-5.71,,2022,6,30,23,4.34,206.0
,191.99,14.797,3,83,50.3926748,-84.4758409,14.797,2022-06-30 23:42:49,0.0,17.5,61.5,0.0,14.5,52.5,20.0,40.39999999999998,40.39999999999998,-6.58,,2022,6,30,23,4.34,206.0
,206.59,14.382,3,82,50.392774,-84.4756777,14.382,2022-06-30 23:42:50,0.0,17.5,61.5,0.0,14.5,52.5,20.0,39.60000000000002,39.60000000000002,-7.33,,2022,6,30,23,4.34,206.0
,220.86,14.279,3,81,50.392869,-84.4755157,14.279,2022-06-30 23:42:51,0.0,17.5,61.5,0.0,14.5,52.5,20.0,39.0,39.0,-7.37,,2022,6,30,23,4.34,206.0
,235.24,14.067,3,81,50.3929627,-84.4753505,14.067,2022-06-30 23:42:52,0.0,17.5,61.5,0.0,14.5,52.5,20.0,38.200000000000045,38.200000000000045,-6.99,56.0,2022,6,30,23,4.34,206.0
,249.39,14.056,3,83,50.3930569,-84.4751899,14.056,2022-06-30 23:42:53,48.0,17.5,61.5,204.0,14.5,52.5,20.0,37.39999999999998,37.39999999999998,-6.55,68.0,2022,6,30,23,4.34,206.0
,263.03,13.946,3,83,50.3931477,-84.4750353,13.946,2022-06-30 23:42:54,92.0,18.5,67.0,291.0,17.5,61.0,20.0,36.799999999999955,36.799999999999955,-6.09,77.0,2022,6,30,23,4.34,206.0
,277.25,13.644,3,84,50.393242,-84.4748735,13.644,2022-06-30 23:42:55,96.0,21.0,78.0,274.0,23.5,79.0,20.0,36.200000000000045,36.200000000000045,-5.65,70.0,2022,6,30,23,4.34,206.0
,291.13,13.599,3,84,50.3933351,-84.4747169,13.599,2022-06-30 23:42:56,96.0,21.5,76.0,246.0,21.5,76.5,20.0,35.799999999999955,35.799999999999955,-5.21,51.0,2022,6,30,23,4.34,206.0
