timestamp,battery_soc,temperature,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-07-06 21:13:02,,20.0,81.0,1.0,19.5,64.5,134.0,16.5,61.5,51.0,0.0,0.0,6.0,95.0,50.5370533,-84.829316,0.0,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:03,,20.0,82.0,2.0,20.0,64.5,167.0,17.0,65.5,49.0,4.96,4.561,6.0,95.0,50.5370682,-84.8292443,4.561,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:04,,20.0,82.0,2.0,20.5,65.0,175.0,18.0,70.0,48.0,10.53,6.68,5.0,96.0,50.5370932,-84.8291724,6.68,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:05,,20.0,82.0,2.0,21.0,65.5,166.0,18.5,74.0,46.0,16.12,6.348,5.0,95.0,50.5371272,-84.8291087,6.348,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:06,,20.0,81.0,2.0,20.0,68.5,153.0,19.5,72.5,45.0,20.69,6.373,5.0,94.0,50.5371593,-84.8290579,6.373,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:07,,20.0,79.0,2.0,18.5,63.0,127.0,18.0,64.5,43.0,25.71,6.476,5.0,95.0,50.5371918,-84.8290025,6.476,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:08,,20.0,79.0,2.0,18.5,62.5,120.0,16.5,60.5,50.0,30.5,6.379,5.0,96.0,50.537223,-84.828951,6.379,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:09,,20.0,79.0,2.0,20.0,68.0,122.0,17.0,61.5,57.0,34.24,6.101,5.0,98.0,50.5372533,-84.8289125,6.101,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:10,,20.0,80.0,3.0,19.5,66.0,123.0,17.0,60.0,55.0,43.74,6.461,5.0,98.0,50.5373331,-84.8288219,6.461,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:11,,20.0,80.0,3.0,19.0,64.0,114.0,16.5,59.0,54.0,50.01,6.612,4.0,100.0,50.5373878,-84.8287721,6.612,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:12,,20.0,73.0,3.0,19.0,63.0,101.0,15.5,57.0,51.0,56.26,6.684,4.0,103.0,50.5374305,-84.8287075,6.684,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:13,,20.0,52.0,3.0,19.5,64.0,72.0,14.5,54.5,50.0,62.8,6.569,4.0,104.0,50.5374734,-84.8286344,6.569,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:14,,20.0,31.0,3.0,19.5,64.5,44.0,14.0,54.0,50.0,69.83,6.309,4.0,108.0,50.5375312,-84.828565,6.309,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:15,,20.0,9.0,3.0,20.0,65.5,15.0,14.0,53.0,50.0,76.55,6.0,4.0,111.0,50.5375903,-84.8285104,6.0,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:16,,21.0,0.0,3.0,20.0,66.5,0.0,13.5,52.0,50.0,82.15,5.437,4.0,113.0,50.5376403,-84.828465,5.437,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:17,,21.0,0.0,3.0,20.5,67.5,0.0,13.0,51.0,50.0,86.57,5.011,4.0,115.0,50.5376677,-84.828415,5.011,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:18,,21.0,0.0,3.0,20.5,68.5,0.0,13.0,50.0,50.0,90.74,4.546,4.0,117.0,50.5376903,-84.8283651,4.546,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:19,,21.0,0.0,3.0,20.5,69.0,0.0,12.5,49.0,50.0,94.5,4.022,4.0,118.0,50.5377154,-84.828324,4.022,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:20,,21.0,0.0,3.0,21.0,70.0,0.0,12.5,48.0,50.0,98.27,4.031,4.0,121.0,50.5377427,-84.8282876,4.031,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:21,,21.0,0.0,3.0,21.0,71.0,0.0,12.0,47.0,49.0,102.15,4.168,4.0,122.0,50.5377764,-84.8282515,4.168,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:22,,21.0,6.0,3.0,21.0,72.0,9.0,12.0,46.0,49.0,105.82,3.894,4.0,125.0,50.5378106,-84.828224,3.894,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:23,,21.0,23.0,3.0,21.5,73.0,39.0,11.5,45.0,49.0,109.51,3.944,4.0,127.0,50.5378473,-84.8282011,3.944,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:24,,21.0,41.0,3.0,21.5,74.0,69.0,11.0,44.5,49.0,113.67,4.333,4.0,127.0,50.5378885,-84.8281782,4.333,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:25,,21.0,56.0,3.0,21.5,74.5,133.0,11.0,43.5,49.0,118.18,4.55,4.0,128.0,50.5379318,-84.8281554,4.55,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:26,,21.0,64.0,3.0,22.0,75.5,240.0,10.5,42.5,49.0,122.76,4.674,4.0,129.0,50.5379658,-84.8281099,4.674,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:27,,21.0,67.0,4.0,21.0,73.0,293.0,12.5,55.5,49.0,128.61,5.062,4.0,129.0,50.5379772,-84.8280282,5.062,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:28,,21.0,74.0,4.0,20.0,69.5,299.0,16.0,77.0,49.0,135.22,5.639,4.0,128.0,50.5380044,-84.8279507,5.639,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:29,,21.0,78.0,4.0,22.0,80.5,354.0,16.0,77.0,50.0,148.82,6.309,5.0,128.0,50.5381043,-84.8278047,6.309,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:30,,21.0,81.0,5.0,22.0,86.0,396.0,17.5,79.5,49.0,166.28,6.602,6.0,128.0,50.5382179,-84.8276058,6.602,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:31,,21.0,81.0,5.0,19.0,74.0,298.0,14.5,60.0,48.0,180.28,6.419,6.0,128.0,50.5383297,-84.8274876,6.419,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:32,,21.0,80.0,5.0,18.0,62.0,138.0,10.0,35.0,52.0,192.23,6.517,5.0,128.0,50.5384438,-84.8274089,6.517,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:33,,21.0,81.0,5.0,21.5,73.0,136.0,10.5,37.0,55.0,200.56,6.628,5.0,128.0,50.5385165,-84.8273407,6.628,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:34,,21.0,82.0,5.0,20.0,82.5,142.0,16.5,60.5,52.0,209.58,6.63,5.0,127.0,50.5385984,-84.8272725,6.63,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:35,,21.0,81.0,6.0,21.0,80.5,161.0,21.0,77.0,49.0,217.41,6.665,5.0,127.0,50.5386667,-84.8272042,6.665,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:36,,21.0,79.0,6.0,21.5,74.0,179.0,22.5,83.5,44.0,222.6,6.669,5.0,126.0,50.5387099,-84.8271542,6.669,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:37,,21.0,80.0,6.0,22.0,70.5,189.0,23.0,81.0,47.0,228.26,6.789,5.0,126.0,50.5387575,-84.8271089,6.789,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:38,,21.0,80.0,6.0,22.0,75.0,189.0,23.0,74.0,52.0,234.6,6.767,5.0,126.0,50.538812,-84.8270544,6.767,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:39,,21.0,81.0,6.0,21.0,71.0,195.0,19.0,67.0,48.0,241.69,6.693,5.0,126.0,50.5388736,-84.8269905,6.693,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:40,,22.0,66.0,6.0,21.0,71.0,190.0,20.5,69.5,45.0,248.99,6.824,4.0,126.0,50.5389304,-84.8269179,6.824,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:41,,22.0,39.0,6.0,21.0,71.0,175.0,21.5,71.0,54.0,254.64,6.481,4.0,125.0,50.5389335,-84.8268677,6.481,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:42,,22.0,12.0,6.0,20.5,70.5,161.0,21.0,70.5,65.0,258.61,5.643,4.0,125.0,50.5389206,-84.8268375,5.643,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:43,,22.0,3.0,6.0,20.5,70.0,0.0,21.0,70.0,76.0,262.97,4.842,4.0,124.0,50.5389478,-84.8267873,4.842,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:44,,22.0,8.0,6.0,20.0,69.5,1.0,20.5,69.5,87.0,267.26,4.392,4.0,126.0,50.5389716,-84.8267355,4.392,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:45,,22.0,13.0,7.0,19.5,69.0,2.0,20.0,69.0,98.0,270.64,4.694,4.0,125.0,50.5389875,-84.8266901,4.694,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:46,,22.0,19.0,7.0,19.5,69.0,2.0,20.0,68.5,92.0,274.66,5.211,4.0,125.0,50.5390077,-84.8266407,5.211,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:47,,22.0,36.0,7.0,19.0,68.5,41.0,19.5,68.0,83.0,279.91,5.153,4.0,124.0,50.5390434,-84.826582,5.153,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:48,,22.0,45.0,7.0,19.0,68.0,94.0,19.5,67.5,74.0,285.59,5.18,4.0,124.0,50.5390872,-84.8265223,5.18,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:49,,22.0,47.0,7.0,18.5,67.5,134.0,19.0,67.0,66.0,291.73,5.039,4.0,125.0,50.5391349,-84.826463,5.039,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:50,,22.0,49.0,7.0,18.5,67.5,156.0,19.5,67.0,57.0,297.77,4.409,3.0,125.0,50.5391829,-84.8264038,4.409,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:51,,22.0,49.0,7.0,19.0,68.0,170.0,21.0,66.5,,302.67,4.283,3.0,122.0,50.5392211,-84.8263541,4.283,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:52,,22.0,36.0,7.0,,,136.0,,,,307.1,4.654,3.0,120.0,50.5392576,-84.8263131,4.654,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:53,,22.0,24.0,7.0,,,103.0,,,,311.27,4.645,3.0,120.0,50.539292,-84.8262763,4.645,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:54,,22.0,11.0,7.0,,,69.0,,,,315.77,4.779,3.0,120.0,50.5393286,-84.8262307,4.779,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:55,,22.0,0.0,7.0,,,0.0,,,,321.61,4.801,3.0,119.0,50.5393784,-84.8261807,4.801,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:56,,22.0,0.0,7.0,,,0.0,,,,327.27,4.243,3.0,120.0,50.5394264,-84.8261353,4.243,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:57,,22.0,0.0,7.0,,,0.0,,,,332.87,4.182,3.0,121.0,50.5394758,-84.8260943,4.182,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:58,,22.0,0.0,7.0,,,0.0,,,,339.3,5.236,3.0,120.0,50.5395396,-84.8260535,5.236,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:13:59,,22.0,0.0,7.0,,,0.0,,,,344.32,5.681,3.0,120.0,50.5395867,-84.8260153,5.681,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:00,,22.0,0.0,7.0,,,0.0,,,,349.01,5.108,3.0,121.0,50.5396273,-84.8259774,5.108,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:01,,22.0,0.0,7.0,,,0.0,,,,354.27,4.757,3.0,120.0,50.539676,-84.8259352,4.757,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:02,,22.0,0.0,7.0,,,0.0,,,,358.53,4.434,3.0,121.0,50.5397163,-84.8259042,4.434,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:03,,22.0,0.0,7.0,,,0.0,,,,362.7,4.248,3.0,120.0,50.5397553,-84.8258718,4.248,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:04,,22.0,0.0,7.0,,,0.0,,,,366.39,3.8,3.0,119.0,50.5397834,-84.82584,3.8,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:05,,22.0,0.0,7.0,,,0.0,,,,369.91,3.59,3.0,118.0,50.5398059,-84.8257994,3.59,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:06,,22.0,0.0,7.0,,,0.0,,,,373.35,3.48,3.0,117.0,50.5398311,-84.8257581,3.48,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:07,,22.0,0.0,7.0,,,0.0,,,,376.38,3.141,3.0,117.0,50.5398474,-84.825726,3.141,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:08,,22.0,0.0,7.0,,,0.0,,,,379.64,3.215,3.0,116.0,50.5398676,-84.8256896,3.215,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:09,,22.0,0.0,7.0,,,0.0,,,,383.56,3.75,3.0,116.0,50.5399016,-84.8256529,3.75,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:10,,22.0,0.0,7.0,,,0.0,,,,387.68,4.029,3.0,116.0,50.5399402,-84.8256255,4.029,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:11,,22.0,0.0,7.0,,,0.0,,,,391.57,3.928,3.0,114.0,50.5399745,-84.8255941,3.928,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:12,,22.0,0.0,7.0,,,0.0,,,,395.18,3.703,3.0,116.0,50.5400035,-84.8255623,3.703,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:13,,22.0,0.0,7.0,,,0.0,,,,398.6,3.463,3.0,115.0,50.5400337,-84.8255346,3.463,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:14,,22.0,0.0,7.0,,,0.0,,,,401.42,2.976,3.0,114.0,50.5400569,-84.8255069,2.976,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:15,,22.0,3.0,7.0,,,0.0,,,,404.09,2.751,3.0,113.0,50.5400773,-84.8254796,2.751,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:16,,22.0,30.0,7.0,25.5,89.0,45.0,24.5,91.0,52.0,407.25,3.049,3.0,113.0,50.5401044,-84.8254525,3.049,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:17,,22.0,35.0,7.0,26.0,86.0,79.0,25.5,90.0,49.0,410.84,3.468,3.0,113.0,50.5401358,-84.8254255,3.468,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:18,,22.0,32.0,8.0,26.5,83.0,101.0,26.5,88.5,48.0,414.97,3.965,3.0,114.0,50.5401723,-84.8253893,3.965,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:19,,22.0,21.0,8.0,26.0,82.0,108.0,25.0,88.0,51.0,419.55,4.416,3.0,114.0,50.5402137,-84.8253477,4.416,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:20,,22.0,10.0,8.0,25.5,81.0,116.0,23.0,87.0,55.0,423.99,4.441,3.0,114.0,50.5402523,-84.8253114,4.441,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:21,,22.0,0.0,8.0,25.0,80.5,0.0,21.0,86.0,59.0,427.93,4.062,3.0,113.0,50.5402843,-84.825275,4.062,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:22,,23.0,0.0,8.0,24.5,80.0,0.0,19.0,85.5,63.0,431.36,3.599,3.0,113.0,50.5403092,-84.8252389,3.599,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:23,,23.0,0.0,8.0,24.0,79.0,0.0,17.0,84.5,66.0,434.53,3.276,3.0,113.0,50.5403319,-84.8252069,3.276,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:24,,23.0,0.0,8.0,24.0,78.5,0.0,15.5,84.0,70.0,437.31,2.895,3.0,113.0,50.5403526,-84.8251794,2.895,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:25,,23.0,0.0,8.0,23.5,78.0,0.0,13.5,83.0,74.0,440.04,2.771,3.0,113.0,50.5403752,-84.8251521,2.771,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:26,,23.0,0.0,8.0,23.0,77.0,0.0,11.5,82.5,78.0,442.7,2.687,3.0,113.0,50.5403981,-84.8251248,2.687,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:27,,23.0,0.0,8.0,22.5,76.5,0.0,9.5,81.5,82.0,445.07,2.457,3.0,111.0,50.5404163,-84.8251019,2.457,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:28,,23.0,0.0,8.0,22.0,76.0,0.0,8.0,80.5,85.0,447.29,2.271,3.0,112.0,50.5404324,-84.8250791,2.271,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:29,,23.0,0.0,8.0,21.5,75.0,0.0,6.0,80.0,89.0,449.41,2.154,3.0,111.0,50.5404482,-84.8250563,2.154,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:30,,23.0,2.0,8.0,21.0,74.5,0.0,4.0,79.0,93.0,451.45,2.084,3.0,111.0,50.540464,-84.8250385,2.084,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:31,,23.0,14.0,8.0,20.5,73.5,29.0,2.0,78.5,97.0,453.38,1.976,3.0,111.0,50.5404733,-84.825016,1.976,,,,,,2022,7,6,21,2.46,243.0
2022-07-06 21:14:32,,23.0,30.0,8.0,20.0,73.0,60.0,0.0,77.5,95.0,455.52,2.093,3.0,111.0,50.54048,-84.8249844,2.093,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:33,,23.0,46.0,8.0,21.5,77.0,113.0,18.5,77.0,62.0,458.08,2.434,3.0,109.0,50.540487,-84.8249479,2.434,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:34,,23.0,55.0,8.0,21.0,79.5,184.0,26.0,76.5,52.0,460.88,2.69,3.0,110.0,50.5404849,-84.8249108,2.69,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:35,,23.0,61.0,8.0,19.0,75.5,238.0,25.0,77.5,46.0,464.08,3.067,3.0,111.0,50.5404714,-84.82487,3.067,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:36,,23.0,67.0,9.0,17.0,67.5,228.0,23.5,80.5,46.0,467.81,3.567,3.0,111.0,50.5404576,-84.8248198,3.567,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:37,,23.0,69.0,9.0,18.5,72.5,225.0,25.0,82.0,52.0,472.08,4.099,3.0,111.0,50.5404371,-84.8247649,4.099,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:38,,23.0,71.0,9.0,20.5,78.0,227.0,26.0,84.0,49.0,476.72,4.502,3.0,112.0,50.5404053,-84.8247104,4.502,5.600000000000023,0.0,0.0,5.600000000000023,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:39,,23.0,70.0,9.0,22.0,83.5,220.0,27.0,85.5,47.0,481.08,4.45,3.0,114.0,50.5403764,-84.8246615,4.45,5.800000000000011,0.0,0.0,5.800000000000011,0.43,2022,7,6,21,2.46,243.0
2022-07-06 21:14:40,,23.0,73.0,9.0,24.0,88.5,215.0,28.0,87.5,45.0,485.5,4.854,3.0,114.0,50.5403513,-84.8246076,4.854,5.800000000000011,0.0,0.0,5.800000000000011,0.64,2022,7,6,21,2.46,243.0
2022-07-06 21:14:41,,23.0,74.0,10.0,25.0,91.0,214.0,29.0,89.0,43.0,490.61,5.592,3.0,116.0,50.5403281,-84.8245382,5.592,5.600000000000023,0.0,0.0,5.600000000000023,0.61,2022,7,6,21,2.46,243.0
2022-07-06 21:14:42,,23.0,76.0,10.0,23.0,77.5,213.0,27.5,89.5,41.0,495.86,5.44,3.0,116.0,50.5403055,-84.8244704,5.44,5.600000000000023,0.0,0.0,5.600000000000023,0.13,2022,7,6,21,2.46,243.0
2022-07-06 21:14:43,,23.0,78.0,10.0,20.0,73.5,202.0,25.5,84.0,44.0,501.07,5.202,3.0,115.0,50.5402783,-84.8244064,5.202,5.800000000000011,0.0,0.0,5.800000000000011,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:44,,23.0,78.0,10.0,18.5,72.0,160.0,23.5,79.5,43.0,506.52,5.622,3.0,115.0,50.5402417,-84.8243422,5.622,6.0,0.0,0.0,6.0,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:45,,23.0,78.0,10.0,19.5,73.5,141.0,22.5,76.5,45.0,512.1,5.833,3.0,117.0,50.540203,-84.8242785,5.833,6.0,0.0,0.0,6.0,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:46,,23.0,78.0,11.0,20.5,75.0,137.0,22.0,73.5,50.0,517.49,5.543,3.0,119.0,50.5401668,-84.8242196,5.543,6.0,0.0,0.0,6.0,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:47,,23.0,78.0,11.0,22.0,76.5,133.0,21.0,70.5,37.0,522.62,5.509,3.0,123.0,50.5401304,-84.824165,5.509,6.199999999999989,0.0,0.0,6.199999999999989,0.66,2022,7,6,21,2.46,243.0
2022-07-06 21:14:48,,23.0,76.0,11.0,23.0,78.0,126.0,20.0,67.5,45.0,528.07,5.694,3.0,127.0,50.540094,-84.8241015,5.694,6.199999999999989,0.0,0.0,6.199999999999989,0.89,2022,7,6,21,2.46,243.0
2022-07-06 21:14:49,,23.0,74.0,11.0,21.5,71.5,111.0,19.5,66.5,47.0,534.2,5.925,3.0,128.0,50.5400531,-84.8240285,5.925,6.199999999999989,0.0,0.0,6.199999999999989,0.96,2022,7,6,21,2.46,243.0
2022-07-06 21:14:50,,23.0,74.0,11.0,17.5,58.0,102.0,19.0,66.5,49.0,540.31,6.018,3.0,128.0,50.5400141,-84.8239599,6.018,6.199999999999989,1.0,0.0,6.199999999999989,0.99,2022,7,6,21,2.46,243.0
2022-07-06 21:14:51,,23.0,74.0,11.0,18.5,59.5,102.0,16.0,60.5,52.0,546.48,6.165,3.0,130.0,50.5399777,-84.8238872,6.165,6.199999999999989,1.0,0.0,6.199999999999989,0.95,2022,7,6,21,2.46,243.0
2022-07-06 21:14:52,,23.0,75.0,11.0,19.0,64.5,108.0,17.5,62.5,56.0,552.85,6.326,3.0,131.0,50.539937,-84.8238101,6.326,6.199999999999989,1.0,0.0,6.199999999999989,0.22,2022,7,6,21,2.46,243.0
2022-07-06 21:14:53,,23.0,75.0,11.0,19.0,65.0,118.0,20.0,69.0,45.0,558.84,6.176,3.0,131.0,50.5399094,-84.8237332,6.176,6.199999999999989,1.0,0.0,6.199999999999989,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:54,,23.0,76.0,11.0,18.5,62.5,124.0,21.0,73.0,43.0,564.78,6.113,3.0,131.0,50.5398894,-84.823652,6.113,6.0,1.0,0.0,6.0,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:55,,23.0,75.0,12.0,17.0,59.0,114.0,20.5,70.5,49.0,570.84,6.074,3.0,131.0,50.5398576,-84.8235742,6.074,6.199999999999989,1.0,0.0,6.199999999999989,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:56,,23.0,76.0,12.0,18.0,60.0,113.0,20.5,67.0,61.0,576.81,6.002,3.0,132.0,50.5398228,-84.8235045,6.002,6.199999999999989,1.0,0.0,6.199999999999989,0.0,2022,7,6,21,2.46,243.0
2022-07-06 21:14:57,,23.0,78.0,12.0,21.5,75.5,142.0,19.0,69.0,72.0,582.87,6.121,3.0,133.0,50.5397864,-84.8234363,6.121,6.199999999999989,1.0,0.0,6.199999999999989,0.0,2022,7,6,21,2.46,243.0
