cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,battery_soc,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
70.0,0,4.55,5.591,4,39.0477278,-139.8393787,185.0,5.591,2022-07-11 00:42:05,,,,,,,,,,,,,,2022,7,11,0,2.75,80.0
73.0,0,9.09,5.975,4,39.0477142,-139.8394332,209.0,5.975,2022-07-11 00:42:06,54.0,97.0,27.0,48.0,89.0,28.5,91.5,,,,,,,2022,7,11,0,2.75,80.0
77.0,0,13.64,6.36,4,39.0477006,-139.8394877,223.0,6.36,2022-07-11 00:42:07,,98.0,23.5,48.0,80.0,28.0,90.0,27.0,,,,,,2022,7,11,0,2.75,80.0
80.0,0,20.52,6.602,3,39.0476915,-139.8395783,218.0,6.602,2022-07-11 00:42:08,,98.0,21.5,47.0,74.5,27.0,86.5,27.0,,,,,,2022,7,11,0,2.75,80.0
82.0,0,28.31,6.881,3,39.0476823,-139.8396791,198.0,6.881,2022-07-11 00:42:09,,99.0,21.0,45.0,75.0,25.0,79.5,27.0,,,,,,2022,7,11,0,2.75,80.0
85.0,0,35.75,7.024,3,39.0476731,-139.8397706,201.0,7.024,2022-07-11 00:42:10,,98.0,21.0,43.0,76.0,22.5,72.5,27.0,,,,,,2022,7,11,0,2.75,80.0
87.0,1,42.74,7.181,3,39.0476596,-139.8398604,205.0,7.181,2022-07-11 00:42:11,,102.0,22.5,41.0,78.0,22.5,75.0,27.0,,,,,,2022,7,11,0,2.75,80.0
88.0,1,49.73,7.088,3,39.0476505,-139.8399427,207.0,7.088,2022-07-11 00:42:12,,103.0,23.5,45.0,81.5,23.0,77.5,27.0,,,,,,2022,7,11,0,2.75,80.0
89.0,1,57.02,7.103,3,39.0476369,-139.8400335,207.0,7.103,2022-07-11 00:42:13,,105.0,23.0,48.0,81.0,23.5,78.5,27.0,,,,,,2022,7,11,0,2.75,80.0
89.0,1,64.08,6.979,3,39.0476234,-139.8401234,211.0,6.979,2022-07-11 00:42:14,,106.0,19.0,47.0,70.5,23.0,79.5,27.0,19.799999999999955,19.799999999999955,,,,2022,7,11,0,2.75,80.0
81.0,1,71.08,6.37,3,39.0476094,-139.8402164,190.0,6.37,2022-07-11 00:42:15,,105.0,15.5,46.0,60.0,22.5,80.0,27.0,20.0,20.0,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
55.0,1,77.28,6.39,3,39.047582,-139.8402893,169.0,6.39,2022-07-11 00:42:16,,105.0,15.5,47.0,60.0,22.0,80.0,27.0,20.0,20.0,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
30.0,1,82.37,5.919,3,39.0475539,-139.8403374,149.0,5.919,2022-07-11 00:42:17,,104.0,16.5,47.0,62.0,22.0,80.0,27.0,20.0,20.0,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
4.0,1,88.2,5.442,3,39.0475064,-139.8403875,0.0,5.442,2022-07-11 00:42:18,,105.0,17.0,48.0,63.5,21.5,80.0,27.0,20.0,20.0,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
0.0,1,93.64,5.4,3,39.0474591,-139.8404348,0.0,5.4,2022-07-11 00:42:19,,105.0,17.5,49.0,65.5,21.0,80.0,27.0,20.0,20.0,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
0.0,1,98.29,4.843,3,39.0474229,-139.840471,0.0,4.843,2022-07-11 00:42:20,,104.0,18.5,50.0,67.5,21.0,80.0,27.0,20.200000000000045,20.200000000000045,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
0.0,1,102.39,4.339,3,39.0474095,-139.8405246,0.0,4.339,2022-07-11 00:42:21,,104.0,19.0,50.0,69.0,20.5,80.0,27.0,20.200000000000045,20.200000000000045,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
0.0,1,105.84,3.653,3,39.0474182,-139.8405617,0.0,3.653,2022-07-11 00:42:22,,103.0,20.0,51.0,71.0,20.0,80.0,27.0,20.399999999999977,20.399999999999977,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
29.0,1,108.48,2.9,3,39.0474409,-139.8405802,33.0,2.9,2022-07-11 00:42:23,,103.0,20.5,52.0,73.0,20.0,80.0,27.0,20.600000000000023,20.600000000000023,0.0,0.0,0.0,2022,7,11,0,2.75,80.0
