distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
4.94,7.165,2,39.0449296,-139.8474145,7.165,2022-07-13 01:13:06,,,,,,,,,,,,,,,,,2022,7,13,1,3.94,156.0
9.87,7.196,2,39.0449031,-139.8474676,7.196,2022-07-13 01:13:07,-12.199999999999989,0.0,43.0,87.0,0.0,0.0,-12.199999999999989,-2.31,103.0,27.0,45.0,94.5,242.0,22.5,76.5,21.0,2022,7,13,1,3.94,156.0
15.03,7.227,2,39.0448749,-139.8475232,7.227,2022-07-13 01:13:08,-12.399999999999977,0.0,,90.0,0.0,0.0,-12.399999999999977,-2.15,105.0,25.0,42.0,85.5,254.0,24.5,82.5,21.0,2022,7,13,1,3.94,156.0
22.45,7.273,2,39.04483,-139.8476047,7.273,2022-07-13 01:13:09,-12.600000000000023,0.0,,91.0,0.0,0.0,-12.600000000000023,-1.99,104.0,24.0,44.0,78.5,244.0,25.0,85.0,21.0,2022,7,13,1,3.94,156.0
29.82,7.399,2,39.0447897,-139.8476853,7.399,2022-07-13 01:13:10,-12.600000000000023,0.0,,92.0,0.0,0.0,-12.600000000000023,-1.78,104.0,25.0,49.0,78.0,226.0,25.0,86.0,21.0,2022,7,13,1,3.94,156.0
37.43,7.508,2,39.0447481,-139.8477685,7.508,2022-07-13 01:13:11,-12.800000000000011,0.0,,93.0,0.0,1.0,-12.800000000000011,-1.59,103.0,27.5,52.0,86.0,235.0,25.0,88.5,21.0,2022,7,13,1,3.94,156.0
45.04,7.513,2,39.0447068,-139.8478503,7.513,2022-07-13 01:13:12,-12.800000000000011,0.0,,94.0,1.0,1.0,-12.800000000000011,-1.45,103.0,23.0,48.0,73.5,233.0,25.5,86.5,21.0,2022,7,13,1,3.94,156.0
52.57,7.535,2,39.0446615,-139.8479326,7.535,2022-07-13 01:13:13,-12.800000000000011,0.0,,95.0,1.0,1.0,-12.800000000000011,-1.31,106.0,22.0,52.0,72.5,222.0,24.5,80.5,21.0,2022,7,13,1,3.94,156.0
60.16,7.566,2,39.0446207,-139.8480142,7.566,2022-07-13 01:13:14,-12.800000000000011,0.0,,95.0,1.0,1.0,-12.800000000000011,-1.15,107.0,22.5,56.0,74.0,209.0,23.0,74.5,21.0,2022,7,13,1,3.94,156.0
67.77,7.652,2,39.0445793,-139.8480961,7.652,2022-07-13 01:13:15,-12.600000000000023,0.0,,96.0,1.0,1.0,-12.600000000000023,-0.22,113.0,25.5,58.0,78.5,208.0,20.5,71.0,21.0,2022,7,13,1,3.94,156.0
75.57,7.692,2,39.0445339,-139.8481779,7.692,2022-07-13 01:13:16,-12.399999999999977,0.0,,96.0,1.0,1.0,-12.399999999999977,0.0,114.0,28.5,56.0,85.0,223.0,20.5,71.0,21.0,2022,7,13,1,3.94,156.0
83.32,7.836,2,39.0444887,-139.8482606,7.836,2022-07-13 01:13:17,-12.399999999999977,0.0,,95.0,2.0,1.0,-12.399999999999977,0.0,118.0,31.5,53.0,91.5,230.0,20.5,70.5,21.0,2022,7,13,1,3.94,156.0
