distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,temperature,right_torque_effectiveness,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
0.0,4.658,2,91,39.0397952,-139.8586391,4.658,2022-07-13 04:28:38,,,,,,,,,,,,,,,,2022,7,13,4,3.42,165.0
3.6,4.911,2,91,39.0398192,-139.8586801,4.911,2022-07-13 04:28:39,25.0,80.0,0.0,22.0,39.0,68.0,162.0,7.0,15.0,,,,,,,2022,7,13,4,3.42,165.0
9.22,5.124,2,91,39.0398543,-139.8587404,5.124,2022-07-13 04:28:40,,84.0,0.0,20.5,45.0,68.0,241.0,13.5,15.0,,,,,,,2022,7,13,4,3.42,165.0
14.69,5.06,2,93,39.0398838,-139.8587981,5.06,2022-07-13 04:28:41,,84.0,0.0,19.5,43.0,67.5,206.0,20.5,15.0,78.0,,,,,,2022,7,13,4,3.42,165.0
19.56,4.963,2,93,39.0399111,-139.8588526,4.963,2022-07-13 04:28:42,,82.0,0.0,20.0,46.0,71.5,177.0,24.0,15.0,80.0,,,,,,2022,7,13,4,3.42,165.0
24.39,4.525,2,92,39.0399345,-139.8589078,4.525,2022-07-13 04:28:43,,80.0,0.0,18.0,47.0,64.0,147.0,24.0,15.0,76.5,3.3999999999999773,3.3999999999999773,,,,2022,7,13,4,3.42,165.0
29.01,4.773,2,96,39.0399608,-139.8589531,4.773,2022-07-13 04:28:44,,81.0,0.0,14.0,49.0,50.0,105.0,21.5,15.0,68.5,3.3999999999999773,3.3999999999999773,0.0,0.0,0.0,2022,7,13,4,3.42,165.0
33.96,5.029,2,99,39.039984,-139.8590066,5.029,2022-07-13 04:28:45,,81.0,0.0,14.0,54.0,51.0,92.0,19.0,15.0,61.5,3.3999999999999773,3.3999999999999773,0.0,0.0,0.0,2022,7,13,4,3.42,165.0
38.64,4.566,2,103,39.040014,-139.8590597,4.566,2022-07-13 04:28:46,,66.0,0.0,14.0,57.0,52.0,79.0,16.5,15.0,54.5,3.6000000000000227,3.6000000000000227,0.0,0.0,0.0,2022,7,13,4,3.42,165.0
43.47,4.626,2,108,39.0400427,-139.8591077,4.626,2022-07-13 04:28:47,,45.0,0.0,14.0,56.0,53.0,64.0,16.5,15.0,55.0,3.6000000000000227,3.6000000000000227,0.0,0.0,0.0,2022,7,13,4,3.42,165.0
