cadence,calories,power,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,year,month,day,hour,wind_speed,wind_direction
99,0,280,2022-08-10 22:48:26,24.399999999999977,0.0,17.0,0.0,0.0,24.399999999999977,9.556,2.0,-4.33,96.0,17.5,45.0,58.5,50.391263,-84.4781614,25.0,91.5,9.556,,2022,8,10,22,5.33,124.0
88,0,242,2022-08-10 22:48:27,24.0,0.0,,0.0,6.91,24.0,9.735,2.0,-4.5,97.0,14.0,40.0,67.5,50.3913104,-84.4780854,19.5,,9.735,,2022,8,10,22,5.33,124.0
65,0,170,2022-08-10 22:48:28,23.399999999999977,0.0,,1.0,15.6,23.399999999999977,10.118,2.0,-4.7,97.0,10.0,36.0,76.0,50.3913689,-84.477987,14.5,,10.118,,2022,8,10,22,5.33,124.0
44,0,99,2022-08-10 22:48:29,22.799999999999955,0.0,,1.0,26.07,22.799999999999955,10.502,2.0,-4.98,97.0,6.5,31.0,85.0,50.3914372,-84.4778635,9.0,,10.502,19.0,2022,8,10,22,5.33,124.0
30,0,79,2022-08-10 22:48:30,22.0,0.0,,2.0,36.86,22.0,10.807,2.0,-5.12,99.0,2.5,26.0,94.0,50.3915059,-84.4777352,3.5,,10.807,19.0,2022,8,10,22,5.33,124.0
16,0,59,2022-08-10 22:48:31,21.200000000000045,0.0,,2.0,48.0,21.200000000000045,11.103,2.0,-5.04,97.0,,21.0,,50.3915789,-84.4776084,,,11.103,19.0,2022,8,10,22,5.33,124.0
3,0,0,2022-08-10 22:48:32,20.200000000000045,0.0,,3.0,59.43,20.200000000000045,11.334,2.0,-5.08,97.0,,,,50.3916554,-84.4774774,,,11.334,19.0,2022,8,10,22,5.33,124.0
0,0,0,2022-08-10 22:48:33,19.200000000000045,0.0,,3.0,70.91,19.200000000000045,11.648,2.0,-5.27,98.0,,,,50.3917303,-84.4773458,,,11.648,19.0,2022,8,10,22,5.33,124.0
0,0,0,2022-08-10 22:48:34,18.399999999999977,0.0,,4.0,82.91,18.399999999999977,12.014,3.0,-5.56,99.0,,,,50.3918062,-84.4772074,,,12.014,19.0,2022,8,10,22,5.33,124.0
0,0,0,2022-08-10 22:48:35,17.0,0.0,,5.0,95.49,17.0,12.624,3.0,-5.92,99.0,,,,50.3918815,-84.4770558,,,12.624,19.0,2022,8,10,22,5.33,124.0
