altitude,cadence,calories,distance,enhanced_altitude,enhanced_speed,gps_accuracy,heart_rate,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,ascent,battery_soc,descent,grade,temperature,left_right_balance,year,month,day,hour,wind_speed,wind_direction
27.799999999999955,103.0,0,0.0,27.799999999999955,9.315,2,105,15.5,53.0,50.3908625,-84.4788804,181.0,29.0,88.5,9.315,2022-08-17 22:13:47,,,,,,,2022,8,17,22,2.9,272.0
27.600000000000023,104.0,0,9.6,27.600000000000023,9.503,2,105,16.0,54.0,50.3909213,-84.4787674,163.0,25.5,82.0,9.503,2022-08-17 22:13:48,0.0,88.0,0.0,-2.56,,,2022,8,17,22,2.9,272.0
27.399999999999977,105.0,0,19.2,27.399999999999977,9.691,2,106,16.5,54.5,50.39098,-84.4786545,160.0,21.5,75.5,9.691,2022-08-17 22:13:49,0.0,,0.0,-2.62,23.0,,2022,8,17,22,2.9,272.0
26.799999999999955,104.0,0,29.02,26.799999999999955,9.957,2,106,17.0,55.5,50.3910391,-84.4785363,152.0,18.0,69.5,9.957,2022-08-17 22:13:50,0.0,,1.0,-2.77,23.0,57.0,2022,8,17,22,2.9,272.0
26.399999999999977,97.0,0,38.95,26.399999999999977,10.053,2,106,17.0,58.0,50.3911034,-84.4784259,141.0,16.0,64.0,10.053,2022-08-17 22:13:51,0.0,,1.0,-3.05,23.0,60.0,2022,8,17,22,2.9,272.0
25.799999999999955,69.0,0,49.0,25.799999999999955,10.046,2,104,15.5,61.0,50.3911717,-84.4783075,133.0,14.5,59.0,10.046,2022-08-17 22:13:52,0.0,,1.0,-3.41,23.0,63.0,2022,8,17,22,2.9,272.0
25.399999999999977,41.0,0,59.28,25.399999999999977,10.378,2,104,14.0,64.0,50.39124,-84.478189,125.0,13.5,54.0,10.378,2022-08-17 22:13:53,0.0,,2.0,-3.8,23.0,66.0,2022,8,17,22,2.9,272.0
24.799999999999955,12.0,0,69.81,24.799999999999955,10.474,2,105,13.0,67.5,50.3913078,-84.4780716,117.0,12.0,49.5,10.474,2022-08-17 22:13:54,0.0,,3.0,-4.2,23.0,69.0,2022,8,17,22,2.9,272.0
24.0,0.0,0,80.68,24.0,10.655,2,105,11.5,70.5,50.3913809,-84.4779527,0.0,11.0,44.5,10.655,2022-08-17 22:13:55,0.0,,3.0,-4.36,23.0,72.0,2022,8,17,22,2.9,272.0
23.399999999999977,0.0,0,91.81,23.399999999999977,11.34,2,106,10.5,74.0,50.3914522,-84.4778192,0.0,10.0,39.5,11.34,2022-08-17 22:13:56,0.0,,4.0,-4.41,23.0,76.0,2022,8,17,22,2.9,272.0
22.600000000000023,0.0,0,103.61,22.600000000000023,11.388,2,106,9.0,77.0,50.3915308,-84.4776892,0.0,8.5,34.5,11.388,2022-08-17 22:13:57,0.0,,4.0,-4.49,23.0,79.0,2022,8,17,22,2.9,272.0
21.799999999999955,0.0,0,114.99,21.799999999999955,11.538,2,107,8.0,80.0,50.3916023,-84.4775553,0.0,7.5,30.0,11.538,2022-08-17 22:13:58,0.0,,4.0,-4.64,23.0,82.0,2022,8,17,22,2.9,272.0
20.799999999999955,0.0,0,127.24,20.799999999999955,11.819,2,107,6.5,83.5,50.3916826,-84.4774123,0.0,6.0,25.0,11.819,2022-08-17 22:13:59,0.0,,5.0,-4.89,23.0,85.0,2022,8,17,22,2.9,272.0
20.0,0.0,0,138.36,20.0,12.053,2,107,5.5,86.5,50.3917588,-84.4772913,0.0,5.0,20.0,12.053,2022-08-17 22:14:00,0.0,,6.0,-5.23,23.0,88.0,2022,8,17,22,2.9,272.0
19.200000000000045,1.0,0,153.18,19.200000000000045,12.599,2,107,4.0,90.0,50.3918575,-84.4771265,0.0,4.0,15.5,12.599,2022-08-17 22:14:01,0.0,,7.0,-5.62,23.0,91.0,2022,8,17,22,2.9,272.0
18.0,17.0,0,166.86,18.0,12.501,2,106,3.0,93.0,50.3919534,-84.4769711,0.0,2.5,10.5,12.501,2022-08-17 22:14:02,0.0,,8.0,-6.08,23.0,94.0,2022,8,17,22,2.9,272.0
16.799999999999955,33.0,0,181.2,16.799999999999955,14.276,2,105,1.5,96.0,50.3920534,-84.4768165,0.0,1.5,5.5,14.276,2022-08-17 22:14:03,0.0,,9.0,-6.59,23.0,97.0,2022,8,17,22,2.9,272.0
15.600000000000023,68.0,0,195.87,15.600000000000023,14.585,2,106,0.0,99.5,50.3921445,-84.476644,18.0,0.0,1.0,14.585,2022-08-17 22:14:04,0.0,,10.0,-7.14,23.0,99.0,2022,8,17,22,2.9,272.0
14.0,87.0,0,210.34,14.0,14.87,2,106,14.0,79.0,50.3922321,-84.4764689,33.0,0.0,9.5,14.87,2022-08-17 22:14:05,0.0,,11.0,-7.64,23.0,81.0,2022,8,17,22,2.9,272.0
12.600000000000023,89.0,0,226.16,12.600000000000023,15.108,2,106,20.5,68.0,50.3923312,-84.4762886,47.0,3.5,21.0,15.108,2022-08-17 22:14:06,0.0,,13.0,-8.08,23.0,62.0,2022,8,17,22,2.9,272.0
11.399999999999977,92.0,0,241.49,11.399999999999977,15.12,2,104,20.0,67.5,50.3924356,-84.476107,60.0,10.0,34.5,15.12,2022-08-17 22:14:07,0.0,,14.0,-8.19,23.0,51.0,2022,8,17,22,2.9,272.0
10.199999999999989,94.0,0,256.53,10.199999999999989,14.986,2,105,20.0,69.0,50.3925345,-84.4759363,74.0,15.5,53.0,14.986,2022-08-17 22:14:08,0.0,,16.0,-8.02,23.0,47.0,2022,8,17,22,2.9,272.0
9.0,95.0,1,271.89,9.0,14.867,2,106,20.0,71.0,50.3926316,-84.4757606,148.0,21.0,71.5,14.867,2022-08-17 22:14:09,0.0,,16.0,-7.76,23.0,46.0,2022,8,17,22,2.9,272.0
7.800000000000011,93.0,1,286.52,7.800000000000011,14.754,2,105,19.0,67.0,50.3927333,-84.4756012,185.0,23.5,77.5,14.754,2022-08-17 22:14:10,0.0,,17.0,-7.45,23.0,45.0,2022,8,17,22,2.9,272.0
7.0,92.0,1,301.72,7.0,14.538,2,107,18.0,62.5,50.3928361,-84.4754332,170.0,22.0,74.0,14.538,2022-08-17 22:14:11,0.0,,19.0,-7.1,23.0,44.0,2022,8,17,22,2.9,272.0
6.199999999999989,91.0,1,316.23,6.199999999999989,14.083,2,109,19.0,64.0,50.3929408,-84.4752693,145.0,18.5,68.5,14.083,2022-08-17 22:14:12,0.0,,20.0,-6.76,23.0,45.0,2022,8,17,22,2.9,272.0
