heart_rate,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,cadence,calories,left_right_balance,power,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
112,2022-08-18 23:01:53,71.0,0.0,15.018,3.0,50.3925282,-84.4758949,15.018,,,,,,,,,,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:01:54,,24.38,14.666,3.0,50.3926934,-84.475614,14.666,,,,,,,,,,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:01:55,,40.1,14.423,3.0,50.3928032,-84.475439,14.423,27.0,0.0,44.0,80.0,,,,,,,,,,,2022,8,18,23,2.12,262.0
114,2022-08-18 23:01:56,,55.04,14.375,3.0,50.3929034,-84.4752743,14.375,92.0,0.0,47.0,80.0,16.0,57.0,15.0,54.0,,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:01:57,,69.67,14.291,3.0,50.3929992,-84.4751085,14.291,91.0,0.0,51.0,108.0,18.5,64.5,15.0,54.0,21.0,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:01:58,,84.25,14.171,3.0,50.3930942,-84.4749416,14.171,90.0,0.0,53.0,154.0,20.0,67.5,16.5,58.0,21.0,,,,,,2022,8,18,23,2.12,262.0
112,2022-08-18 23:01:59,,98.45,13.977,3.0,50.393188,-84.4747808,13.977,89.0,0.0,55.0,176.0,23.5,75.5,18.0,63.0,21.0,,,,,,2022,8,18,23,2.12,262.0
114,2022-08-18 23:02:00,,112.92,13.6,3.0,50.3932838,-84.4746122,13.6,88.0,0.0,55.0,198.0,30.5,91.5,19.5,67.5,21.0,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:02:01,,126.94,13.214,3.0,50.3933726,-84.4744481,13.214,85.0,1.0,49.0,238.0,32.0,97.0,23.5,77.5,21.0,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:02:02,,140.12,12.855,3.0,50.3934573,-84.4742985,12.855,84.0,1.0,42.0,228.0,27.5,85.5,24.0,79.0,21.0,,,,,,2022,8,18,23,2.12,262.0
114,2022-08-18 23:02:03,,152.95,12.612,3.0,50.3935411,-84.4741529,12.612,83.0,1.0,47.0,192.0,25.5,81.0,22.0,75.5,21.0,,,,,,2022,8,18,23,2.12,262.0
111,2022-08-18 23:02:04,,165.29,12.458,3.0,50.3936189,-84.47401,12.458,83.0,1.0,50.0,190.0,26.0,83.5,18.0,68.0,21.0,,,,,,2022,8,18,23,2.12,262.0
113,2022-08-18 23:02:05,,177.71,12.327,3.0,50.3936963,-84.4738644,12.327,85.0,1.0,49.0,202.0,22.0,70.0,20.5,71.5,21.0,,,,,,2022,8,18,23,2.12,262.0
112,2022-08-18 23:02:06,,190.02,11.977,3.0,50.3937771,-84.4737225,11.977,85.0,2.0,53.0,212.0,25.5,85.5,26.0,86.5,21.0,,,,,,2022,8,18,23,2.12,262.0
112,2022-08-18 23:02:07,,201.82,11.553,3.0,50.3938564,-84.4735858,11.553,83.0,2.0,47.0,220.0,24.0,82.5,25.0,82.5,21.0,,,,,,2022,8,18,23,2.12,262.0
111,2022-08-18 23:02:08,,213.28,11.165,3.0,50.3939341,-84.4734593,11.165,82.0,2.0,45.0,227.0,21.0,70.0,21.0,70.0,21.0,,,,,,2022,8,18,23,2.12,262.0
110,2022-08-18 23:02:09,,224.46,10.894,3.0,50.3940113,-84.473336,10.894,77.0,2.0,45.0,180.0,18.0,60.0,17.5,59.5,21.0,,,,,,2022,8,18,23,2.12,262.0
112,2022-08-18 23:02:10,,235.57,10.808,3.0,50.3940835,-84.4732084,10.808,77.0,2.0,45.0,140.0,19.0,60.0,17.5,59.5,21.0,,,,,,2022,8,18,23,2.12,262.0
111,2022-08-18 23:02:11,,246.45,10.618,3.0,50.3941519,-84.4730806,10.618,78.0,2.0,46.0,122.0,18.0,58.5,19.5,66.0,21.0,,,,,,2022,8,18,23,2.12,262.0
109,2022-08-18 23:02:12,,256.9,10.227,3.0,50.3942202,-84.4729585,10.227,71.0,2.0,49.0,119.0,18.5,60.5,20.0,68.5,21.0,,,,,,2022,8,18,23,2.12,262.0
109,2022-08-18 23:02:13,,266.97,9.891,3.0,50.3942831,-84.4728403,9.891,51.0,3.0,64.0,101.0,20.0,64.5,20.0,68.5,21.0,,,,,,2022,8,18,23,2.12,262.0
109,2022-08-18 23:02:14,,276.34,8.962,3.0,50.3943423,-84.4727324,8.962,32.0,3.0,84.0,84.0,22.5,70.5,19.5,67.5,21.0,,,,,,2022,8,18,23,2.12,262.0
110,2022-08-18 23:02:15,,284.74,7.879,3.0,50.3943964,-84.4726373,7.879,29.0,3.0,100.0,57.0,31.5,87.0,18.0,62.5,21.0,,,,,,2022,8,18,23,2.12,262.0
111,2022-08-18 23:02:16,,291.95,6.87,3.0,50.3944436,-84.472552,6.87,48.0,3.0,100.0,28.0,21.0,59.5,11.0,,21.0,,,,,,2022,8,18,23,2.12,262.0
109,2022-08-18 23:02:17,,298.29,6.13,2.0,50.3944864,-84.4724808,6.13,53.0,3.0,100.0,7.0,9.5,28.5,4.0,,21.0,,,,,,2022,8,18,23,2.12,262.0
108,2022-08-18 23:02:18,,304.18,5.921,2.0,50.3945247,-84.4724116,5.921,42.0,3.0,,5.0,,,,,21.0,,,,,,2022,8,18,23,2.12,262.0
