cadence,calories,power,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,year,month,day,hour,wind_speed,wind_direction
0,0,0,2022-08-23 14:53:55,7.800000000000011,0.0,86.0,0.0,0.0,7.800000000000011,0.0,2.0,0.0,50.5241236,-84.820769,0.0,,,,,,,2022,8,23,14,0.76,203.0
1,0,0,2022-08-23 14:53:56,7.800000000000011,0.0,,0.0,0.0,7.800000000000011,0.0,2.0,0.0,50.5241391,-84.8207205,0.0,25.0,88.0,23.5,92.5,,,2022,8,23,14,0.76,203.0
33,0,48,2022-08-23 14:53:57,7.800000000000011,0.0,,0.0,1.68,7.800000000000011,1.777,2.0,0.0,50.5241527,-84.820675,1.777,25.0,87.0,24.0,91.0,,,2022,8,23,14,0.76,203.0
44,0,114,2022-08-23 14:53:58,7.800000000000011,0.0,,0.0,5.4,7.800000000000011,3.968,2.0,0.0,50.5241621,-84.8206255,3.968,24.5,85.5,24.5,90.0,,,2022,8,23,14,0.76,203.0
52,0,143,2022-08-23 14:53:59,7.600000000000023,0.0,,0.0,9.45,7.600000000000023,4.245,2.0,0.0,50.5241646,-84.8205668,4.245,24.5,84.5,25.0,88.5,35.0,26.0,2022,8,23,14,0.76,203.0
55,0,151,2022-08-23 14:54:00,7.600000000000023,0.0,,0.0,13.78,7.600000000000023,4.44,2.0,0.0,50.5241646,-84.820503,4.44,24.5,83.0,25.0,87.5,38.0,26.0,2022,8,23,14,0.76,203.0
58,0,145,2022-08-23 14:54:01,7.600000000000023,0.0,,0.0,18.37,7.600000000000023,4.677,2.0,0.0,50.5241646,-84.8204393,4.677,25.5,82.5,25.0,86.5,42.0,26.0,2022,8,23,14,0.76,203.0
46,0,103,2022-08-23 14:54:02,7.600000000000023,0.0,,0.0,23.11,7.600000000000023,4.808,2.0,0.0,50.5241625,-84.8203714,4.808,26.5,85.0,26.5,86.0,44.0,26.0,2022,8,23,14,0.76,203.0
29,0,70,2022-08-23 14:54:03,7.399999999999977,0.0,,0.0,27.82,7.399999999999977,4.637,2.0,0.0,50.5241579,-84.8203026,4.637,26.5,85.5,26.0,85.0,45.0,26.0,2022,8,23,14,0.76,203.0
12,0,36,2022-08-23 14:54:04,7.399999999999977,0.0,,0.0,32.34,7.399999999999977,4.379,2.0,0.0,50.5241534,-84.8202397,4.379,26.5,86.5,25.5,84.0,45.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:05,7.399999999999977,0.0,,0.0,36.56,7.399999999999977,3.936,2.0,0.0,50.5241489,-84.8201762,3.936,26.0,87.0,25.0,83.0,45.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:06,7.399999999999977,0.0,,0.0,40.48,7.399999999999977,3.491,2.0,0.0,50.5241443,-84.8201158,3.491,26.0,87.5,24.5,82.0,46.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:07,7.399999999999977,0.0,,0.0,44.07,7.399999999999977,3.314,2.0,0.0,50.5241418,-84.8200653,3.314,26.0,88.5,24.0,81.0,46.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:08,7.399999999999977,0.0,,0.0,47.31,7.399999999999977,2.994,2.0,0.0,50.5241418,-84.82002,2.994,26.0,89.0,23.5,80.0,47.0,26.0,2022,8,23,14,0.76,203.0
0,0,0,2022-08-23 14:54:09,7.199999999999989,0.0,,0.0,50.34,7.199999999999989,2.81,2.0,0.0,50.5241397,-84.8199745,2.81,26.0,89.5,23.0,79.0,47.0,26.0,2022,8,23,14,0.76,203.0
