distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,6.65,2,50.513697,-84.8122038,6.65,2022-08-23 21:04:52,,,,,,,,,,,,,,,,2022,8,23,21,2.12,172.0
6.33,7.02,2,50.513729,-84.8121239,7.02,2022-08-23 21:04:53,27.399999999999977,0.0,74.0,95.0,0.0,0.0,27.399999999999977,0.0,330.0,,,,,,,2022,8,23,21,2.12,172.0
12.66,7.391,2,50.513761,-84.8120439,7.391,2022-08-23 21:04:54,27.399999999999977,0.0,,96.0,0.0,0.0,27.399999999999977,0.0,310.0,,,,,,,2022,8,23,21,2.12,172.0
20.03,7.695,2,50.5137995,-84.8119493,7.695,2022-08-23 21:04:55,27.399999999999977,0.0,,99.0,0.0,0.0,27.399999999999977,0.0,275.0,24.5,56.0,89.0,25.5,86.0,,2022,8,23,21,2.12,172.0
28.15,7.904,2,50.5138438,-84.811849,7.904,2022-08-23 21:04:56,27.600000000000023,0.0,,99.0,0.0,0.0,27.600000000000023,0.0,271.0,25.0,53.0,89.5,25.0,83.5,,2022,8,23,21,2.12,172.0
36.52,8.148,2,50.5138859,-84.8117426,8.148,2022-08-23 21:04:57,27.399999999999977,0.0,,97.0,1.0,0.0,27.399999999999977,0.0,298.0,24.0,51.0,87.0,25.0,82.0,22.0,2022,8,23,21,2.12,172.0
45.25,8.383,2,50.5139334,-84.8116335,8.383,2022-08-23 21:04:58,27.600000000000023,0.0,,98.0,1.0,0.0,27.600000000000023,0.0,282.0,23.0,48.0,83.0,25.5,83.0,22.0,2022,8,23,21,2.12,172.0
54.17,8.454,2,50.5139901,-84.8115306,8.454,2022-08-23 21:04:59,27.600000000000023,0.0,,95.0,1.0,0.0,27.600000000000023,0.0,276.0,25.5,46.0,93.5,24.0,89.5,22.0,2022,8,23,21,2.12,172.0
62.72,8.523,2,50.5140393,-84.8114242,8.523,2022-08-23 21:05:00,27.600000000000023,0.0,,95.0,1.0,0.0,27.600000000000023,0.0,297.0,24.0,43.0,88.0,24.0,89.0,22.0,2022,8,23,21,2.12,172.0
71.47,8.658,2,50.5140848,-84.8113151,8.658,2022-08-23 21:05:01,27.600000000000023,0.0,,96.0,2.0,0.0,27.600000000000023,0.0,299.0,21.5,41.0,81.0,24.0,87.5,22.0,2022,8,23,21,2.12,172.0
80.38,8.839,2,50.5141303,-84.8111992,8.839,2022-08-23 21:05:02,27.600000000000023,0.0,,97.0,2.0,0.0,27.600000000000023,0.0,250.0,19.0,42.0,73.5,24.5,86.0,22.0,2022,8,23,21,2.12,172.0
89.33,8.801,2,50.514179,-84.8110876,8.801,2022-08-23 21:05:03,27.399999999999977,0.0,,97.0,2.0,0.0,27.399999999999977,0.0,214.0,17.0,45.0,66.5,24.5,84.5,22.0,2022,8,23,21,2.12,172.0
98.11,8.876,2,50.5142279,-84.810981,8.876,2022-08-23 21:05:04,27.399999999999977,0.0,,98.0,2.0,0.0,27.399999999999977,0.0,226.0,19.5,48.0,76.5,22.5,79.0,22.0,2022,8,23,21,2.12,172.0
107.15,8.774,2,50.5142722,-84.8108636,8.774,2022-08-23 21:05:05,27.600000000000023,0.0,,98.0,3.0,0.0,27.600000000000023,0.0,237.0,22.0,51.0,80.5,22.0,76.5,22.0,2022,8,23,21,2.12,172.0
