cadence,calories,power,timestamp,battery_soc,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
18,17,44,2022-09-10 02:36:36,,13.0,48.0,54.5,13.0,51.0,19.0,0.0,0.0,7.0,50.5056188,-84.8210785,0.0,,,,,,2022,9,10,2,1.41,262.0
35,17,138,2022-09-10 02:36:37,,23.0,42.0,73.0,13.0,52.0,19.0,0.0,0.0,7.0,50.5055525,-84.8210932,0.0,,,,,,2022,9,10,2,1.41,262.0
91,18,222,2022-09-10 02:36:43,,20.5,48.0,76.0,18.0,65.0,19.0,5.38,6.57,6.0,50.5052289,-84.8213659,6.57,,,,,,2022,9,10,2,1.41,262.0
84,18,171,2022-09-10 02:36:44,,20.0,51.0,74.5,17.5,62.5,19.0,12.61,6.804,6.0,50.5051609,-84.8214141,6.804,,,,,,2022,9,10,2,1.41,262.0
68,18,176,2022-09-10 02:36:45,,17.5,31.0,68.5,17.5,63.5,19.0,19.3,6.732,5.0,50.5050985,-84.8214556,6.732,,,,,,2022,9,10,2,1.41,262.0
69,18,155,2022-09-10 02:36:46,,14.0,23.0,57.5,17.5,65.0,19.0,31.77,6.461,5.0,50.5049783,-84.8215358,6.461,,,,,,2022,9,10,2,1.41,262.0
47,18,127,2022-09-10 02:36:47,,11.0,30.0,47.0,17.0,67.5,19.0,45.91,6.271,5.0,50.5048436,-84.8216302,6.271,,,,,,2022,9,10,2,1.41,262.0
43,18,72,2022-09-10 02:36:48,,13.0,36.0,50.5,10.0,80.5,19.0,56.85,5.753,5.0,50.5047365,-84.8217007,5.753,,,,,,2022,9,10,2,1.41,262.0
65,18,85,2022-09-10 02:36:49,,15.0,42.0,54.0,3.0,94.0,19.0,67.0,5.621,5.0,50.5046476,-84.8217845,5.621,,,,,,2022,9,10,2,1.41,262.0
77,18,100,2022-09-10 02:36:50,,,,,,,19.0,75.42,4.945,5.0,50.5045673,-84.8218416,4.945,,,,,,2022,9,10,2,1.41,262.0
51,18,88,2022-09-10 02:36:51,,,,,,,19.0,83.22,3.756,4.0,50.5044934,-84.8218871,3.756,,,,,,2022,9,10,2,1.41,262.0
25,18,76,2022-09-10 02:36:52,,,,,,,19.0,87.27,2.638,4.0,50.5044556,-84.8219185,2.638,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:53,,,,,,,19.0,89.66,1.732,4.0,50.5044352,-84.8219389,1.732,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:54,,,,,,,19.0,91.31,0.886,4.0,50.5044204,-84.8219502,0.886,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:55,,,,,,,19.0,91.65,0.164,4.0,50.5044069,-84.8219731,0.164,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:56,,,,,,,19.0,91.65,0.0,4.0,50.5043898,-84.8219934,0.0,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:57,,,,,,,19.0,91.65,0.0,4.0,50.5043819,-84.8219908,0.0,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:58,,,,,,,19.0,91.65,0.0,4.0,50.5043704,-84.8219957,0.0,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:36:59,,,,,,,19.0,91.65,0.0,4.0,50.5043603,-84.8219908,0.0,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:37:14,,,,,,,19.0,92.91,1.111,3.0,50.5040292,-84.822139,1.111,,,,,,2022,9,10,2,1.41,262.0
0,18,0,2022-09-10 02:37:15,,,,,,,19.0,95.01,1.521,3.0,50.5040224,-84.8221642,1.521,,,,,,2022,9,10,2,1.41,262.0
9,18,23,2022-09-10 02:37:16,,,,,,,19.0,97.44,2.606,3.0,50.5040248,-84.8221984,2.606,,,,,,2022,9,10,2,1.41,262.0
34,19,85,2022-09-10 02:37:17,,26.0,53.0,96.5,34.5,98.5,19.0,100.84,3.625,3.0,50.5040328,-84.8222486,3.625,,,,,,2022,9,10,2,1.41,262.0
48,19,199,2022-09-10 02:37:18,,25.5,52.0,94.5,32.5,97.5,19.0,105.04,4.171,3.0,50.5040489,-84.8223036,4.171,,,,,,2022,9,10,2,1.41,262.0
54,19,285,2022-09-10 02:37:19,,25.0,52.0,92.5,30.0,96.0,19.0,109.4,4.287,3.0,50.5040635,-84.8223643,4.287,,,,,,2022,9,10,2,1.41,262.0
59,20,357,2022-09-10 02:37:20,,24.0,53.0,90.5,27.5,94.5,19.0,114.03,4.427,3.0,50.5040807,-84.8224286,4.427,,,,,,2022,9,10,2,1.41,262.0
