ascent,descent,timestamp,altitude,cadence,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,battery_soc,calories,distance,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0,0,2022-09-10 21:05:17,-4.800000000000011,84.0,-4.800000000000011,5.449,2.0,50.5115489,-84.8137512,108.0,5.449,,,,,,,,,,,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:18,-4.800000000000011,86.0,-4.800000000000011,5.685,2.0,50.5115898,-84.8137603,112.0,5.685,13.0,0.0,0.0,0.0,15.0,50.0,57.5,19.5,62.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:19,-4.800000000000011,89.0,-4.800000000000011,5.728,2.0,50.5116399,-84.8137876,129.0,5.728,,0.0,5.1,0.0,16.0,42.0,56.5,19.5,62.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:20,-4.800000000000011,91.0,-4.800000000000011,5.529,2.0,50.5116991,-84.8138058,136.0,5.529,,0.0,10.66,0.0,16.5,40.0,55.0,19.0,61.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:21,-5.0,92.0,-5.0,5.876,2.0,50.5117628,-84.813824,131.0,5.876,,0.0,16.52,0.0,15.0,44.0,52.0,17.0,59.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:22,-5.0,95.0,-5.0,6.188,2.0,50.5118174,-84.8138513,140.0,6.188,,0.0,22.37,0.0,16.0,45.0,55.0,17.5,62.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:23,-5.0,97.0,-5.0,6.283,2.0,50.5118811,-84.8138877,148.0,6.283,,0.0,28.57,0.0,17.5,43.0,57.5,18.0,64.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:24,-5.0,98.0,-5.0,6.627,2.0,50.5119448,-84.8139241,149.0,6.627,,0.0,35.34,0.0,18.5,41.0,60.0,18.5,67.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:25,-5.199999999999989,91.0,-5.199999999999989,6.91,2.0,50.5120131,-84.8139787,141.0,6.91,,1.0,42.42,0.0,19.5,41.0,62.5,19.0,69.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:26,-5.0,66.0,-5.0,6.488,2.0,50.5120814,-84.814006,123.0,6.488,,1.0,49.32,0.0,21.0,34.0,65.5,19.5,71.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:27,-5.0,50.0,-5.0,6.369,2.0,50.5121542,-84.8140334,99.0,6.369,,1.0,56.05,0.0,31.0,9.0,75.0,18.0,63.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:28,-5.0,42.0,-5.0,6.851,2.0,50.512227,-84.8140698,74.0,6.851,,1.0,63.15,0.0,11.5,1.0,70.5,6.0,87.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:29,-5.0,37.0,-5.0,6.525,2.0,50.5122953,-84.8140971,60.0,6.525,,1.0,69.98,0.0,0.0,13.0,63.5,0.0,95.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:30,-5.0,32.0,-5.0,6.08,2.0,50.512359,-84.8141335,46.0,6.08,,1.0,76.34,0.0,0.0,29.0,56.0,0.0,88.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:31,-5.0,27.0,-5.0,5.845,2.0,50.5124181,-84.8141699,32.0,5.845,,1.0,82.48,0.0,0.0,44.0,49.0,0.0,81.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:32,-4.800000000000011,35.0,-4.800000000000011,5.447,2.0,50.5124773,-84.8141881,4.0,5.447,,1.0,88.07,0.0,0.0,60.0,41.5,0.0,73.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:33,-4.800000000000011,51.0,-4.800000000000011,5.339,2.0,50.5125365,-84.8142154,8.0,5.339,,1.0,93.74,0.0,7.0,75.0,34.5,0.0,66.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:34,-4.800000000000011,70.0,-4.800000000000011,5.646,2.0,50.5125956,-84.8142427,16.0,5.646,,1.0,99.77,0.0,12.5,93.0,38.5,0.0,58.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:35,-5.0,66.0,-5.0,5.658,2.0,50.5126593,-84.81427,29.0,5.658,,1.0,105.84,0.0,11.0,53.0,47.0,3.0,51.5,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:36,-5.0,50.0,-5.0,5.556,2.0,50.512714,-84.8143064,22.0,5.556,,1.0,111.79,0.0,0.0,5.0,48.5,11.5,45.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:37,-5.0,34.0,-5.0,5.654,2.0,50.5127777,-84.8143428,15.0,5.654,,1.0,117.83,0.0,3.0,21.0,50.5,9.0,48.0,29.0,2022,9,10,21,1.14,195.0
0,0,2022-09-10 21:05:38,-4.800000000000011,18.0,-4.800000000000011,5.613,2.0,50.5128414,-84.8143701,8.0,5.613,12.0,1.0,124.15,0.0,5.5,36.0,52.0,7.0,51.0,29.0,2022,9,10,21,1.14,195.0
