cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,power,speed,timestamp,battery_soc,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
16,0,0.0,2.837,3,110,50.5124636,-84.8160814,64,2.837,2022-09-11 22:18:06,,,,,,,,,,,,,2022,9,11,22,1.43,258.0
39,0,2.28,2.991,3,110,50.5124671,-84.8160464,40,2.991,2022-09-11 22:18:07,98.0,8.5,100.0,33.5,13.5,56.0,,,,,,,2022,9,11,22,1.43,258.0
55,0,5.22,3.138,3,111,50.5124777,-84.8160041,51,3.138,2022-09-11 22:18:08,,10.5,61.0,38.5,14.5,58.0,,,,,,,2022,9,11,22,1.43,258.0
60,0,8.45,3.204,3,112,50.5124882,-84.8159587,66,3.204,2022-09-11 22:18:09,,12.0,50.0,43.5,16.0,59.5,,,,,,,2022,9,11,22,1.43,258.0
65,0,11.47,3.088,2,112,50.5124971,-84.8159204,108,3.088,2022-09-11 22:18:10,,14.0,52.0,48.5,17.0,61.5,24.0,,,,,,2022,9,11,22,1.43,258.0
55,0,14.48,3.681,2,111,50.5125088,-84.8158791,97,3.681,2022-09-11 22:18:11,,15.5,58.0,53.5,18.5,63.0,24.0,,,,,,2022,9,11,22,1.43,258.0
44,0,18.2,4.009,2,113,50.5125321,-84.8158322,87,4.009,2022-09-11 22:18:12,,17.5,76.0,58.5,19.5,65.0,24.0,,,,,,2022,9,11,22,1.43,258.0
51,0,22.31,4.372,2,114,50.5125591,-84.8157872,77,4.372,2022-09-11 22:18:13,,19.5,94.0,64.5,19.5,63.5,24.0,,,,,,2022,9,11,22,1.43,258.0
78,0,26.81,4.756,2,115,50.5125836,-84.8157292,160,4.756,2022-09-11 22:18:14,,22.5,86.0,78.0,21.5,74.0,24.0,,,,,,2022,9,11,22,1.43,258.0
82,0,31.64,5.403,2,115,50.5126061,-84.8156662,202,5.403,2022-09-11 22:18:15,,26.5,66.0,95.5,25.5,95.0,24.0,,,,,,2022,9,11,22,1.43,258.0
83,1,37.33,5.9,2,114,50.5126349,-84.8155963,223,5.9,2022-09-11 22:18:16,,28.0,49.0,95.5,25.0,95.0,24.0,,,,,,2022,9,11,22,1.43,258.0
84,1,42.4,6.035,2,114,50.5126621,-84.815534,203,6.035,2022-09-11 22:18:17,,24.5,46.0,86.0,26.5,86.5,24.0,,,,,,2022,9,11,22,1.43,258.0
87,1,48.3,6.137,2,115,50.5126931,-84.8154587,183,6.137,2022-09-11 22:18:18,,20.0,42.0,70.5,27.5,84.5,24.0,,,,,,2022,9,11,22,1.43,258.0
89,1,55.38,6.283,2,115,50.5127314,-84.8153674,147,6.283,2022-09-11 22:18:19,,17.5,43.0,60.0,26.0,83.0,24.0,,,,,,2022,9,11,22,1.43,258.0
91,1,62.29,6.476,2,115,50.5127639,-84.8152748,141,6.476,2022-09-11 22:18:20,,18.0,46.0,63.0,23.5,75.0,24.0,,,,,,2022,9,11,22,1.43,258.0
94,1,69.21,6.743,2,116,50.5127949,-84.8151879,154,6.743,2022-09-11 22:18:21,,19.0,50.0,65.5,21.0,67.5,24.0,,,,,,2022,9,11,22,1.43,258.0
91,2,76.22,6.94,2,117,50.5128298,-84.8151,186,6.94,2022-09-11 22:18:22,,22.5,52.0,79.0,21.0,67.0,24.0,,,,,,2022,9,11,22,1.43,258.0
90,2,83.35,7.024,2,116,50.5128663,-84.8150087,223,7.024,2022-09-11 22:18:23,,28.0,51.0,88.0,21.0,67.0,24.0,,,,,,2022,9,11,22,1.43,258.0
92,2,90.55,6.964,2,115,50.512906,-84.8149174,192,6.964,2022-09-11 22:18:24,,32.5,50.0,92.5,21.0,67.0,24.0,23.200000000000045,0.0,0.0,23.200000000000045,0.0,2022,9,11,22,1.43,258.0
93,2,97.8,7.029,2,116,50.5129467,-84.8148268,167,7.029,2022-09-11 22:18:25,,30.5,50.0,88.0,21.0,67.0,24.0,23.200000000000045,0.0,0.0,23.200000000000045,0.0,2022,9,11,22,1.43,258.0
94,2,105.15,7.325,2,115,50.5129841,-84.8147309,170,7.325,2022-09-11 22:18:26,,28.0,53.0,84.0,21.0,67.0,24.0,23.200000000000045,0.0,0.0,23.200000000000045,0.0,2022,9,11,22,1.43,258.0
92,3,112.9,7.51,2,115,50.5130209,-84.8146298,190,7.51,2022-09-11 22:18:27,,26.0,39.0,79.5,21.0,67.5,24.0,23.200000000000045,0.0,0.0,23.200000000000045,0.0,2022,9,11,22,1.43,258.0
91,3,120.79,7.558,2,115,50.5130605,-84.8145292,185,7.558,2022-09-11 22:18:28,,23.5,42.0,75.5,21.0,67.5,24.0,23.200000000000045,0.0,0.0,23.200000000000045,0.0,2022,9,11,22,1.43,258.0
