cadence,calories,power,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
97.0,0,142.0,2022-09-12 21:56:14,35.0,0.0,78.0,0.0,0.0,35.0,7.006,3.0,-2.16,50.5146072,-84.8457546,7.006,22.0,,,,,,2022,9,12,21,1.36,216.0
98.0,0,146.0,2022-09-12 21:56:15,35.0,0.0,,0.0,6.09,35.0,7.014,3.0,-1.95,50.5145915,-84.8456684,7.014,22.0,18.5,47.0,67.0,17.0,59.0,2022,9,12,21,1.36,216.0
99.0,0,165.0,2022-09-12 21:56:16,34.799999999999955,0.0,,0.0,15.46,34.799999999999955,7.715,3.0,-1.75,50.5145791,-84.8455378,7.715,22.0,18.5,50.0,65.0,18.0,62.5,2022,9,12,21,1.36,216.0
96.0,0,173.0,2022-09-12 21:56:17,34.799999999999955,0.0,,0.0,23.88,34.799999999999955,8.118,3.0,-1.56,50.514565,-84.8454164,8.118,22.0,19.0,52.0,63.0,19.0,66.5,2022,9,12,21,1.36,216.0
96.0,0,174.0,2022-09-12 21:56:18,34.60000000000002,0.0,,0.0,32.32,34.60000000000002,8.384,3.0,-1.42,50.5145514,-84.8452978,8.384,22.0,19.0,49.0,63.0,19.5,68.0,2022,9,12,21,1.36,216.0
96.0,0,173.0,2022-09-12 21:56:19,34.39999999999998,0.0,,1.0,40.85,34.39999999999998,8.474,3.0,-1.34,50.5145377,-84.8451704,8.474,22.0,19.0,46.0,63.0,20.5,69.0,2022,9,12,21,1.36,216.0
98.0,1,167.0,2022-09-12 21:56:20,34.39999999999998,0.0,,1.0,49.29,34.39999999999998,8.443,3.0,-1.33,50.5145245,-84.8450518,8.443,22.0,18.5,45.0,62.0,20.5,68.0,2022,9,12,21,1.36,216.0
99.0,1,142.0,2022-09-12 21:56:21,34.200000000000045,0.0,,1.0,58.02,34.200000000000045,8.665,3.0,-1.33,50.5145158,-84.8449248,8.665,22.0,17.0,44.0,56.5,18.5,62.0,2022,9,12,21,1.36,216.0
101.0,1,136.0,2022-09-12 21:56:22,34.200000000000045,0.0,,1.0,66.33,34.200000000000045,8.424,3.0,-1.28,50.514511,-84.8448087,8.424,22.0,16.0,44.0,51.5,17.0,56.0,2022,9,12,21,1.36,216.0
101.0,1,139.0,2022-09-12 21:56:23,34.200000000000045,0.0,,1.0,74.59,34.200000000000045,8.207,3.0,-1.22,50.5145021,-84.8446837,8.207,22.0,16.5,52.0,60.0,18.0,61.0,2022,9,12,21,1.36,216.0
100.0,1,151.0,2022-09-12 21:56:24,34.0,0.0,,1.0,83.35,34.0,8.666,3.0,-1.18,50.5144928,-84.8445577,8.666,22.0,17.0,47.0,65.0,17.0,62.5,2022,9,12,21,1.36,216.0
99.0,1,141.0,2022-09-12 21:56:25,34.0,0.0,,1.0,92.35,34.0,8.848,3.0,-1.14,50.5144743,-84.8444296,8.848,22.0,17.5,45.0,65.5,15.0,61.0,2022,9,12,21,1.36,216.0
