cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,power,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
91,0,0.0,7.617,4,107,50.5122497,-84.8163817,337,7.617,2022-09-15 21:25:22,,,,,,,,,,,,,2022,9,15,21,2.75,350.0
92,0,7.39,7.919,3,106,50.512276,-84.8162803,304,7.919,2022-09-15 21:25:23,8.800000000000011,0.0,68.0,0.0,8.800000000000011,0.0,23.0,47.0,81.0,26.5,86.0,,2022,9,15,21,2.75,350.0
95,0,14.79,8.221,3,106,50.5123024,-84.8161788,277,8.221,2022-09-15 21:25:24,9.0,0.0,,0.0,9.0,0.0,24.0,44.0,84.5,26.5,84.5,,2022,9,15,21,2.75,350.0
99,0,23.01,8.518,3,107,50.51234,-84.8160723,271,8.518,2022-09-15 21:25:25,9.0,0.0,,0.0,9.0,0.0,25.0,41.0,88.0,26.5,83.5,25.0,2022,9,15,21,2.75,350.0
97,0,32.05,8.991,3,107,50.5123906,-84.8159582,278,8.991,2022-09-15 21:25:26,9.0,0.0,,0.0,9.0,0.0,26.0,39.0,92.0,27.0,83.0,25.0,2022,9,15,21,2.75,350.0
96,1,41.76,9.267,3,108,50.5124427,-84.8158343,333,9.267,2022-09-15 21:25:27,9.0,0.0,,0.0,9.0,0.43,27.5,37.0,97.5,32.0,97.5,25.0,2022,9,15,21,2.75,350.0
94,1,52.0,9.363,3,109,50.5124904,-84.8157008,284,9.363,2022-09-15 21:25:28,9.0,0.0,,0.0,9.0,1.15,26.5,46.0,94.0,31.5,97.0,25.0,2022,9,15,21,2.75,350.0
95,1,62.1,9.567,3,110,50.5125414,-84.8155747,278,9.567,2022-09-15 21:25:29,9.0,0.0,,0.0,9.0,0.0,24.5,43.0,88.5,29.5,93.0,25.0,2022,9,15,21,2.75,350.0
96,2,72.08,9.495,3,111,50.5125986,-84.815451,294,9.495,2022-09-15 21:25:30,9.0,0.0,,0.0,9.0,0.0,24.0,44.0,86.0,28.5,91.0,25.0,2022,9,15,21,2.75,350.0
98,2,81.93,9.362,3,112,50.5126523,-84.8153294,301,9.362,2022-09-15 21:25:31,9.0,0.0,,0.0,9.0,0.0,25.0,49.0,89.5,29.5,92.0,25.0,2022,9,15,21,2.75,350.0
101,2,92.07,9.772,3,113,50.5127075,-84.8152059,302,9.772,2022-09-15 21:25:32,9.0,0.0,,0.0,9.0,0.0,26.5,54.0,93.0,31.0,93.0,25.0,2022,9,15,21,2.75,350.0
102,3,102.71,10.084,3,111,50.5127615,-84.8150676,302,10.084,2022-09-15 21:25:33,9.0,0.0,,0.0,9.0,0.0,28.5,50.0,93.0,30.0,93.0,25.0,2022,9,15,21,2.75,350.0
103,3,113.43,10.093,3,111,50.5128109,-84.8149289,304,10.093,2022-09-15 21:25:34,9.0,0.0,,0.0,9.0,0.0,29.5,43.0,92.0,28.0,90.0,25.0,2022,9,15,21,2.75,350.0
104,3,124.36,10.072,3,110,50.5128559,-84.8147815,275,10.072,2022-09-15 21:25:35,9.0,0.0,,0.0,9.0,0.0,29.0,42.0,92.5,26.5,83.0,25.0,2022,9,15,21,2.75,350.0
