timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-10-07 20:59:32,,0.0,3.295,3.0,50.5129552,-84.814716,3.295,,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:33,,2.86,3.386,3.0,50.512972,-84.8146739,3.386,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:34,,5.54,2.641,3.0,50.5129916,-84.8146523,2.641,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:35,,7.78,2.323,3.0,50.5130063,-84.8146234,2.323,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:36,,11.8,3.624,3.0,50.5130374,-84.8145788,3.624,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:37,,15.59,3.734,3.0,50.5130607,-84.814533,3.734,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:38,,21.38,5.217,3.0,50.5131065,-84.814477,5.217,25.0,,,,,,,,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:39,,26.43,5.206,3.0,50.5131376,-84.814415,5.206,25.0,56.0,0.0,29.5,98.5,101.0,0.0,0.0,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:40,,31.75,5.209,3.0,50.5131749,-84.8143589,5.209,25.0,65.0,0.0,25.5,96.0,156.0,7.5,29.0,,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:41,,37.54,5.63,3.0,50.5132113,-84.8142941,5.63,25.0,74.0,0.0,23.0,94.0,314.0,10.0,38.5,49.0,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:42,,43.91,6.159,3.0,50.5132435,-84.8142118,6.159,25.0,87.0,0.0,22.0,89.5,306.0,15.0,53.5,52.0,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:43,,50.28,6.361,3.0,50.5132792,-84.8141308,6.361,25.0,92.0,0.0,22.0,83.5,268.0,24.5,81.5,57.0,,,,,,2022,10,7,20,4.55,199.0
2022-10-07 20:59:44,,57.33,6.817,3.0,50.5133119,-84.8140386,6.817,25.0,97.0,1.0,25.5,87.0,231.0,24.0,77.5,63.0,,,,,,2022,10,7,20,4.55,199.0
