cadence,calories,heart_rate,timestamp,battery_soc,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,4,90,2022-10-27 20:57:38,,,,,0.0,,,18.0,0.0,0.0,7.0,50.5120814,-84.8170917,0.0,,,,,,2022,10,27,20,3.92,218.0
80,4,82,2022-10-27 20:58:04,,37.0,,98.5,261.0,22.0,90.0,17.0,0.0,3.645,5.0,50.5122195,-84.8166276,3.645,,,,,,2022,10,27,20,3.92,218.0
99,4,82,2022-10-27 20:58:05,,33.0,,99.5,348.0,20.5,86.0,17.0,4.29,6.192,5.0,50.5122511,-84.8165443,6.192,,,,,,2022,10,27,20,3.92,218.0
98,4,81,2022-10-27 20:58:06,,29.0,,96.0,344.0,20.5,85.0,17.0,11.07,6.42,5.0,50.5122802,-84.816453,6.42,,,,,,2022,10,27,20,3.92,218.0
88,4,80,2022-10-27 20:58:07,,20.0,,68.5,212.0,25.5,91.0,17.0,17.12,6.164,5.0,50.5123133,-84.8163785,6.164,,,,,,2022,10,27,20,3.92,218.0
67,4,80,2022-10-27 20:58:08,,11.0,,39.0,97.0,28.0,90.0,17.0,23.04,6.011,5.0,50.5123498,-84.816309,6.011,,,,,,2022,10,27,20,3.92,218.0
69,4,79,2022-10-27 20:58:09,,12.0,,41.0,109.0,19.0,66.5,17.0,28.72,5.816,5.0,50.5123834,-84.8162419,5.816,,,,,,2022,10,27,20,3.92,218.0
67,5,80,2022-10-27 20:58:10,,18.0,,61.5,138.0,20.5,71.5,17.0,34.33,6.144,5.0,50.5124151,-84.8161727,6.144,,,,,,2022,10,27,20,3.92,218.0
67,5,78,2022-10-27 20:58:11,,24.0,,82.0,204.0,22.0,77.0,17.0,40.8,6.835,5.0,50.5124495,-84.8160895,6.835,,,,,,2022,10,27,20,3.92,218.0
77,5,81,2022-10-27 20:58:12,,25.5,54.0,88.0,192.0,21.5,82.0,17.0,48.04,7.248,5.0,50.5124859,-84.8159985,7.248,,,,,,2022,10,27,20,3.92,218.0
82,5,80,2022-10-27 20:58:13,,24.0,51.0,81.0,171.0,20.5,85.5,17.0,55.72,7.553,5.0,50.5125226,-84.815901,7.553,,,,,,2022,10,27,20,3.92,218.0
85,5,80,2022-10-27 20:58:14,,25.5,48.0,75.0,239.0,21.0,86.5,17.0,63.68,7.797,5.0,50.5125621,-84.8158003,7.797,,,,,,2022,10,27,20,3.92,218.0
93,6,83,2022-10-27 20:58:15,,35.0,47.0,96.5,438.0,26.5,98.0,17.0,72.02,8.289,5.0,50.5126058,-84.8156947,8.289,,,,,,2022,10,27,20,3.92,218.0
97,6,84,2022-10-27 20:58:16,,36.0,45.0,100.0,529.0,27.0,100.0,17.0,81.28,8.857,5.0,50.5126568,-84.8155801,8.857,,,,,,2022,10,27,20,3.92,218.0
98,7,85,2022-10-27 20:58:17,,35.5,52.0,100.0,479.0,26.5,100.0,17.0,91.42,9.535,5.0,50.5127142,-84.8154564,9.535,,,,,,2022,10,27,20,3.92,218.0
97,7,85,2022-10-27 20:58:18,,34.5,55.0,99.5,496.0,26.5,100.0,17.0,101.99,9.969,5.0,50.5127733,-84.8153232,9.969,,,,,,2022,10,27,20,3.92,218.0
100,8,86,2022-10-27 20:58:19,,33.5,54.0,99.0,541.0,27.5,100.0,17.0,112.89,10.418,5.0,50.5128298,-84.8151864,10.418,,,,,,2022,10,27,20,3.92,218.0
104,9,88,2022-10-27 20:58:20,,32.0,53.0,98.0,576.0,29.0,100.0,17.0,124.13,10.894,5.0,50.5128925,-84.8150451,10.894,,,,,,2022,10,27,20,3.92,218.0
108,9,87,2022-10-27 20:58:21,,31.0,51.0,97.0,586.0,30.0,100.0,17.0,135.96,11.075,5.0,50.512961,-84.8148989,11.075,,,,,,2022,10,27,20,3.92,218.0
107,10,87,2022-10-27 20:58:22,,30.0,50.0,96.0,576.0,31.0,100.0,17.0,149.39,11.927,5.0,50.5130267,-84.8147301,11.927,,,,,,2022,10,27,20,3.92,218.0
102,10,87,2022-10-27 20:58:23,,29.5,49.0,96.5,544.0,30.0,100.0,17.0,162.7,12.262,5.0,50.5130903,-84.8145539,12.262,,,,,,2022,10,27,20,3.92,218.0
100,11,87,2022-10-27 20:58:24,,31.0,47.0,99.5,496.0,24.5,99.5,17.0,175.48,12.24,5.0,50.5131543,-84.8143918,12.24,,,,,,2022,10,27,20,3.92,218.0
