ascent,descent,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,distance,temperature,cadence,power,calories,left_pedal_smoothness,right_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_torque_effectiveness,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0,0,3.117,6,50.5146664,-84.8106018,3.117,2022-10-22 00:12:49,,,,,,,,,,,,,,,2022,10,22,0,4.02,243.0
0,0,6.235,6,50.5146982,-84.8105199,6.235,2022-10-22 00:12:50,49.0,0.0,,,,,,,,,,,,,2022,10,22,0,4.02,243.0
0,0,9.352,6,50.5147346,-84.810438,9.352,2022-10-22 00:12:51,,6.58,19.0,,,,,,,,,,,,2022,10,22,0,4.02,243.0
0,0,8.75,5,50.5148211,-84.8103287,8.75,2022-10-22 00:12:52,,17.52,19.0,23.0,143.0,,,,,,,,,,2022,10,22,0,4.02,243.0
0,0,9.26,5,50.5148757,-84.8102195,9.26,2022-10-22 00:12:53,,26.78,19.0,64.0,69.0,0.0,0.0,0.0,,,,,,,2022,10,22,0,4.02,243.0
0,0,8.109,5,50.5148985,-84.8100921,8.109,2022-10-22 00:12:54,,35.41,19.0,93.0,156.0,0.0,7.5,8.5,,,,,,,2022,10,22,0,4.02,243.0
0,0,8.718,5,50.5149486,-84.809992,8.718,2022-10-22 00:12:55,,44.23,19.0,93.0,218.0,0.0,15.5,16.5,46.0,69.0,70.0,,,,2022,10,22,0,4.02,243.0
0,0,8.759,5,50.5150077,-84.8098827,8.759,2022-10-22 00:12:56,,53.11,19.0,92.0,178.0,0.0,15.0,21.5,30.0,55.0,66.5,,,,2022,10,22,0,4.02,243.0
0,0,7.944,5,50.5150578,-84.8097826,7.944,2022-10-22 00:12:57,,61.3,19.0,88.0,118.0,0.0,0.0,19.5,15.0,40.5,61.5,,,,2022,10,22,0,4.02,243.0
0,0,6.744,5,50.5151078,-84.8097098,6.744,2022-10-22 00:12:58,,68.37,19.0,83.0,61.0,0.0,0.0,11.5,3.0,26.5,41.5,,,,2022,10,22,0,4.02,243.0
0,0,4.691,5,50.5151488,-84.8096552,4.691,2022-10-22 00:12:59,,73.96,19.0,77.0,32.0,0.0,1.0,10.5,43.0,12.5,38.0,,,,2022,10,22,0,4.02,243.0
0,0,3.667,5,50.5151761,-84.8096097,3.667,2022-10-22 00:13:00,,78.2,19.0,70.0,16.0,0.0,8.0,5.5,84.0,24.5,45.0,,,,2022,10,22,0,4.02,243.0
0,0,3.086,5,50.5151989,-84.8095642,3.086,2022-10-22 00:13:01,,81.68,19.0,65.0,20.0,0.0,16.0,4.0,95.0,50.0,57.5,,,,2022,10,22,0,4.02,243.0
0,0,4.029,4,50.5152307,-84.8095186,4.029,2022-10-22 00:13:02,,85.92,19.0,60.0,36.0,0.0,19.0,15.0,87.0,64.5,70.0,,,,2022,10,22,0,4.02,243.0
0,0,4.124,4,50.5152671,-84.8094731,4.124,2022-10-22 00:13:03,,90.32,19.0,65.0,176.0,1.0,22.0,26.5,78.0,79.0,82.5,,,,2022,10,22,0,4.02,243.0
