heart_rate,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,year,month,day,hour,wind_speed,wind_direction
98,2022-10-29 17:53:49,29.799999999999955,0.0,31.0,101.0,0.0,0.0,0.0,29.799999999999955,8.321,3.0,0.0,21.0,46.0,76.0,50.5120313,-84.8230263,188.0,21.5,67.5,8.321,,2022,10,29,17,4.83,207.0
99,2022-10-29 17:53:50,29.799999999999955,0.0,,102.0,0.0,0.0,12.58,29.799999999999955,8.537,3.0,0.0,19.5,41.0,71.5,50.51207,-84.8232034,195.0,19.0,59.0,8.537,,2022,10,29,17,4.83,207.0
100,2022-10-29 17:53:51,29.799999999999955,0.0,,103.0,0.0,0.0,21.75,29.799999999999955,8.661,3.0,0.0,14.0,35.0,55.0,50.512098,-84.8233285,192.0,22.5,73.5,8.661,,2022,10,29,17,4.83,207.0
101,2022-10-29 17:53:52,29.799999999999955,0.0,,99.0,0.0,0.0,30.7,29.799999999999955,8.717,3.0,0.0,14.5,38.0,55.0,50.5121272,-84.8234513,186.0,24.5,81.5,8.717,,2022,10,29,17,4.83,207.0
100,2022-10-29 17:53:53,30.0,0.0,,97.0,0.0,0.0,39.29,30.0,8.595,3.0,0.0,18.0,43.0,65.5,50.5121602,-84.823567,248.0,25.5,83.5,8.595,20.0,2022,10,29,17,4.83,207.0
102,2022-10-29 17:53:54,30.0,0.0,,98.0,1.0,0.0,47.75,30.0,8.42,3.0,0.0,22.0,48.0,76.5,50.5121963,-84.8236808,262.0,26.0,85.0,8.42,20.0,2022,10,29,17,4.83,207.0
102,2022-10-29 17:53:55,30.0,0.0,,98.0,1.0,0.0,56.54,30.0,8.418,3.0,0.0,25.5,53.0,87.5,50.5122337,-84.8237968,255.0,27.0,87.0,8.418,20.0,2022,10,29,17,4.83,207.0
103,2022-10-29 17:53:56,30.0,0.0,,99.0,1.0,0.0,65.33,30.0,8.529,3.0,0.0,25.0,58.0,88.0,50.5122758,-84.8239106,244.0,26.0,84.0,8.529,20.0,2022,10,29,17,4.83,207.0
102,2022-10-29 17:53:57,29.799999999999955,0.0,,100.0,1.0,0.0,74.17,29.799999999999955,8.547,3.0,0.0,24.0,59.0,86.0,50.5123256,-84.8240194,236.0,25.0,83.5,8.547,20.0,2022,10,29,17,4.83,207.0
102,2022-10-29 17:53:58,29.799999999999955,0.0,,101.0,2.0,0.0,83.14,29.799999999999955,8.511,3.0,0.0,23.5,60.0,83.5,50.5123802,-84.8241258,236.0,24.5,84.5,8.511,20.0,2022,10,29,17,4.83,207.0
