distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,altitude,enhanced_altitude,ascent,cadence,calories,descent,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
5.26,7.671,2,105,50.5127437,-84.8149902,7.671,2022-11-01 11:23:33,,,,,,,,,,,,,,,,2022,11,1,11,3.61,199.0
10.52,7.622,2,105,50.5127734,-84.8149276,7.622,2022-11-01 11:23:34,67.0,,,,,,,,,,,,,,,2022,11,1,11,3.61,199.0
15.97,7.56,2,104,50.512803,-84.8148613,7.56,2022-11-01 11:23:35,,68.20000000000005,68.20000000000005,,,,,,,,,,,,,2022,11,1,11,3.61,199.0
23.35,7.403,2,104,50.5128323,-84.8147604,7.403,2022-11-01 11:23:36,,68.20000000000005,68.20000000000005,0.0,41.0,0.0,0.0,0.0,6.0,55.0,27.0,127.0,19.0,64.0,,2022,11,1,11,3.61,199.0
30.86,7.499,2,104,50.5128727,-84.8146676,7.499,2022-11-01 11:23:37,,68.20000000000005,68.20000000000005,0.0,73.0,0.0,0.0,0.0,7.0,52.0,30.5,88.0,19.0,63.5,,2022,11,1,11,3.61,199.0
38.72,7.792,2,104,50.512909,-84.8145608,7.792,2022-11-01 11:23:38,,68.20000000000005,68.20000000000005,0.0,88.0,0.0,0.0,0.0,22.0,51.0,79.5,104.0,22.0,68.5,18.0,2022,11,1,11,3.61,199.0
46.75,7.988,2,104,50.5129504,-84.8144608,7.988,2022-11-01 11:23:39,,68.20000000000005,68.20000000000005,0.0,90.0,0.0,0.0,0.0,20.5,55.0,77.5,135.0,26.0,80.5,18.0,2022,11,1,11,3.61,199.0
54.78,8.008,2,105,50.5129958,-84.8143597,8.008,2022-11-01 11:23:40,,68.0,68.0,0.0,92.0,0.0,0.0,0.0,19.5,61.0,76.5,155.0,22.0,76.5,18.0,2022,11,1,11,3.61,199.0
62.7,7.934,2,104,50.5130369,-84.8142585,7.934,2022-11-01 11:23:41,,68.0,68.0,0.0,94.0,0.0,0.0,0.0,20.0,60.0,74.5,154.0,18.5,71.0,18.0,2022,11,1,11,3.61,199.0
71.0,8.216,2,104,50.5130772,-84.8141505,8.216,2022-11-01 11:23:42,,68.0,68.0,0.0,95.0,0.0,0.0,0.0,20.5,58.0,72.5,146.0,17.5,67.0,18.0,2022,11,1,11,3.61,199.0
79.19,8.188,2,104,50.5131136,-84.8140495,8.188,2022-11-01 11:23:43,,68.0,68.0,0.0,95.0,0.0,0.0,0.0,20.0,59.0,71.0,140.0,17.5,63.0,18.0,2022,11,1,11,3.61,199.0
87.22,8.072,2,103,50.5131502,-84.8139411,8.072,2022-11-01 11:23:44,,68.0,68.0,0.0,95.0,1.0,0.0,0.0,20.0,60.0,69.5,138.0,17.5,59.0,18.0,2022,11,1,11,3.61,199.0
95.38,8.144,3,104,50.5131907,-84.8138328,8.144,2022-11-01 11:23:45,,68.0,68.0,0.0,95.0,1.0,0.0,0.0,21.0,61.0,73.5,138.0,19.0,63.0,18.0,2022,11,1,11,3.61,199.0
103.55,8.156,3,105,50.5132281,-84.8137313,8.156,2022-11-01 11:23:46,,68.0,68.0,0.0,95.0,1.0,0.0,0.0,21.0,62.0,74.0,144.0,20.0,68.5,18.0,2022,11,1,11,3.61,199.0
111.47,7.977,3,105,50.5132685,-84.8136304,7.977,2022-11-01 11:23:47,,68.0,68.0,0.0,95.0,1.0,0.0,0.0,20.5,63.0,70.5,135.0,20.0,69.5,18.0,2022,11,1,11,3.61,199.0
119.41,8.004,3,105,50.513305,-84.813523,8.004,2022-11-01 11:23:48,,68.0,68.0,0.0,96.0,1.0,0.0,0.0,20.0,56.0,68.0,129.0,16.5,59.5,18.0,2022,11,1,11,3.61,199.0
127.48,8.009,3,107,50.5133468,-84.813423,8.009,2022-11-01 11:23:49,,68.0,68.0,0.0,72.0,1.0,0.0,0.0,16.0,33.0,58.0,124.0,15.0,53.0,18.0,2022,11,1,11,3.61,199.0
135.88,8.356,2,106,50.5133972,-84.813323,8.356,2022-11-01 11:23:50,,68.0,68.0,0.0,75.0,1.0,0.0,0.0,25.5,58.0,79.0,115.0,9.0,35.5,18.0,2022,11,1,11,3.61,199.0
144.69,8.601,2,106,50.5134521,-84.8132205,8.601,2022-11-01 11:23:51,,67.79999999999995,67.79999999999995,0.0,85.0,2.0,0.0,0.0,29.0,59.0,90.0,198.0,11.0,41.0,18.0,2022,11,1,11,3.61,199.0
153.13,8.49,2,105,50.5135024,-84.8131118,8.49,2022-11-01 11:23:52,,67.79999999999995,67.79999999999995,0.0,86.0,2.0,0.0,0.0,26.5,55.0,88.0,233.0,19.5,66.0,18.0,2022,11,1,11,3.61,199.0
161.42,8.372,2,105,50.513551,-84.8130139,8.372,2022-11-01 11:23:53,,67.79999999999995,67.79999999999995,0.0,87.0,2.0,0.0,0.0,23.5,55.0,85.5,230.0,27.5,89.0,18.0,2022,11,1,11,3.61,199.0
169.75,8.324,2,106,50.5135966,-84.8129114,8.324,2022-11-01 11:23:54,,67.79999999999995,67.79999999999995,0.0,87.0,2.0,0.0,0.0,20.0,52.0,80.5,223.0,25.5,86.5,18.0,2022,11,1,11,3.61,199.0
178.1,8.359,2,106,50.513637,-84.8128025,8.359,2022-11-01 11:23:55,,67.79999999999995,67.79999999999995,0.0,87.0,2.0,0.0,0.0,20.5,54.0,80.0,211.0,24.0,83.5,18.0,2022,11,1,11,3.61,199.0
186.51,8.388,2,104,50.5136735,-84.8126929,8.388,2022-11-01 11:23:56,,67.79999999999995,67.79999999999995,0.0,88.0,3.0,0.0,0.0,22.5,56.0,82.5,185.0,23.5,82.0,18.0,2022,11,1,11,3.61,199.0
194.86,8.388,2,106,50.5137093,-84.8125833,8.388,2022-11-01 11:23:57,,67.79999999999995,67.79999999999995,0.0,89.0,3.0,0.0,0.0,24.5,59.0,87.0,188.0,23.5,81.0,18.0,2022,11,1,11,3.61,199.0
203.71,8.72,2,104,50.5137451,-84.8124626,8.72,2022-11-01 11:23:58,,67.79999999999995,67.79999999999995,0.0,91.0,3.0,0.0,0.0,26.5,60.0,92.0,196.0,23.5,80.0,18.0,2022,11,1,11,3.61,199.0
215.09,10.751,2,103,50.5138136,-84.8123275,10.751,2022-11-01 11:23:59,,67.79999999999995,67.79999999999995,0.0,91.0,3.0,0.0,0.0,23.5,54.0,84.0,197.0,23.5,80.0,18.0,2022,11,1,11,3.61,199.0
226.09,10.88,2,104,50.5138869,-84.8122001,10.88,2022-11-01 11:24:00,,67.79999999999995,67.79999999999995,0.0,92.0,3.0,0.0,0.0,21.0,58.0,82.0,180.0,25.0,82.5,18.0,2022,11,1,11,3.61,199.0
236.78,10.744,2,104,50.5139579,-84.8120834,10.744,2022-11-01 11:24:01,,67.79999999999995,67.79999999999995,0.0,92.0,4.0,0.0,0.0,20.5,62.0,83.5,179.0,26.0,82.5,18.0,2022,11,1,11,3.61,199.0
245.94,9.649,2,106,50.5140159,-84.8119748,9.649,2022-11-01 11:24:02,,67.79999999999995,67.79999999999995,0.0,92.0,4.0,0.0,0.0,21.5,63.0,81.5,175.0,22.5,74.0,18.0,2022,11,1,11,3.61,199.0
255.23,9.508,2,105,50.5140695,-84.8118593,9.508,2022-11-01 11:24:03,,67.79999999999995,67.79999999999995,0.0,93.0,4.0,0.0,0.0,22.5,63.0,79.0,167.0,19.5,66.0,18.0,2022,11,1,11,3.61,199.0
264.59,9.199,2,105,50.5141254,-84.8117465,9.199,2022-11-01 11:24:04,,67.60000000000002,67.60000000000002,0.0,93.0,4.0,0.0,0.0,22.5,63.0,79.0,162.0,19.5,66.5,18.0,2022,11,1,11,3.61,199.0
273.48,9.024,2,105,50.5141745,-84.8116386,9.024,2022-11-01 11:24:05,,67.60000000000002,67.60000000000002,0.0,93.0,4.0,0.0,0.0,22.5,63.0,79.5,158.0,19.5,67.5,18.0,2022,11,1,11,3.61,199.0
282.49,9.021,2,105,50.5142244,-84.8115214,9.021,2022-11-01 11:24:06,,67.79999999999995,67.79999999999995,0.0,93.0,4.0,0.0,0.0,22.0,56.0,80.0,154.0,19.5,68.0,18.0,2022,11,1,11,3.61,199.0
291.29,8.787,2,103,50.5142706,-84.8114179,8.787,2022-11-01 11:24:07,,67.79999999999995,67.79999999999995,0.0,93.0,4.0,0.0,0.0,22.0,50.0,80.5,149.0,19.5,68.0,18.0,2022,11,1,11,3.61,199.0
300.04,8.829,2,104,50.5143149,-84.8113017,8.829,2022-11-01 11:24:08,,67.79999999999995,67.79999999999995,0.0,93.0,5.0,0.0,0.0,21.5,54.0,80.5,150.0,20.0,68.0,18.0,2022,11,1,11,3.61,199.0
