timestamp,battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,left_right_balance,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-11-03 12:17:02,61.0,39.0,0.0,0.0,3.987,2.0,50.5126366,-84.8156718,174.0,3.987,,,,,,,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:03,,69.0,0.0,5.52,4.846,2.0,50.5126622,-84.8156016,188.0,4.846,53.0,,,,,,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:04,,80.0,0.0,11.39,5.247,2.0,50.5126942,-84.8155283,203.0,5.247,46.0,,,,,,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:05,,80.0,0.0,17.71,5.556,2.0,50.5127272,-84.8154533,213.0,5.556,38.0,27.5,93.0,27.5,88.5,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:06,,80.0,0.0,24.39,6.667,2.0,50.5127666,-84.8153656,205.0,6.667,45.0,25.0,87.0,26.5,86.0,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:07,,81.0,0.0,31.56,6.888,2.0,50.5128034,-84.8152809,202.0,6.888,51.0,22.5,82.5,25.5,83.5,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:08,,83.0,1.0,38.44,6.933,2.0,50.5128352,-84.815191,199.0,6.933,53.0,21.0,81.5,24.5,81.0,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:09,,76.0,1.0,45.07,6.695,2.0,50.5128677,-84.8151076,183.0,6.695,56.0,20.0,80.0,23.5,78.5,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:10,,50.0,1.0,51.73,6.67,2.0,50.5129036,-84.8150178,154.0,6.67,58.0,20.0,81.0,22.5,,21.0,,,,,,2022,11,3,12,5.96,235.0
2022-11-03 12:17:11,,24.0,1.0,58.25,6.561,2.0,50.5129355,-84.8149366,125.0,6.561,61.0,21.0,82.0,21.0,,21.0,,,,,,2022,11,3,12,5.96,235.0
