distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,altitude,enhanced_altitude,ascent,battery_soc,cadence,calories,descent,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,6.991,2,117,50.509692,-84.8183023,6.991,2022-11-04 11:00:55,,,,,,,,,,,,,,,,2022,11,4,11,4.87,161.0
5.32,7.053,2,118,50.5096401,-84.8183324,7.053,2022-11-04 11:00:56,43.200000000000045,43.200000000000045,,,,,,,,,,,,,,2022,11,4,11,4.87,161.0
10.64,7.114,2,118,50.5095883,-84.8183625,7.114,2022-11-04 11:00:57,43.0,43.0,0.0,98.0,90.0,0.0,0.0,0.0,22.0,50.0,78.0,232.0,27.5,87.5,18.0,2022,11,4,11,4.87,161.0
16.57,7.229,2,117,50.5095299,-84.8183966,7.229,2022-11-04 11:00:58,43.0,43.0,0.0,,92.0,0.0,0.0,0.0,21.5,49.0,78.0,226.0,26.5,86.0,18.0,2022,11,4,11,4.87,161.0
24.14,7.427,2,117,50.5094547,-84.8184415,7.427,2022-11-04 11:00:59,43.0,43.0,0.0,,93.0,0.0,0.0,0.0,21.0,50.0,77.5,230.0,25.0,84.5,18.0,2022,11,4,11,4.87,161.0
31.98,7.497,2,116,50.5093798,-84.8184883,7.497,2022-11-04 11:01:00,43.0,43.0,0.0,,95.0,0.0,0.0,0.0,22.5,60.0,81.0,229.0,24.5,82.0,17.0,2022,11,4,11,4.87,161.0
39.9,7.68,2,117,50.5093044,-84.8185364,7.68,2022-11-04 11:01:01,43.0,43.0,0.0,,97.0,0.0,0.0,0.0,23.0,61.0,82.5,226.0,24.0,81.0,17.0,2022,11,4,11,4.87,161.0
48.09,7.827,2,117,50.5092234,-84.8185887,7.827,2022-11-04 11:01:02,43.0,43.0,0.0,,98.0,1.0,0.0,0.0,22.5,61.0,82.0,223.0,24.5,81.5,17.0,2022,11,4,11,4.87,161.0
56.14,7.877,2,118,50.5091451,-84.818634,7.877,2022-11-04 11:01:03,43.0,43.0,0.0,,100.0,1.0,0.0,0.0,22.5,62.0,81.5,212.0,24.5,82.5,17.0,2022,11,4,11,4.87,161.0
64.22,7.864,2,116,50.5090632,-84.8186788,7.864,2022-11-04 11:01:04,43.0,43.0,0.0,,100.0,1.0,0.0,0.0,22.0,62.0,81.0,207.0,25.0,83.5,17.0,2022,11,4,11,4.87,161.0
72.77,8.044,2,119,50.5089778,-84.8187251,8.044,2022-11-04 11:01:05,43.0,43.0,0.0,,99.0,1.0,0.0,0.0,21.5,46.0,81.0,191.0,24.0,81.0,17.0,2022,11,4,11,4.87,161.0
80.7,8.086,2,123,50.5089007,-84.8187731,8.086,2022-11-04 11:01:06,43.0,43.0,0.0,,93.0,1.0,0.0,0.0,21.5,47.0,81.5,172.0,23.0,78.5,17.0,2022,11,4,11,4.87,161.0
88.61,7.955,2,127,50.5088238,-84.8188241,7.955,2022-11-04 11:01:07,43.0,43.0,0.0,,94.0,2.0,0.0,0.0,21.0,52.0,81.5,167.0,22.0,75.5,17.0,2022,11,4,11,4.87,161.0
96.51,7.969,2,131,50.5087448,-84.8188686,7.969,2022-11-04 11:01:08,43.0,43.0,0.0,,94.0,2.0,0.0,0.0,20.5,57.0,82.0,191.0,21.5,72.5,17.0,2022,11,4,11,4.87,161.0
104.91,7.985,2,133,50.5086641,-84.8189161,7.985,2022-11-04 11:01:09,42.799999999999955,42.799999999999955,0.0,,94.0,2.0,0.0,0.0,22.5,60.0,83.0,223.0,21.0,72.0,17.0,2022,11,4,11,4.87,161.0
112.75,7.98,2,135,50.5085873,-84.8189638,7.98,2022-11-04 11:01:10,42.799999999999955,42.799999999999955,0.0,,94.0,2.0,0.0,0.0,24.5,58.0,86.0,224.0,21.0,71.5,17.0,2022,11,4,11,4.87,161.0
120.92,7.934,2,139,50.5085089,-84.8190157,7.934,2022-11-04 11:01:11,42.799999999999955,42.799999999999955,0.0,,95.0,2.0,0.0,0.0,25.0,57.0,87.5,225.0,21.0,71.5,17.0,2022,11,4,11,4.87,161.0
128.95,7.817,2,140,50.5084293,-84.8190614,7.817,2022-11-04 11:01:12,42.799999999999955,42.799999999999955,0.0,,95.0,3.0,0.0,0.0,23.0,57.0,82.0,226.0,21.0,72.5,17.0,2022,11,4,11,4.87,161.0
136.66,7.715,2,141,50.5083561,-84.8191087,7.715,2022-11-04 11:01:13,43.0,43.0,0.0,,83.0,3.0,0.0,0.0,21.5,57.0,77.0,209.0,21.5,74.0,17.0,2022,11,4,11,4.87,161.0
144.61,7.575,2,142,50.5082791,-84.8191615,7.575,2022-11-04 11:01:14,43.0,43.0,0.0,,61.0,3.0,0.0,0.0,20.0,57.0,72.0,184.0,21.5,75.0,17.0,2022,11,4,11,4.87,161.0
152.27,7.246,2,142,50.5082062,-84.8192071,7.246,2022-11-04 11:01:15,43.0,43.0,0.0,,39.0,3.0,0.0,0.0,23.5,58.0,74.5,159.0,21.5,74.0,17.0,2022,11,4,11,4.87,161.0
159.63,7.189,2,143,50.5081329,-84.8192528,7.189,2022-11-04 11:01:16,43.200000000000045,43.200000000000045,0.0,,22.0,3.0,0.0,0.0,32.0,58.0,83.5,86.0,22.0,71.0,17.0,2022,11,4,11,4.87,161.0
166.99,7.275,2,143,50.5080598,-84.8192959,7.275,2022-11-04 11:01:17,43.200000000000045,43.200000000000045,0.0,,68.0,3.0,0.0,0.0,38.5,59.0,91.5,87.0,21.5,68.5,17.0,2022,11,4,11,4.87,161.0
174.45,7.143,2,144,50.5079853,-84.8193351,7.143,2022-11-04 11:01:18,43.200000000000045,43.200000000000045,0.0,,88.0,3.0,0.0,0.0,23.0,59.0,81.5,128.0,3.0,72.0,17.0,2022,11,4,11,4.87,161.0
181.75,6.838,2,147,50.5079116,-84.8193774,6.838,2022-11-04 11:01:19,43.200000000000045,43.200000000000045,0.0,,78.0,3.0,0.0,0.0,20.0,58.0,75.0,141.0,15.5,75.0,17.0,2022,11,4,11,4.87,161.0
188.57,6.687,2,147,50.5078456,-84.819414,6.687,2022-11-04 11:01:20,43.200000000000045,43.200000000000045,0.0,,62.0,3.0,0.0,0.0,20.5,58.0,74.0,126.0,23.5,77.5,17.0,2022,11,4,11,4.87,161.0
194.8,5.994,2,147,50.5077852,-84.8194504,5.994,2022-11-04 11:01:21,43.200000000000045,43.200000000000045,0.0,,45.0,3.0,0.0,0.0,21.5,57.0,77.0,111.0,23.5,79.5,17.0,2022,11,4,11,4.87,161.0
200.98,5.066,2,147,50.5077242,-84.8194867,5.066,2022-11-04 11:01:22,43.200000000000045,43.200000000000045,0.0,,28.0,3.0,0.0,0.0,23.0,57.0,80.0,96.0,23.5,81.0,17.0,2022,11,4,11,4.87,161.0
206.27,4.578,2,146,50.5076724,-84.8195229,4.578,2022-11-04 11:01:23,43.39999999999998,43.39999999999998,0.0,,11.0,3.0,0.0,0.0,24.5,56.0,83.0,82.0,23.5,83.0,17.0,2022,11,4,11,4.87,161.0
211.04,4.505,2,146,50.5076277,-84.8195572,4.505,2022-11-04 11:01:24,43.39999999999998,43.39999999999998,0.0,,0.0,3.0,0.0,0.0,25.5,56.0,86.0,0.0,23.0,85.0,17.0,2022,11,4,11,4.87,161.0
215.57,4.465,2,144,50.5075853,-84.8195845,4.465,2022-11-04 11:01:25,43.39999999999998,43.39999999999998,0.0,,0.0,3.0,0.0,0.0,27.0,55.0,89.0,0.0,23.0,86.5,17.0,2022,11,4,11,4.87,161.0
220.37,4.889,2,143,50.5075383,-84.8196146,4.889,2022-11-04 11:01:26,43.39999999999998,43.39999999999998,0.0,,35.0,3.0,0.0,0.0,28.5,54.0,92.0,32.0,23.0,88.5,17.0,2022,11,4,11,4.87,161.0
225.6,5.649,2,142,50.5074898,-84.8196523,5.649,2022-11-04 11:01:27,43.39999999999998,43.39999999999998,0.0,,50.0,4.0,0.0,0.0,29.5,54.0,95.0,116.0,23.0,90.5,17.0,2022,11,4,11,4.87,161.0
231.11,6.232,2,144,50.5074408,-84.819697,6.232,2022-11-04 11:01:28,43.39999999999998,43.39999999999998,0.0,,60.0,4.0,0.0,0.0,31.0,55.0,98.0,208.0,23.0,92.0,17.0,2022,11,4,11,4.87,161.0
237.9,6.728,2,143,50.5073789,-84.8197519,6.728,2022-11-04 11:01:29,43.60000000000002,43.60000000000002,0.0,,77.0,4.0,0.0,0.0,30.5,56.0,98.5,291.0,27.5,96.0,17.0,2022,11,4,11,4.87,161.0
244.83,6.919,2,142,50.5073157,-84.819801,6.919,2022-11-04 11:01:30,43.60000000000002,43.60000000000002,0.0,,88.0,5.0,0.0,0.0,29.5,54.0,97.5,396.0,32.0,98.5,17.0,2022,11,4,11,4.87,161.0
252.08,7.221,2,141,50.5072482,-84.8198561,7.221,2022-11-04 11:01:31,43.60000000000002,43.60000000000002,0.0,,91.0,5.0,0.0,0.0,29.0,53.0,98.0,358.0,30.0,96.0,17.0,2022,11,4,11,4.87,161.0
259.3,7.186,2,142,50.5071832,-84.8199081,7.186,2022-11-04 11:01:32,43.39999999999998,43.39999999999998,0.0,,92.0,5.0,0.0,0.0,28.5,55.0,98.0,308.0,28.5,93.5,17.0,2022,11,4,11,4.87,161.0
266.4,7.122,2,140,50.5071144,-84.8199566,7.122,2022-11-04 11:01:33,43.60000000000002,43.60000000000002,0.0,,93.0,6.0,0.0,0.0,27.5,58.0,98.5,302.0,26.5,90.5,17.0,2022,11,4,11,4.87,161.0
273.57,7.271,2,139,50.5070466,-84.8200082,7.271,2022-11-04 11:01:34,43.799999999999955,43.799999999999955,0.0,,94.0,6.0,0.0,0.0,29.0,58.0,98.5,345.0,26.0,90.0,17.0,2022,11,4,11,4.87,161.0
280.94,7.665,2,138,50.5069776,-84.820056,7.665,2022-11-04 11:01:35,43.799999999999955,43.799999999999955,0.0,,97.0,6.0,0.0,0.0,30.0,51.0,97.0,444.0,26.5,93.0,17.0,2022,11,4,11,4.87,161.0
