distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,heart_rate,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,7.072,2,50.5103747,-84.8190123,7.072,2022-11-08 19:25:04,,,,,,,,,,,,,,,,,2022,11,8,19,2.19,313.0
3.68,6.99,2,50.5103938,-84.8190599,6.99,2022-11-08 19:25:05,32.60000000000002,0.0,82.0,100.0,0.0,0.0,32.60000000000002,0.0,76.0,19.0,66.5,151.0,17.0,60.5,,,2022,11,8,19,2.19,313.0
7.65,6.939,2,50.5104143,-84.8191106,6.939,2022-11-08 19:25:06,32.60000000000002,0.0,,101.0,0.0,0.0,32.60000000000002,0.0,78.0,21.0,69.5,148.0,17.5,59.5,,,2022,11,8,19,2.19,313.0
14.58,7.187,2,50.5104502,-84.8191926,7.187,2022-11-08 19:25:07,32.60000000000002,0.0,,101.0,0.0,0.0,32.60000000000002,0.0,80.0,23.0,73.0,146.0,18.0,59.0,55.0,14.0,2022,11,8,19,2.19,313.0
21.91,7.201,2,50.5104865,-84.8192929,7.201,2022-11-08 19:25:08,32.60000000000002,0.0,,97.0,0.0,0.0,32.60000000000002,0.0,82.0,24.0,75.0,178.0,18.5,60.0,62.0,14.0,2022,11,8,19,2.19,313.0
28.96,7.217,2,50.5105175,-84.819381,7.217,2022-11-08 19:25:09,32.39999999999998,0.0,,93.0,0.0,0.0,32.39999999999998,0.0,83.0,23.5,74.0,173.0,19.5,64.0,62.0,14.0,2022,11,8,19,2.19,313.0
36.43,7.39,2,50.5105541,-84.8194817,7.39,2022-11-08 19:25:10,32.39999999999998,0.0,,93.0,0.0,0.0,32.39999999999998,0.0,83.0,23.0,73.5,166.0,20.5,68.0,52.0,14.0,2022,11,8,19,2.19,313.0
43.53,7.257,2,50.5105884,-84.8195762,7.257,2022-11-08 19:25:11,32.39999999999998,0.0,,92.0,0.0,0.0,32.39999999999998,0.0,85.0,23.5,69.5,158.0,20.5,68.5,49.0,14.0,2022,11,8,19,2.19,313.0
50.8,6.541,2,50.510622,-84.8196629,6.541,2022-11-08 19:25:12,32.39999999999998,0.0,,84.0,0.0,0.0,32.39999999999998,0.0,86.0,22.0,64.0,143.0,20.5,68.5,49.0,14.0,2022,11,8,19,2.19,313.0
57.01,6.11,2,50.5106525,-84.81975,6.11,2022-11-08 19:25:13,32.60000000000002,0.0,,62.0,0.0,0.0,32.60000000000002,0.0,86.0,20.5,62.5,126.0,21.0,69.5,48.0,14.0,2022,11,8,19,2.19,313.0
62.86,4.943,2,50.5106818,-84.8198268,4.943,2022-11-08 19:25:14,32.60000000000002,0.0,,40.0,0.0,0.0,32.60000000000002,0.0,85.0,22.5,68.0,108.0,22.0,73.0,52.0,14.0,2022,11,8,19,2.19,313.0
67.53,4.684,2,50.5107099,-84.8198794,4.684,2022-11-08 19:25:15,32.60000000000002,0.0,,19.0,0.0,0.0,32.60000000000002,0.0,87.0,24.5,73.0,91.0,23.0,76.5,62.0,14.0,2022,11,8,19,2.19,313.0
72.3,4.64,2,50.5107558,-84.8199141,4.64,2022-11-08 19:25:16,32.60000000000002,0.0,,0.0,0.0,0.0,32.60000000000002,0.0,87.0,26.5,78.5,0.0,24.0,80.0,73.0,14.0,2022,11,8,19,2.19,313.0
76.59,4.274,2,50.5108,-84.8199208,4.274,2022-11-08 19:25:17,32.60000000000002,0.0,,2.0,0.0,0.0,32.60000000000002,0.0,89.0,28.5,83.5,0.0,25.0,83.5,83.0,14.0,2022,11,8,19,2.19,313.0
80.47,4.151,2,50.5108324,-84.8198915,4.151,2022-11-08 19:25:18,32.60000000000002,0.0,,17.0,1.0,0.0,32.60000000000002,0.0,90.0,30.5,89.0,3.0,26.0,87.0,94.0,14.0,2022,11,8,19,2.19,313.0
84.77,4.39,2,50.5108634,-84.8198467,4.39,2022-11-08 19:25:19,32.39999999999998,0.0,,45.0,1.0,0.0,32.39999999999998,0.0,90.0,32.5,94.0,20.0,27.0,90.5,93.0,14.0,2022,11,8,19,2.19,313.0
89.91,4.918,2,50.5109006,-84.8197815,4.918,2022-11-08 19:25:20,32.39999999999998,0.0,,72.0,1.0,1.0,32.39999999999998,0.12,90.0,34.5,99.5,177.0,28.0,94.0,74.0,14.0,2022,11,8,19,2.19,313.0
94.66,5.062,2,50.5109311,-84.8197293,5.062,2022-11-08 19:25:21,32.39999999999998,0.0,,86.0,1.0,1.0,32.39999999999998,0.06,90.0,33.5,100.0,280.0,28.0,94.5,56.0,14.0,2022,11,8,19,2.19,313.0
99.59,4.87,2,50.5109639,-84.8196724,4.87,2022-11-08 19:25:22,32.39999999999998,0.0,,93.0,2.0,1.0,32.39999999999998,-0.04,90.0,32.0,99.5,363.0,28.0,94.5,48.0,14.0,2022,11,8,19,2.19,313.0
104.77,5.386,2,50.5109943,-84.8196113,5.386,2022-11-08 19:25:23,32.60000000000002,0.0,,98.0,2.0,1.0,32.60000000000002,-0.27,91.0,31.5,99.0,362.0,28.5,94.5,47.0,14.0,2022,11,8,19,2.19,313.0
111.35,6.225,2,50.5110282,-84.8195251,6.225,2022-11-08 19:25:24,32.39999999999998,0.0,,98.0,2.0,1.0,32.39999999999998,-0.24,91.0,31.0,98.0,296.0,29.0,94.5,46.0,14.0,2022,11,8,19,2.19,313.0
117.68,6.841,2,50.5110615,-84.81945,6.841,2022-11-08 19:25:25,32.39999999999998,0.0,,97.0,2.0,1.0,32.39999999999998,0.0,91.0,30.0,97.0,289.0,29.5,94.5,47.0,14.0,2022,11,8,19,2.19,313.0
125.14,7.014,2,50.5110992,-84.8193562,7.014,2022-11-08 19:25:26,32.39999999999998,0.0,,97.0,3.0,1.0,32.39999999999998,0.0,91.0,29.5,96.0,283.0,30.0,94.5,47.0,14.0,2022,11,8,19,2.19,313.0
132.62,7.156,2,50.5111403,-84.8192645,7.156,2022-11-08 19:25:27,32.200000000000045,0.0,,99.0,3.0,1.0,32.200000000000045,0.0,90.0,28.5,95.5,284.0,30.5,94.5,48.0,14.0,2022,11,8,19,2.19,313.0
140.47,7.113,2,50.5111825,-84.819162,7.113,2022-11-08 19:25:28,32.0,0.0,,96.0,3.0,1.0,32.0,-0.4,91.0,28.0,94.0,284.0,30.5,94.0,48.0,14.0,2022,11,8,19,2.19,313.0
147.52,6.932,2,50.5112228,-84.8190731,6.932,2022-11-08 19:25:29,32.0,0.0,,93.0,4.0,2.0,32.0,-0.81,92.0,27.0,92.0,284.0,28.5,90.0,49.0,14.0,2022,11,8,19,2.19,313.0
