altitude,ascent,battery_soc,cadence,calories,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature,timestamp,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,heart_rate,year,month,day,hour,wind_speed,wind_direction
-8.399999999999977,0,70.0,92,0,0,3.63,-8.399999999999977,7.277,2.0,-8.59,50.5095274,-84.8181695,7.277,23,2022-11-10 17:45:21,,,,,,,,2022,11,10,17,4.2,87.0
-8.800000000000011,0,,93,0,0,7.26,-8.800000000000011,7.351,2.0,-8.37,50.5094901,-84.8181914,7.351,23,2022-11-10 17:45:22,18.5,71.0,159.0,13.0,47.0,,,2022,11,10,17,4.2,87.0
-9.199999999999989,0,,95,0,1,16.75,-9.199999999999989,7.378,2.0,-8.1,50.5093984,-84.8182416,7.378,23,2022-11-10 17:45:23,19.5,72.0,190.0,20.5,70.0,,,2022,11,10,17,4.2,87.0
-9.399999999999977,0,,95,0,1,24.24,-9.399999999999977,7.523,2.0,-7.59,50.5093235,-84.8182837,7.523,23,2022-11-10 17:45:24,22.5,78.0,199.0,23.0,77.0,,,2022,11,10,17,4.2,87.0
-9.600000000000023,0,,95,0,2,32.08,-9.600000000000023,7.492,2.0,-6.87,50.5092457,-84.8183215,7.492,23,2022-11-10 17:45:25,24.5,82.5,204.0,23.5,78.5,57.0,,2022,11,10,17,4.2,87.0
-9.800000000000011,0,,95,0,2,39.72,-9.800000000000011,7.427,2.0,-6.09,50.5091688,-84.8183584,7.427,23,2022-11-10 17:45:26,25.5,86.0,203.0,22.5,78.0,52.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,1,2,46.91,-10.0,7.268,2.0,-5.2,50.509095,-84.8183961,7.268,23,2022-11-10 17:45:27,26.0,88.0,196.0,22.0,77.5,50.0,,2022,11,10,17,4.2,87.0
-10.0,0,,94,1,3,54.17,-10.0,7.171,2.0,-4.25,50.5090235,-84.8184386,7.171,23,2022-11-10 17:45:28,24.0,82.0,193.0,23.5,78.0,51.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,94,1,3,61.5,-10.199999999999989,7.261,2.0,-3.39,50.5089515,-84.8184767,7.261,23,2022-11-10 17:45:29,21.5,76.5,195.0,25.0,79.0,51.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,93,1,3,69.8,-10.199999999999989,7.1,2.0,-2.67,50.5088869,-84.8185483,7.1,23,2022-11-10 17:45:30,22.5,77.5,189.0,23.0,77.5,52.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,93,1,3,80.04,-10.199999999999989,7.186,3.0,-2.07,50.5088461,-84.8186821,7.186,23,2022-11-10 17:45:31,23.0,77.0,183.0,21.0,76.0,52.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,93,2,3,88.69,-10.199999999999989,6.949,3.0,-1.6,50.5087753,-84.8187639,6.949,23,2022-11-10 17:45:32,21.5,73.5,174.0,21.0,74.0,53.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,93,2,3,97.33,-10.199999999999989,7.688,3.0,-0.93,50.5087009,-84.8188418,7.688,23,2022-11-10 17:45:33,20.5,74.0,179.0,20.0,67.0,53.0,,2022,11,10,17,4.2,87.0
-10.0,0,,93,2,3,105.93,-10.0,8.763,3.0,0.0,50.5086318,-84.818919,8.763,23,2022-11-10 17:45:34,24.5,85.5,190.0,24.0,78.5,54.0,,2022,11,10,17,4.2,87.0
-10.0,0,,94,2,3,114.9,-10.0,8.842,3.0,0.0,50.5085488,-84.8189864,8.842,23,2022-11-10 17:45:35,22.0,80.0,208.0,25.0,84.0,53.0,,2022,11,10,17,4.2,87.0
-10.0,0,,94,2,3,123.61,-10.0,8.519,3.0,0.0,50.5084641,-84.8190335,8.519,23,2022-11-10 17:45:36,19.5,73.0,202.0,25.0,85.5,52.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,3,3,132.16,-10.0,8.281,3.0,0.0,50.5083801,-84.8190802,8.281,23,2022-11-10 17:45:37,21.0,73.0,197.0,24.5,83.5,52.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,3,3,140.23,-10.0,8.152,3.0,0.0,50.5082983,-84.8191177,8.152,23,2022-11-10 17:45:38,23.5,78.0,192.0,22.5,73.5,51.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,3,3,148.12,-10.0,7.955,3.0,0.0,50.5082183,-84.8191461,7.955,23,2022-11-10 17:45:39,21.0,72.5,187.0,22.5,78.0,50.0,,2022,11,10,17,4.2,87.0
-10.0,0,,96,3,3,156.56,-10.0,8.29,3.0,0.0,50.5081375,-84.8192039,8.29,23,2022-11-10 17:45:40,20.5,73.5,186.0,23.0,83.0,54.0,,2022,11,10,17,4.2,87.0
-10.0,0,,96,3,3,165.16,-10.0,8.54,3.0,0.0,50.5080554,-84.8192646,8.54,23,2022-11-10 17:45:41,22.0,81.0,192.0,23.0,82.5,57.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,3,3,172.41,-10.0,7.556,3.0,0.0,50.5079862,-84.8193115,7.556,23,2022-11-10 17:45:42,21.0,73.0,179.0,23.0,81.0,58.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,4,3,178.49,-10.0,6.454,3.0,0.0,50.5079258,-84.8193467,6.454,23,2022-11-10 17:45:43,20.0,71.5,162.0,21.0,75.0,60.0,,2022,11,10,17,4.2,87.0
-10.0,0,,93,4,3,185.74,-10.0,7.066,3.0,0.0,50.5078596,-84.8193986,7.066,23,2022-11-10 17:45:44,19.0,70.0,166.0,19.5,68.5,59.0,,2022,11,10,17,4.2,87.0
-10.199999999999989,0,,93,4,3,193.2,-10.199999999999989,7.401,3.0,0.0,50.5077875,-84.8194428,7.401,23,2022-11-10 17:45:45,19.5,71.0,179.0,18.5,65.5,59.0,,2022,11,10,17,4.2,87.0
-10.0,0,,93,4,3,200.41,-10.0,7.357,3.0,0.0,50.5077171,-84.8194837,7.357,23,2022-11-10 17:45:46,20.5,75.5,185.0,19.5,67.0,58.0,,2022,11,10,17,4.2,87.0
-10.0,0,,93,4,3,207.67,-10.0,7.324,3.0,0.0,50.5076458,-84.8195234,7.324,23,2022-11-10 17:45:47,21.0,82.0,191.0,23.5,74.5,58.0,,2022,11,10,17,4.2,87.0
-10.0,0,,95,5,3,214.99,-10.0,7.281,3.0,0.0,50.5075725,-84.8195627,7.281,23,2022-11-10 17:45:48,26.5,92.0,200.0,22.5,75.5,57.0,,2022,11,10,17,4.2,87.0
-10.0,0,,94,5,3,222.26,-10.0,7.272,3.0,0.0,50.5075025,-84.8196135,7.272,23,2022-11-10 17:45:49,27.5,93.0,218.0,22.5,76.0,57.0,,2022,11,10,17,4.2,87.0
-10.0,0,,93,5,3,229.81,-10.0,7.482,3.0,0.0,50.5074375,-84.8196745,7.482,23,2022-11-10 17:45:50,26.5,91.0,222.0,23.0,77.0,56.0,,2022,11,10,17,4.2,87.0
-10.0,0,,91,5,3,237.1,-10.0,7.284,3.0,0.0,50.5073697,-84.8197287,7.284,23,2022-11-10 17:45:51,26.0,88.5,223.0,23.5,78.0,55.0,,2022,11,10,17,4.2,87.0
-10.0,0,,89,5,3,244.14,-10.0,6.783,3.0,0.0,50.5073018,-84.8197804,6.783,23,2022-11-10 17:45:52,25.0,86.5,225.0,23.5,79.0,54.0,,2022,11,10,17,4.2,87.0
-9.600000000000023,0,,87,6,3,251.23,-9.600000000000023,6.645,2.0,0.0,50.5072342,-84.8198264,6.645,23,2022-11-10 17:45:53,24.0,84.5,204.0,24.0,80.0,52.0,,2022,11,10,17,4.2,87.0
-9.600000000000023,0,,89,6,3,258.09,-9.600000000000023,6.561,2.0,0.0,50.5071703,-84.8198747,6.561,23,2022-11-10 17:45:54,22.5,77.5,196.0,24.0,80.0,52.0,,2022,11,10,17,4.2,87.0
-9.800000000000011,0,,93,6,3,264.93,-9.800000000000011,6.162,2.0,0.0,50.5071067,-84.8199239,6.162,23,2022-11-10 17:45:55,22.0,77.0,215.0,24.5,80.5,53.0,,2022,11,10,17,4.2,87.0
-9.600000000000023,0,,91,6,3,271.32,-9.600000000000023,5.873,2.0,0.0,50.5070448,-84.8199626,5.873,23,2022-11-10 17:45:56,23.0,83.5,234.0,25.0,81.5,53.0,,2022,11,10,17,4.2,87.0
-9.399999999999977,0,,90,7,3,277.69,-9.399999999999977,5.959,2.0,0.0,50.5069853,-84.8200084,5.959,23,2022-11-10 17:45:57,24.0,90.0,237.0,26.0,82.5,54.0,,2022,11,10,17,4.2,87.0
-9.199999999999989,0,,87,7,3,284.16,-9.199999999999989,5.92,2.0,0.0,50.5069257,-84.8200543,5.92,23,2022-11-10 17:45:58,24.0,90.5,233.0,26.5,84.5,54.0,,2022,11,10,17,4.2,87.0
-8.800000000000011,0,,87,7,3,290.47,-8.800000000000011,5.959,2.0,0.0,50.5068669,-84.8200994,5.959,23,2022-11-10 17:45:59,24.5,89.0,229.0,27.0,86.0,54.0,,2022,11,10,17,4.2,87.0
-8.600000000000023,0,,87,7,3,296.55,-8.600000000000023,5.866,2.0,0.0,50.5068074,-84.8201393,5.866,23,2022-11-10 17:46:00,24.5,87.5,227.0,27.5,87.5,54.0,,2022,11,10,17,4.2,87.0
-8.600000000000023,0,,88,7,3,302.95,-8.600000000000023,5.764,2.0,0.66,50.5067435,-84.8201642,5.764,23,2022-11-10 17:46:01,25.0,86.0,222.0,28.0,89.5,53.0,,2022,11,10,17,4.2,87.0
-8.399999999999977,1,,90,8,3,309.28,-8.399999999999977,5.696,2.0,2.64,50.506679,-84.8201879,5.696,23,2022-11-10 17:46:02,25.0,85.0,221.0,28.5,91.0,52.0,,2022,11,10,17,4.2,87.0
-8.199999999999989,1,,91,8,3,315.25,-8.199999999999989,5.691,2.0,2.83,50.5066187,-84.8202242,5.691,23,2022-11-10 17:46:03,25.0,84.0,227.0,28.5,91.0,52.0,,2022,11,10,17,4.2,87.0
-8.199999999999989,1,,61,8,3,320.88,-8.199999999999989,5.694,2.0,3.02,50.5065662,-84.8202607,5.694,23,2022-11-10 17:46:04,24.5,83.0,222.0,28.5,91.0,30.0,,2022,11,10,17,4.2,87.0
-8.0,1,,45,8,3,326.41,-8.0,5.608,2.0,2.91,50.5065145,-84.8202971,5.608,23,2022-11-10 17:46:05,24.5,82.0,180.0,28.5,90.5,51.0,,2022,11,10,17,4.2,87.0
-7.800000000000011,1,,66,8,3,331.75,-7.800000000000011,5.416,2.0,2.55,50.5064633,-84.8203334,5.416,23,2022-11-10 17:46:06,24.0,81.0,122.0,28.5,90.0,91.0,,2022,11,10,17,4.2,87.0
-7.600000000000023,1,,82,9,3,337.3,-7.600000000000023,5.53,2.0,2.27,50.5064085,-84.8203725,5.53,23,2022-11-10 17:46:07,24.0,80.0,178.0,29.0,90.0,60.0,,2022,11,10,17,4.2,87.0
-7.399999999999977,2,,86,9,3,343.12,-7.399999999999977,5.76,2.0,2.18,50.5063541,-84.8204179,5.76,23,2022-11-10 17:46:08,23.5,79.0,332.0,29.0,89.5,56.0,,2022,11,10,17,4.2,87.0
