timestamp,altitude,ascent,battery_soc,cadence,calories,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,heart_rate,left_pedal_smoothness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,left_right_balance,left_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
2022-11-10 19:12:59,12.600000000000023,0.0,57.0,24.0,0.0,0.0,0.0,12.600000000000023,0.0,2.0,0.0,144.0,0.0,50.5042125,-84.8207599,13.0,18.0,66.5,0.0,,,,2022,11,10,19,3.47,78.0
2022-11-10 19:13:00,12.600000000000023,0.0,,19.0,0.0,0.0,0.0,12.600000000000023,0.0,2.0,0.0,143.0,9.0,50.5042125,-84.8207599,25.0,22.0,76.5,0.0,54.0,,,2022,11,10,19,3.47,78.0
2022-11-10 19:13:01,12.600000000000023,0.0,,13.0,0.0,0.0,0.0,12.600000000000023,0.0,3.0,0.0,144.0,18.0,50.5042125,-84.8207599,19.0,26.0,86.0,0.0,46.0,74.0,,2022,11,10,19,3.47,78.0
2022-11-10 19:13:02,12.799999999999955,0.0,,8.0,0.0,0.0,0.0,12.799999999999955,0.0,3.0,0.0,143.0,24.5,50.5042125,-84.8207599,13.0,29.0,93.5,0.0,38.0,72.0,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:17,12.799999999999955,0.0,,32.0,0.0,0.0,0.17,12.799999999999955,2.973,2.0,0.0,140.0,19.5,50.5043689,-84.820513,41.0,13.5,45.0,2.973,38.0,79.5,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:18,12.799999999999955,0.0,,31.0,0.0,0.0,2.71,12.799999999999955,2.764,2.0,0.0,140.0,16.5,50.5043946,-84.8204959,44.0,22.5,77.0,2.764,42.0,54.0,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:19,13.0,0.0,,27.0,0.0,0.0,4.83,13.0,2.174,2.0,0.0,140.0,17.5,50.5044182,-84.8204783,39.0,27.5,91.0,2.174,32.0,52.0,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:20,13.0,0.0,,23.0,0.0,0.0,6.38,13.0,1.709,2.0,0.0,140.0,21.0,50.5044321,-84.8204874,34.0,30.0,93.0,1.709,20.0,63.0,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:21,13.0,0.0,,19.0,0.0,0.0,8.58,13.0,2.073,2.0,0.0,140.0,25.0,50.5044509,-84.8204977,30.0,32.5,95.0,2.073,9.0,74.0,19.0,2022,11,10,19,3.47,78.0
2022-11-10 19:13:22,13.0,0.0,,41.0,0.0,0.0,11.48,13.0,2.7,2.0,0.0,139.0,28.5,50.5044783,-84.8205257,69.0,35.0,97.0,2.7,5.0,85.0,19.0,2022,11,10,19,3.47,78.0
