cadence,calories,power,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,heart_rate,year,month,day,hour,wind_speed,wind_direction
92,0,142,2022-11-12 19:44:21,4.199999999999989,0.0,96.0,0.0,0.0,4.199999999999989,5.312,3.0,0.0,18.0,56.0,67.5,50.51027,-84.8182477,19.5,71.5,5.312,,,2022,11,12,19,6.14,78.0
94,0,145,2022-11-12 19:44:22,4.199999999999989,0.0,,0.0,4.83,4.199999999999989,5.718,3.0,0.0,16.0,56.0,63.5,50.510296,-84.8183146,18.5,68.5,5.718,23.0,,2022,11,12,19,6.14,78.0
94,0,151,2022-11-12 19:44:23,4.199999999999989,0.0,,0.0,11.23,4.199999999999989,5.918,3.0,0.0,14.0,56.0,59.5,50.5103263,-84.8183947,17.5,65.5,5.918,23.0,,2022,11,12,19,6.14,78.0
91,0,159,2022-11-12 19:44:24,4.0,0.0,,0.0,17.35,4.0,6.005,3.0,0.0,14.5,56.0,61.5,50.510354,-84.818477,18.5,67.5,6.005,23.0,,2022,11,12,19,6.14,78.0
89,0,175,2022-11-12 19:44:25,4.0,0.0,,0.0,23.97,4.0,6.483,3.0,0.0,16.0,56.0,64.0,50.5103852,-84.8185583,19.5,70.5,6.483,23.0,,2022,11,12,19,6.14,78.0
85,0,191,2022-11-12 19:44:26,4.0,0.0,,0.0,30.64,4.0,6.691,3.0,0.0,17.0,49.0,66.5,50.5104166,-84.8186471,21.0,73.5,6.691,23.0,,2022,11,12,19,6.14,78.0
86,1,206,2022-11-12 19:44:27,4.0,0.0,,0.0,37.31,4.0,6.688,3.0,0.0,18.5,43.0,69.5,50.5104482,-84.8187372,22.0,76.5,6.688,23.0,,2022,11,12,19,6.14,78.0
88,1,212,2022-11-12 19:44:28,3.8000000000000114,0.0,,0.0,44.37,3.8000000000000114,6.882,3.0,0.0,19.5,49.0,72.0,50.5104849,-84.8188223,23.5,79.5,6.882,23.0,,2022,11,12,19,6.14,78.0
90,1,213,2022-11-12 19:44:29,3.6000000000000227,0.0,,0.0,51.21,3.6000000000000227,6.862,3.0,0.0,21.0,52.0,75.0,50.5105173,-84.8189127,24.5,82.5,6.862,23.0,,2022,11,12,19,6.14,78.0
92,1,221,2022-11-12 19:44:30,3.6000000000000227,0.0,,0.0,59.05,3.6000000000000227,7.553,3.0,0.0,22.5,53.0,81.5,50.5105574,-84.8190118,23.5,81.0,7.553,23.0,,2022,11,12,19,6.14,78.0
96,2,267,2022-11-12 19:44:31,3.1999999999999886,0.0,,0.0,67.05,3.1999999999999886,7.806,3.0,0.0,24.0,53.0,87.5,50.5105941,-84.8191197,22.5,79.5,7.806,23.0,,2022,11,12,19,6.14,78.0
99,2,294,2022-11-12 19:44:32,3.1999999999999886,0.0,,0.0,74.92,3.1999999999999886,7.9,3.0,-0.39,23.5,52.0,88.5,50.5106337,-84.8192185,24.0,83.5,7.9,23.0,,2022,11,12,19,6.14,78.0
100,2,277,2022-11-12 19:44:33,3.1999999999999886,0.0,,1.0,83.19,3.1999999999999886,8.063,3.0,-1.68,22.5,50.0,89.0,50.5106708,-84.8193272,26.0,87.0,8.063,23.0,,2022,11,12,19,6.14,78.0
100,2,263,2022-11-12 19:44:34,3.0,0.0,,1.0,91.29,3.0,7.899,3.0,-1.71,22.5,54.0,87.0,50.5107077,-84.8194296,27.5,89.0,7.899,23.0,,2022,11,12,19,6.14,78.0
98,3,251,2022-11-12 19:44:35,3.0,0.0,,1.0,98.76,3.0,7.517,3.0,-1.63,22.5,54.0,83.0,50.5107475,-84.819528,29.0,90.0,7.517,23.0,,2022,11,12,19,6.14,78.0
71,3,240,2022-11-12 19:44:36,3.1999999999999886,0.0,,1.0,106.06,3.1999999999999886,7.174,3.0,-1.13,22.5,51.0,79.0,50.5107851,-84.8196218,30.5,90.5,7.174,23.0,,2022,11,12,19,6.14,78.0
44,3,229,2022-11-12 19:44:37,3.3999999999999773,0.0,,1.0,112.94,3.3999999999999773,6.757,3.0,0.0,21.5,49.0,76.0,50.5108382,-84.8196888,29.0,88.0,6.757,23.0,,2022,11,12,19,6.14,78.0
17,3,218,2022-11-12 19:44:38,3.6000000000000227,0.0,,1.0,119.09,3.6000000000000227,6.222,3.0,0.0,20.5,48.0,72.5,50.5108865,-84.8197497,28.0,86.0,6.222,23.0,,2022,11,12,19,6.14,78.0
0,3,0,2022-11-12 19:44:39,3.8000000000000114,0.0,,1.0,123.89,3.8000000000000114,5.331,3.0,0.13,19.5,46.0,69.5,50.5109303,-84.8197854,26.5,83.5,5.331,23.0,,2022,11,12,19,6.14,78.0
0,3,0,2022-11-12 19:44:40,4.0,0.0,,1.0,128.58,4.0,3.685,3.0,0.69,18.5,45.0,66.0,50.5109719,-84.8198193,25.5,81.5,3.685,23.0,,2022,11,12,19,6.14,78.0
