distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
2.48,2.424,11,50.3894388,-84.4857855,2.424,2022-11-26 20:59:14,,,,,,,,,,,,,,,,2022,11,26,20,2.61,184.0
4.97,4.849,11,50.3894852,-84.4858184,4.849,2022-11-26 20:59:15,32.0,83.0,0.0,27.0,84.0,265.0,20.5,84.0,,,,,,,,2022,11,26,20,2.61,184.0
7.45,7.273,10,50.3895315,-84.4858513,7.273,2022-11-26 20:59:16,,83.0,0.0,26.0,85.0,232.0,21.0,80.5,46.0,,,,,,,2022,11,26,20,2.61,184.0
15.18,7.391,10,50.3895996,-84.4859089,7.391,2022-11-26 20:59:17,,85.0,0.0,25.0,86.0,208.0,22.0,77.0,51.0,12.0,,,,,,2022,11,26,20,2.61,184.0
33.52,7.35,10,50.3897757,-84.4860282,7.35,2022-11-26 20:59:18,,88.0,0.0,26.5,90.0,206.0,22.0,76.0,56.0,12.0,,,,,,2022,11,26,20,2.61,184.0
51.87,7.309,9,50.3899517,-84.4861475,7.309,2022-11-26 20:59:19,,90.0,0.0,25.5,89.0,206.0,21.5,75.0,56.0,12.0,,,,,,2022,11,26,20,2.61,184.0
70.21,7.268,9,50.3901278,-84.4862669,7.268,2022-11-26 20:59:20,,90.0,1.0,23.5,85.5,214.0,21.0,74.0,55.0,12.0,,,,,,2022,11,26,20,2.61,184.0
88.56,7.227,8,50.3903038,-84.4863862,7.227,2022-11-26 20:59:21,,90.0,1.0,24.5,90.0,231.0,21.0,74.0,55.0,12.0,,,,,,2022,11,26,20,2.61,184.0
106.9,7.187,8,50.3904799,-84.4865055,7.187,2022-11-26 20:59:22,,89.0,1.0,24.0,93.0,235.0,23.5,79.0,57.0,12.0,,,,,,2022,11,26,20,2.61,184.0
125.25,7.146,8,50.390656,-84.4866248,7.146,2022-11-26 20:59:23,,89.0,1.0,24.0,91.0,241.0,24.0,81.5,56.0,12.0,,,,,,2022,11,26,20,2.61,184.0
143.6,7.105,7,50.390832,-84.4867442,7.105,2022-11-26 20:59:24,,88.0,1.0,23.5,86.0,236.0,23.0,80.5,56.0,12.0,,,,,,2022,11,26,20,2.61,184.0
161.94,7.064,7,50.3910081,-84.4868635,7.064,2022-11-26 20:59:25,,88.0,2.0,23.5,82.0,208.0,22.0,76.5,55.0,12.0,,,,,,2022,11,26,20,2.61,184.0
180.29,7.023,6,50.3911842,-84.4869828,7.023,2022-11-26 20:59:26,,85.0,2.0,20.0,75.5,187.0,21.0,75.5,54.0,12.0,,,,,,2022,11,26,20,2.61,184.0
198.63,6.982,6,50.3913602,-84.4871021,6.982,2022-11-26 20:59:27,,74.0,2.0,16.5,68.5,113.0,21.0,75.5,51.0,12.0,,,,,,2022,11,26,20,2.61,184.0
216.98,6.942,5,50.3915363,-84.4872214,6.942,2022-11-26 20:59:28,,56.0,2.0,14.0,66.5,83.0,19.5,76.0,47.0,12.0,,,,,,2022,11,26,20,2.61,184.0
235.33,6.901,5,50.3917124,-84.4873408,6.901,2022-11-26 20:59:29,,39.0,2.0,12.0,69.0,54.0,16.5,77.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
253.67,6.86,5,50.3918884,-84.4874601,6.86,2022-11-26 20:59:30,,21.0,2.0,10.0,71.0,24.0,14.0,78.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
272.02,6.819,4,50.3920645,-84.4875794,6.819,2022-11-26 20:59:31,,14.0,2.0,8.0,73.5,0.0,11.0,79.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
280.4,6.999,4,50.3921098,-84.487683,6.999,2022-11-26 20:59:32,,9.0,2.0,6.0,76.0,0.0,8.5,81.0,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
287.63,6.294,3,50.3921508,-84.4877739,6.294,2022-11-26 20:59:33,,5.0,2.0,4.0,78.5,0.0,5.5,82.0,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
293.62,5.652,3,50.392189,-84.4878418,5.652,2022-11-26 20:59:34,,0.0,2.0,2.0,81.0,0.0,2.5,83.0,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
300.22,5.269,3,50.3922516,-84.4878825,5.269,2022-11-26 20:59:35,,0.0,2.0,0.5,83.5,0.0,0.0,84.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
306.51,5.369,3,50.3923197,-84.4878819,5.369,2022-11-26 20:59:36,,0.0,2.0,5.5,86.0,0.0,0.0,85.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
313.31,6.743,3,50.3923877,-84.4878364,6.743,2022-11-26 20:59:37,,7.0,2.0,10.5,88.5,23.0,0.0,86.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
321.15,7.503,3,50.3924558,-84.4877725,7.503,2022-11-26 20:59:38,,87.0,2.0,15.5,91.0,105.0,0.0,87.5,46.0,12.0,,,,,,2022,11,26,20,2.61,184.0
329.04,8.02,3,50.3925062,-84.4876809,8.02,2022-11-26 20:59:39,,86.0,2.0,20.0,92.5,245.0,6.5,89.0,47.0,12.0,,,,,,2022,11,26,20,2.61,184.0
338.0,8.772,3,50.3925607,-84.4875717,8.772,2022-11-26 20:59:40,,88.0,3.0,24.0,92.5,305.0,26.0,90.0,48.0,12.0,,,,,,2022,11,26,20,2.61,184.0
347.18,9.094,3,50.3926155,-84.4874625,9.094,2022-11-26 20:59:41,,92.0,3.0,20.0,83.5,304.0,26.5,91.5,49.0,12.0,,,,,,2022,11,26,20,2.61,184.0
356.92,9.504,3,50.3926794,-84.4873531,9.504,2022-11-26 20:59:42,,95.0,3.0,16.0,75.0,263.0,27.0,93.5,44.0,12.0,,,,,,2022,11,26,20,2.61,184.0
366.99,9.973,3,50.392752,-84.4872442,9.973,2022-11-26 20:59:43,,93.0,4.0,14.5,72.0,234.0,25.5,87.5,41.0,12.0,,,,,,2022,11,26,20,2.61,184.0
377.11,9.974,3,50.3928249,-84.4871348,9.974,2022-11-26 20:59:44,,87.0,4.0,16.0,74.0,224.0,22.5,78.5,48.0,12.0,,,,,,2022,11,26,20,2.61,184.0
387.26,10.332,3,50.3928931,-84.4870256,10.332,2022-11-26 20:59:45,,91.0,4.0,21.5,76.0,212.0,21.0,74.0,55.0,12.0,,,,,,2022,11,26,20,2.61,184.0
