altitude,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,speed,temperature,timestamp,unknown_88,accumulated_power,activity_type,cadence,combined_pedal_smoothness,fractional_cadence,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,stance_time,stance_time_balance,stance_time_percent,step_length,time_from_course,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_90,year,month,day,hour,wind_speed,wind_direction
3785.8,0.0,3785.8,2.501,102,48.4005543,-133.2126257,2.501,24,2022-12-20 17:34:44,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3784.0,0.0,3784.0,1.006,101,48.4005926,-133.2126824,1.006,24,2022-12-20 17:35:01,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3783.3999999999996,2.98,3783.3999999999996,1.006,98,48.4006145,-133.2126789,1.006,24,2022-12-20 17:35:03,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3782.8,7.53,3782.8,1.059,101,48.4006595,-133.2127189,1.059,24,2022-12-20 17:35:05,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3781.0,12.88,3781.0,2.148,101,48.4007105,-133.2127525,2.148,24,2022-12-20 17:35:07,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3779.6000000000004,14.72,3779.6000000000004,2.148,101,48.4007263,-133.2127607,2.148,24,2022-12-20 17:35:08,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3778.6000000000004,15.95,3778.6000000000004,2.148,101,48.400732,-133.2127701,2.148,24,2022-12-20 17:35:09,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3777.0,21.01,3777.0,2.129,101,48.4007725,-133.2128078,2.129,24,2022-12-20 17:35:11,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3776.2,27.4,3776.2,2.418,102,48.4008025,-133.2128889,2.418,24,2022-12-20 17:35:13,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3775.8,29.48,3775.8,2.418,101,48.4008207,-133.2129061,2.418,24,2022-12-20 17:35:14,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3774.6000000000004,33.06,3774.6000000000004,1.992,100,48.4008578,-133.2129032,1.992,24,2022-12-20 17:35:16,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3773.3999999999996,36.46,3773.3999999999996,1.816,100,48.4008892,-133.2128866,1.816,24,2022-12-20 17:35:18,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3772.0,41.48,3772.0,1.79,99,48.4009405,-133.2128857,1.79,24,2022-12-20 17:35:21,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3770.8,45.53,3770.8,1.79,100,48.4009794,-133.2128624,1.79,24,2022-12-20 17:35:23,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3769.8,47.89,3769.8,1.83,100,48.4010026,-133.2128527,1.83,24,2022-12-20 17:35:24,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3768.8,49.68,3768.8,2.035,100,48.401015,-133.2128383,2.035,24,2022-12-20 17:35:25,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3767.8,51.62,3767.8,2.035,100,48.4010284,-133.2128225,2.035,24,2022-12-20 17:35:26,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3766.8,53.88,3766.8,1.968,100,48.4010499,-133.2128162,1.968,24,2022-12-20 17:35:27,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3765.8,55.86,3765.8,1.968,99,48.401069,-133.2128162,1.968,24,2022-12-20 17:35:28,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3764.3999999999996,58.54,3764.3999999999996,1.968,99,48.4010923,-133.2127996,1.968,24,2022-12-20 17:35:29,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3762.8,60.34,3762.8,1.847,99,48.4011034,-133.2127863,1.847,24,2022-12-20 17:35:30,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3761.8,62.04,3761.8,1.813,98,48.4011159,-133.2127792,1.813,24,2022-12-20 17:35:31,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3760.6000000000004,65.14,3760.6000000000004,1.485,96,48.4011393,-133.2127629,1.485,24,2022-12-20 17:35:34,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3760.3999999999996,66.22,3760.3999999999996,1.485,96,48.4011509,-133.2127647,1.485,24,2022-12-20 17:35:35,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3759.6000000000004,69.45,3759.6000000000004,1.558,96,48.4011809,-133.2127903,1.558,24,2022-12-20 17:35:37,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3758.3999999999996,72.17,3758.3999999999996,1.6,96,48.4012042,-133.2128129,1.6,24,2022-12-20 17:35:38,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3757.3999999999996,76.02,3757.3999999999996,1.767,94,48.4012426,-133.2128269,1.767,24,2022-12-20 17:35:39,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3756.6000000000004,77.1,3756.6000000000004,1.767,96,48.4012554,-133.2128247,1.767,24,2022-12-20 17:35:40,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3755.8,78.53,3755.8,1.6,97,48.4012685,-133.2128151,1.6,24,2022-12-20 17:35:41,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3754.8,79.17,3754.8,1.461,96,48.4012699,-133.2128103,1.461,24,2022-12-20 17:35:42,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3753.8,79.8,3753.8,1.281,98,48.4012729,-133.2128094,1.281,24,2022-12-20 17:35:43,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3753.2,80.51,3753.2,0.89,97,48.4012733,-133.2128039,0.89,24,2022-12-20 17:35:44,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3752.6000000000004,82.94,3752.6000000000004,0.89,97,48.4012916,-133.2127793,0.89,24,2022-12-20 17:35:46,100,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3751.8,86.27,3751.8,1.122,101,48.4013234,-133.2127644,1.122,24,2022-12-20 17:35:49,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3751.3999999999996,87.4,3751.3999999999996,1.122,102,48.4013346,-133.2127601,1.122,24,2022-12-20 17:35:50,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3751.0,88.84,3751.0,1.058,103,48.401349,-133.2127552,1.058,24,2022-12-20 17:35:51,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3750.8,89.71,3750.8,0.915,103,48.4013568,-133.2127522,0.915,24,2022-12-20 17:35:52,300,,,,,,,,"(None, None)","(None, None)",,,,,,"(None, None)","(None, None)",,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3750.2,96.56,3750.2,0.568,103,48.4014372,-133.2127408,0.568,24,2022-12-20 17:36:00,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3749.6000000000004,104.35,3749.6000000000004,1.047,104,48.4014899,-133.2128324,1.047,24,2022-12-20 17:36:04,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3748.6000000000004,112.73,3748.6000000000004,3.782,103,48.4015341,-133.2129387,3.782,24,2022-12-20 17:36:06,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3747.6000000000004,116.07,3747.6000000000004,3.782,104,48.4015478,-133.2129785,3.782,24,2022-12-20 17:36:08,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3747.3999999999996,117.08,3747.3999999999996,1.732,102,48.4015522,-133.21299,1.732,24,2022-12-20 17:36:09,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3747.2,117.62,3747.2,0.364,103,48.401564,-133.2129975,0.364,24,2022-12-20 17:36:12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3744.8,117.62,3744.8,3.53,102,48.4016969,-133.2132133,3.53,24,2022-12-20 17:36:21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3744.0,125.3,3744.0,3.53,103,48.4017734,-133.2132473,3.53,24,2022-12-20 17:36:23,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3743.6000000000004,127.77,3743.6000000000004,2.865,103,48.4017998,-133.2132412,2.865,24,2022-12-20 17:36:24,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3743.0,128.55,3743.0,2.16,103,48.401806,-133.213238,2.16,24,2022-12-20 17:36:25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3742.2,130.07,3742.2,1.118,105,48.4017881,-133.2132421,1.118,24,2022-12-20 17:36:27,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3742.0,130.18,3742.0,0.559,104,48.4017923,-133.2132423,0.559,24,2022-12-20 17:36:28,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3741.6000000000004,130.96,3741.6000000000004,0.559,101,48.4017851,-133.2132447,0.559,23,2022-12-20 17:36:30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3741.2,132.2,3741.2,0.42,102,48.4017901,-133.2132281,0.42,23,2022-12-20 17:36:35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
3739.6000000000004,132.2,3739.6000000000004,1.603,99,48.4018129,-133.2133248,1.603,23,2022-12-20 17:36:40,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,12,20,17,10.09,39.0
