distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_right_balance,power,right_pedal_smoothness,right_torque_effectiveness,left_torque_effectiveness,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0.0,5.029,3,50.5394699,-84.8216883,5.029,2023-01-19 23:51:53,,,,,,,,,,,,,,,,2023,1,19,23,3.96,43.0
3.23,4.642,3,50.539434,-84.8216948,4.642,2023-01-19 23:51:54,30.0,39.0,0.0,12.5,16.0,82.0,14.5,52.0,,,,,,,,2023,1,19,23,3.96,43.0
7.23,4.158,3,50.5393915,-84.8217037,4.158,2023-01-19 23:51:55,,48.0,0.0,24.5,32.0,86.0,14.5,52.0,85.0,,,,,,,2023,1,19,23,3.96,43.0
10.86,3.699,3,50.5393526,-84.8217131,3.699,2023-01-19 23:51:56,,57.0,0.0,23.5,47.0,90.0,23.0,76.5,81.0,,,,,,,2023,1,19,23,3.96,43.0
13.01,2.765,3,50.5393296,-84.8217156,2.765,2023-01-19 23:51:57,,66.0,0.0,21.5,48.0,94.0,24.5,80.0,75.0,16.0,,,,,,2023,1,19,23,3.96,43.0
14.13,1.768,3,50.5393211,-84.8217221,1.768,2023-01-19 23:51:58,,74.0,0.0,19.5,48.0,98.0,21.0,70.5,67.5,15.0,,,,,,2023,1,19,23,3.96,43.0
16.6,1.895,3,50.5393031,-84.8217513,1.895,2023-01-19 23:51:59,,73.0,0.0,18.0,50.0,121.0,18.0,61.0,60.5,15.0,,,,,,2023,1,19,23,3.96,43.0
19.34,2.572,3,50.539277,-84.8217611,2.572,2023-01-19 23:52:00,,71.0,0.0,16.0,51.0,105.0,15.0,51.5,53.0,15.0,,,,,,2023,1,19,23,3.96,43.0
22.92,3.032,3,50.5392372,-84.8217741,3.032,2023-01-19 23:52:01,,69.0,0.0,14.5,47.0,82.0,16.5,55.0,49.0,15.0,,,,,,2023,1,19,23,3.96,43.0
27.19,3.516,3,50.5391948,-84.8217989,3.516,2023-01-19 23:52:02,,73.0,0.0,21.5,60.0,143.0,17.0,57.5,71.5,15.0,,,,,,2023,1,19,23,3.96,43.0
30.85,3.941,3,50.5391568,-84.8218066,3.941,2023-01-19 23:52:03,,82.0,1.0,28.0,48.0,270.0,20.5,69.0,90.0,15.0,,,,,,2023,1,19,23,3.96,43.0
34.99,4.4,3,50.5391137,-84.8217934,4.4,2023-01-19 23:52:04,,86.0,1.0,27.5,38.0,298.0,28.0,90.5,84.5,15.0,55.200000000000045,0.0,0.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
39.6,4.863,3,50.5390682,-84.8217686,4.863,2023-01-19 23:52:05,,95.0,1.0,28.0,45.0,300.0,28.0,90.5,86.0,15.0,55.200000000000045,0.0,0.0,55.200000000000045,0.0,2023,1,19,23,3.96,43.0
44.18,4.917,3,50.5390293,-84.8217281,4.917,2023-01-19 23:52:06,,73.0,2.0,28.0,28.0,244.0,28.0,90.5,87.0,15.0,55.0,0.0,0.0,55.0,0.0,2023,1,19,23,3.96,43.0
48.62,4.556,3,50.5390061,-84.8216758,4.556,2023-01-19 23:52:07,,73.0,2.0,28.0,46.0,162.0,28.0,90.5,88.0,15.0,55.0,0.0,0.0,55.0,0.0,2023,1,19,23,3.96,43.0
53.13,4.896,3,50.5389816,-84.8216154,4.896,2023-01-19 23:52:08,,81.0,2.0,28.5,58.0,184.0,28.0,90.0,89.5,15.0,55.0,0.0,0.0,55.0,0.0,2023,1,19,23,3.96,43.0
