distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,calories,heart_rate,temperature,cadence,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
0.0,4.115,4,49.9034658,-85.1992849,4.115,2023-01-21 01:30:18,,,,,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
3.57,4.124,4,49.9034411,-85.1993219,4.124,2023-01-21 01:30:19,16.0,0.0,93.0,,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
7.13,4.132,4,49.9034165,-85.1993589,4.132,2023-01-21 01:30:20,,0.0,94.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
10.46,3.963,4,49.9033902,-85.1993948,3.963,2023-01-21 01:30:21,,0.0,95.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
13.63,3.481,4,49.9033626,-85.1994245,3.481,2023-01-21 01:30:22,,0.0,96.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
16.63,3.559,4,49.9033317,-85.1994305,3.559,2023-01-21 01:30:23,,0.0,95.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
18.99,3.138,4,49.9033074,-85.1994375,3.138,2023-01-21 01:30:24,,0.0,95.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
20.88,2.461,4,49.9032879,-85.1994326,2.461,2023-01-21 01:30:25,,0.0,93.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
23.03,2.724,4,49.9032662,-85.1994235,2.724,2023-01-21 01:30:26,,0.0,96.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
25.26,2.811,4,49.9032433,-85.1994143,2.811,2023-01-21 01:30:27,,0.0,96.0,18.0,,,,,,,,,,,,,2023,1,21,1,2.68,207.0
27.36,2.297,4,49.9032205,-85.1994052,2.297,2023-01-21 01:30:28,,0.0,97.0,18.0,0.0,22.5,67.5,0.0,16.0,52.5,,,,,,,2023,1,21,1,2.68,207.0
29.1,1.759,4,49.9032015,-85.1994032,1.759,2023-01-21 01:30:29,,0.0,98.0,18.0,0.0,23.0,68.5,0.0,14.5,48.5,,,,,,,2023,1,21,1,2.68,207.0
30.42,1.324,4,49.9031905,-85.19941,1.324,2023-01-21 01:30:30,,0.0,97.0,18.0,0.0,23.0,69.5,0.0,13.0,44.5,,,,,,,2023,1,21,1,2.68,207.0
31.18,0.895,4,49.9031847,-85.1994193,0.895,2023-01-21 01:30:31,,0.0,96.0,18.0,0.0,23.0,70.5,0.0,12.0,40.0,,,,,,,2023,1,21,1,2.68,207.0
32.18,0.995,4,49.9031943,-85.1994214,0.995,2023-01-21 01:30:32,,0.0,96.0,18.0,0.0,23.0,72.0,0.0,10.5,36.0,,,,,,,2023,1,21,1,2.68,207.0
32.78,0.96,4,49.9031973,-85.1994145,0.96,2023-01-21 01:30:33,,0.0,95.0,18.0,0.0,23.5,73.0,0.0,9.0,32.0,,,,,,,2023,1,21,1,2.68,207.0
33.36,0.982,4,49.9031903,-85.1994053,0.982,2023-01-21 01:30:34,,0.0,96.0,18.0,0.0,23.5,74.0,0.0,8.0,27.5,,,,,,,2023,1,21,1,2.68,207.0
33.81,0.773,4,49.9031847,-85.1994032,0.773,2023-01-21 01:30:35,,0.0,96.0,18.0,0.0,23.5,75.5,0.0,6.5,23.5,,,,,,,2023,1,21,1,2.68,207.0
34.08,0.599,4,49.9031836,-85.1994032,0.599,2023-01-21 01:30:36,,0.0,94.0,18.0,0.0,23.5,76.5,0.0,5.0,19.5,,,,,,,2023,1,21,1,2.68,207.0
36.24,1.233,4,49.9031625,-85.1993962,1.233,2023-01-21 01:30:37,,0.0,95.0,17.0,1.0,24.0,77.5,0.0,4.0,15.0,,,,,,,2023,1,21,1,2.68,207.0
38.59,2.072,4,49.9031387,-85.1993871,2.072,2023-01-21 01:30:38,,0.0,93.0,17.0,25.0,24.0,78.5,17.0,2.5,11.0,85.0,,,,,,2023,1,21,1,2.68,207.0
