timestamp,cadence,heart_rate,power,battery_soc,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,left_right_balance,temperature,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
2023-02-01 14:55:17,86.0,83.0,198.0,48.0,0.0,0.0,6.345,3.0,20.5,75.5,50.5132328,-84.8148708,18.5,72.0,6.345,,,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:18,87.0,82.0,196.0,,0.0,7.76,6.687,3.0,22.0,79.0,50.5132831,-84.8147792,19.0,70.5,6.687,52.0,,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:19,90.0,84.0,206.0,,0.0,13.35,5.89,3.0,23.5,82.5,50.5133161,-84.8147133,19.5,69.0,5.89,50.0,,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:20,92.0,85.0,222.0,,0.0,20.39,6.703,3.0,21.0,79.5,50.513358,-84.8146294,21.0,75.5,6.703,47.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:21,93.0,86.0,240.0,,0.0,27.66,7.284,3.0,23.0,82.0,50.5134009,-84.8145426,23.5,80.0,7.284,47.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:22,95.0,86.0,241.0,,1.0,34.75,7.002,3.0,22.0,73.0,50.513437,-84.8144558,24.5,81.0,7.002,46.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:23,95.0,87.0,206.0,,1.0,41.97,7.135,3.0,11.5,39.5,50.5134663,-84.8143568,23.5,77.5,7.135,55.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:24,76.0,86.0,180.0,,1.0,49.28,7.328,3.0,1.0,5.5,50.5135058,-84.8142668,22.0,74.5,7.328,73.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:25,89.0,87.0,156.0,,1.0,56.85,7.548,3.0,3.0,13.0,50.5135422,-84.8141669,22.5,76.5,7.548,62.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:26,97.0,87.0,193.0,,1.0,65.06,8.048,2.0,6.5,25.5,50.5135825,-84.8140577,23.5,79.0,8.048,52.0,19.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:27,100.0,86.0,262.0,,2.0,73.27,8.063,2.0,10.0,38.0,50.5136171,-84.8139535,24.0,81.5,8.063,41.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:28,101.0,86.0,206.0,,2.0,81.38,8.108,2.0,13.5,49.5,50.5136588,-84.8138535,24.0,82.5,8.108,38.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:29,100.0,87.0,177.0,,2.0,89.55,8.181,2.0,16.0,56.0,50.5137034,-84.8137523,22.0,75.5,8.181,44.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:30,100.0,87.0,155.0,,2.0,97.58,8.14,2.0,19.0,62.0,50.5137423,-84.8136451,20.0,68.0,8.14,48.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:31,99.0,87.0,143.0,,2.0,105.31,7.853,3.0,18.5,61.0,50.5137729,-84.8135398,18.5,64.5,7.853,48.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:32,99.0,87.0,143.0,,2.0,111.5,6.736,3.0,17.5,57.5,50.5137974,-84.8134583,18.0,63.0,6.736,49.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:33,99.0,88.0,127.0,,3.0,119.39,7.254,3.0,18.0,59.0,50.5138422,-84.8133592,17.0,60.0,7.254,53.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:34,99.0,88.0,139.0,,3.0,127.25,7.702,3.0,20.5,70.0,50.5138868,-84.8132607,16.0,53.0,7.702,60.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:35,101.0,88.0,164.0,,3.0,134.97,7.832,3.0,21.0,72.0,50.5139302,-84.8131647,17.5,58.0,7.832,58.0,18.0,,,,,,2023,2,1,14,2.66,236.0
2023-02-01 14:55:36,97.0,88.0,177.0,,3.0,142.65,7.95,3.0,21.5,73.0,50.5139719,-84.8130688,19.5,64.5,7.95,55.0,18.0,,,,,,2023,2,1,14,2.66,236.0
