altitude,ascent,descent,enhanced_altitude,timestamp,battery_soc,cadence,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,calories,distance,temperature,year,month,day,hour,wind_speed,wind_direction
83.0,0,0,83.0,2023-02-01 23:34:22,3.0,90.0,6.916,2.0,0.0,22.0,52.0,73.0,50.5374037,-84.819167,200.0,23.5,78.5,6.916,,,,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:23,,91.0,7.276,2.0,0.0,23.5,51.0,74.5,50.5373446,-84.8190851,196.0,23.0,78.0,7.276,0.0,0.0,,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:24,,91.0,7.521,2.0,0.0,26.0,54.0,82.0,50.5372809,-84.8190032,212.0,23.0,77.5,7.521,0.0,7.77,,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:25,,93.0,7.887,2.0,0.0,26.5,53.0,88.5,50.5372171,-84.8189212,258.0,22.5,76.5,7.887,0.0,15.96,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:26,,94.0,7.976,3.0,0.0,22.0,49.0,76.0,50.5371534,-84.8188393,256.0,22.5,76.5,7.976,0.0,24.41,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:27,,95.0,7.253,3.0,0.0,23.5,51.0,78.0,50.5370852,-84.8187665,224.0,23.0,82.5,7.253,1.0,32.39,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:28,,95.0,7.318,3.0,0.0,23.0,54.0,77.0,50.537026,-84.8186846,234.0,23.0,85.0,7.318,1.0,40.42,10.0,2023,2,1,23,3.38,236.0
83.20000000000005,0,0,83.20000000000005,2023-02-01 23:34:29,,95.0,7.677,3.0,0.0,21.0,56.0,75.0,50.5369577,-84.8185936,219.0,22.5,83.0,7.677,1.0,48.93,10.0,2023,2,1,23,3.38,236.0
83.20000000000005,0,0,83.20000000000005,2023-02-01 23:34:30,,95.0,7.67,3.0,0.0,22.5,56.0,79.0,50.5368895,-84.8185207,205.0,21.5,75.5,7.67,1.0,57.43,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:31,,95.0,7.377,3.0,0.0,23.0,55.0,76.5,50.5368257,-84.8184388,198.0,21.0,76.0,7.377,1.0,65.35,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:32,,94.0,7.939,3.0,0.0,23.5,54.0,75.0,50.5367575,-84.8183751,190.0,21.0,76.0,7.939,2.0,73.28,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:33,,94.0,7.768,2.0,0.0,23.5,54.0,74.5,50.5366938,-84.8183023,186.0,21.0,74.5,7.768,2.0,80.98,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:34,,93.0,7.832,2.0,0.0,23.5,52.0,75.5,50.5366255,-84.8182386,187.0,20.5,72.0,7.832,2.0,88.85,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:35,,92.0,7.732,2.0,0.0,23.5,50.0,81.5,50.5365527,-84.8181658,211.0,20.5,68.0,7.732,2.0,96.54,10.0,2023,2,1,23,3.38,236.0
83.0,0,0,83.0,2023-02-01 23:34:36,,92.0,8.018,2.0,0.0,24.0,51.0,79.0,50.5364844,-84.8181111,221.0,23.5,79.5,8.018,2.0,104.51,10.0,2023,2,1,23,3.38,236.0
