altitude,ascent,cadence,descent,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,timestamp,battery_soc,calories,distance,grade,left_right_balance,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
11.600000000000023,0,92,0,11.600000000000023,6.157,2,50.5402072,-84.8218886,252,6.157,2023-02-02 23:14:33,,,,,,,,,,,2023,2,2,23,4.05,303.0
11.600000000000023,0,92,0,11.600000000000023,6.005,2,50.5401663,-84.8218886,235,6.005,2023-02-02 23:14:34,6.0,0.0,0.0,-2.12,45.0,,,,,,2023,2,2,23,4.05,303.0
11.800000000000011,0,94,0,11.800000000000011,6.215,2,50.5401071,-84.8218977,218,6.215,2023-02-02 23:14:35,,0.0,5.49,-0.48,51.0,,,,,,2023,2,2,23,4.05,303.0
12.0,0,95,0,12.0,6.591,2,50.5400343,-84.8218977,208,6.591,2023-02-02 23:14:36,,0.0,12.19,0.0,56.0,18.0,,,,,2023,2,2,23,4.05,303.0
12.0,0,89,0,12.0,7.111,2,50.5399615,-84.8219068,207,7.111,2023-02-02 23:14:37,,0.0,19.15,0.0,56.0,18.0,25.0,87.5,26.5,87.0,2023,2,2,23,4.05,303.0
12.0,0,85,0,12.0,7.283,2,50.5398841,-84.8219159,213,7.283,2023-02-02 23:14:38,,0.0,26.23,0.0,50.0,18.0,24.0,81.0,27.5,87.5,2023,2,2,23,4.05,303.0
12.200000000000045,0,84,0,12.200000000000045,6.887,2,50.5398113,-84.821925,197,6.887,2023-02-02 23:14:39,,1.0,33.22,0.49,48.0,18.0,21.5,73.0,26.0,82.0,2023,2,2,23,4.05,303.0
12.200000000000045,0,79,0,12.200000000000045,6.309,2,50.5397385,-84.8219341,174,6.309,2023-02-02 23:14:40,,1.0,39.82,0.98,45.0,18.0,19.5,67.0,24.0,77.5,2023,2,2,23,4.05,303.0
12.200000000000045,1,57,0,12.200000000000045,5.718,2,50.5396747,-84.8219341,154,5.718,2023-02-02 23:14:41,,1.0,45.65,1.29,40.0,18.0,19.0,64.5,23.0,76.5,2023,2,2,23,4.05,303.0
12.399999999999977,2,35,0,12.399999999999977,5.034,3,50.5396247,-84.8219341,134,5.034,2023-02-02 23:14:42,,1.0,50.59,1.31,31.0,18.0,19.0,62.0,21.5,75.5,2023,2,2,23,4.05,303.0
12.600000000000023,2,12,0,12.600000000000023,4.307,3,50.5395792,-84.8219341,114,4.307,2023-02-02 23:14:43,,1.0,54.83,1.11,22.0,18.0,18.5,59.5,20.5,74.5,2023,2,2,23,4.05,303.0
12.600000000000023,2,0,0,12.600000000000023,3.972,3,50.5395291,-84.8219432,0,3.972,2023-02-02 23:14:44,,1.0,59.16,1.0,14.0,18.0,18.5,61.0,18.0,66.5,2023,2,2,23,4.05,303.0
