distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,temperature,cadence,calories,power,altitude,enhanced_altitude,ascent,descent,grade,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,year,month,day,hour,wind_speed,wind_direction
0.0,7.382,4.0,50.5122315,-84.8133416,7.382,2023-02-06 14:55:28,,,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
4.85,7.324,4.0,50.5122575,-84.8132781,7.324,2023-02-06 14:55:29,78.0,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
15.01,7.094,4.0,50.5123115,-84.8131479,7.094,2023-02-06 14:55:30,,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
32.82,7.335,4.0,50.5124156,-84.8129348,7.335,2023-02-06 14:55:31,,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
45.02,7.365,4.0,50.512488,-84.8127849,7.365,2023-02-06 14:55:32,,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
54.47,7.542,4.0,50.512537,-84.812663,7.542,2023-02-06 14:55:33,,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
63.26,7.575,4.0,50.5125856,-84.8125606,7.575,2023-02-06 14:55:34,,19.0,,,,,,,,,,,,,,2023,2,6,14,3.93,187.0
71.98,7.462,4.0,50.5126397,-84.8124525,7.462,2023-02-06 14:55:35,,19.0,45.0,0.0,197.0,,,,,,,,,,,2023,2,6,14,3.93,187.0
80.32,7.224,4.0,50.5126907,-84.8123505,7.224,2023-02-06 14:55:36,,19.0,73.0,0.0,132.0,-5.0,-5.0,,,,,,,,,2023,2,6,14,3.93,187.0
88.55,7.443,4.0,50.5127435,-84.8122592,7.443,2023-02-06 14:55:37,,19.0,90.0,0.0,162.0,-5.0,-5.0,0.0,0.0,0.0,22.5,84.5,0.0,,,2023,2,6,14,3.93,187.0
97.39,7.747,4.0,50.512806,-84.81216,7.747,2023-02-06 14:55:38,,19.0,92.0,0.0,266.0,-5.0,-5.0,0.0,0.0,0.0,23.0,83.0,13.0,75.0,,2023,2,6,14,3.93,187.0
106.23,7.955,4.0,50.5128644,-84.8120627,7.955,2023-02-06 14:55:39,,19.0,93.0,0.0,274.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,23.0,81.5,20.5,75.0,,2023,2,6,14,3.93,187.0
114.96,8.241,4.0,50.5129127,-84.8119562,8.241,2023-02-06 14:55:40,,19.0,94.0,1.0,258.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,23.0,81.0,21.0,76.5,50.0,2023,2,6,14,3.93,187.0
124.42,8.835,4.0,50.5129631,-84.8118367,8.835,2023-02-06 14:55:41,,18.0,99.0,1.0,423.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,25.5,87.0,23.5,84.0,50.0,2023,2,6,14,3.93,187.0
134.56,9.528,4.0,50.5130138,-84.8117021,9.528,2023-02-06 14:55:42,,18.0,105.0,2.0,526.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,28.0,93.0,25.5,91.5,51.0,2023,2,6,14,3.93,187.0
144.83,10.038,4.0,50.513063,-84.8115751,10.038,2023-02-06 14:55:43,,18.0,114.0,2.0,628.0,-4.600000000000023,-4.600000000000023,0.0,0.0,0.0,29.5,96.5,28.5,96.0,50.0,2023,2,6,14,3.93,187.0
155.74,10.449,4.0,50.5131174,-84.8114314,10.449,2023-02-06 14:55:44,,18.0,121.0,3.0,606.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,29.0,95.5,31.0,97.0,47.0,2023,2,6,14,3.93,187.0
166.53,10.411,4.0,50.5131718,-84.8112936,10.411,2023-02-06 14:55:45,,18.0,107.0,3.0,429.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,26.0,86.5,29.5,95.0,42.0,2023,2,6,14,3.93,187.0
177.21,10.167,4.0,50.5132266,-84.8111566,10.167,2023-02-06 14:55:46,,18.0,95.0,4.0,303.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,24.5,82.0,19.5,76.0,33.0,2023,2,6,14,3.93,187.0
187.57,10.034,4.0,50.5132806,-84.8110288,10.034,2023-02-06 14:55:47,,18.0,86.0,4.0,249.0,-4.800000000000011,-4.800000000000011,0.0,0.0,0.0,23.5,82.5,21.0,77.5,51.0,2023,2,6,14,3.93,187.0
197.71,10.001,4.0,50.5133341,-84.8108969,10.001,2023-02-06 14:55:48,,18.0,87.0,4.0,208.0,-5.0,-5.0,0.0,0.0,0.0,23.0,82.5,24.5,83.0,55.0,2023,2,6,14,3.93,187.0
207.88,9.781,4.0,50.513392,-84.8107749,9.781,2023-02-06 14:55:49,,18.0,87.0,4.0,224.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,21.5,78.5,24.0,81.5,53.0,2023,2,6,14,3.93,187.0
218.14,9.645,4.0,50.5134452,-84.8106471,9.645,2023-02-06 14:55:50,,18.0,85.0,4.0,213.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,20.0,74.5,23.5,80.0,52.0,2023,2,6,14,3.93,187.0
228.08,9.445,4.0,50.513496,-84.8105176,9.445,2023-02-06 14:55:51,,18.0,87.0,5.0,208.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,21.0,75.5,22.5,80.0,54.0,2023,2,6,14,3.93,187.0
237.94,9.325,4.0,50.5135426,-84.8103898,9.325,2023-02-06 14:55:52,,18.0,90.0,5.0,208.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,21.0,75.5,22.5,80.0,56.0,2023,2,6,14,3.93,187.0
247.12,9.153,4.0,50.5135832,-84.8102661,9.153,2023-02-06 14:55:53,,18.0,91.0,5.0,213.0,-5.600000000000023,-5.600000000000023,0.0,0.0,0.0,21.0,75.0,22.5,80.0,51.0,2023,2,6,14,3.93,187.0
256.45,8.91,4.0,50.5136386,-84.8101523,8.91,2023-02-06 14:55:54,,18.0,89.0,5.0,221.0,-5.600000000000023,-5.600000000000023,0.0,0.0,0.0,21.5,76.0,22.5,80.0,48.0,2023,2,6,14,3.93,187.0
265.72,8.83,4.0,50.513687,-84.810036,8.83,2023-02-06 14:55:55,,18.0,88.0,6.0,218.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,23.5,80.0,24.0,80.0,49.0,2023,2,6,14,3.93,187.0
274.99,8.928,4.0,50.5137334,-84.8099156,8.928,2023-02-06 14:55:56,,18.0,86.0,6.0,221.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,24.0,81.5,24.5,82.0,50.0,2023,2,6,14,3.93,187.0
283.84,9.055,4.0,50.5137812,-84.8098075,9.055,2023-02-06 14:55:57,,18.0,86.0,6.0,244.0,-5.399999999999977,-5.399999999999977,0.0,0.0,0.0,24.0,83.5,25.0,84.0,51.0,2023,2,6,14,3.93,187.0
292.83,8.982,4.0,50.5138267,-84.8096938,8.982,2023-02-06 14:55:58,,18.0,86.0,6.0,243.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,24.5,85.0,25.0,86.5,52.0,2023,2,6,14,3.93,187.0
302.05,8.97,4.0,50.5138798,-84.8095809,8.97,2023-02-06 14:55:59,,18.0,87.0,6.0,238.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,24.5,86.5,26.0,88.5,53.0,2023,2,6,14,3.93,187.0
311.1,8.952,4.0,50.5139207,-84.8094639,8.952,2023-02-06 14:56:00,,17.0,87.0,7.0,234.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,24.5,86.5,27.0,90.0,52.0,2023,2,6,14,3.93,187.0
320.25,8.751,4.0,50.5139614,-84.8093433,8.751,2023-02-06 14:56:01,,17.0,87.0,7.0,236.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,24.0,86.0,28.5,91.5,52.0,2023,2,6,14,3.93,187.0
328.99,8.705,4.0,50.5140065,-84.809231,8.705,2023-02-06 14:56:02,,17.0,87.0,7.0,237.0,-5.199999999999989,-5.199999999999989,0.0,0.0,0.0,24.5,87.0,28.5,91.0,51.0,2023,2,6,14,3.93,187.0
337.85,8.825,4.0,50.5140703,-84.8091362,8.825,2023-02-06 14:56:03,,17.0,87.0,7.0,247.0,-5.0,-5.0,0.0,0.0,0.0,26.5,88.5,27.0,87.5,50.0,2023,2,6,14,3.93,187.0
