cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,left_right_balance,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
89,0,0.0,7.001,5,21.5,74.0,50.5156676,-84.8083718,202,20.5,70.0,7.001,2023-02-07 15:02:22,,,,,,,,,2023,2,7,15,3.54,241.0
89,0,3.22,6.956,5,21.0,72.5,50.5156793,-84.8083309,191,19.0,65.5,6.956,2023-02-07 15:02:23,74.0,61.0,,,,,,,2023,2,7,15,3.54,241.0
89,0,7.81,7.054,5,20.5,71.0,50.5157019,-84.8082719,174,18.0,61.5,7.054,2023-02-07 15:02:24,,63.0,10.0,,,,,,2023,2,7,15,3.54,241.0
75,0,14.52,7.234,5,20.0,69.5,50.515746,-84.8081944,161,16.5,57.0,7.234,2023-02-07 15:02:25,,65.0,10.0,,,,,,2023,2,7,15,3.54,241.0
62,0,23.1,7.108,5,19.5,68.0,50.5158214,-84.8081262,149,15.5,53.0,7.108,2023-02-07 15:02:26,,67.0,10.0,,,,,,2023,2,7,15,3.54,241.0
48,0,33.83,7.004,5,19.5,68.0,50.5159286,-84.8080661,136,16.0,57.0,7.004,2023-02-07 15:02:27,,69.0,10.0,,,,,,2023,2,7,15,3.54,241.0
36,0,45.22,7.144,4,19.5,68.5,50.5160421,-84.8080113,123,17.5,63.0,7.144,2023-02-07 15:02:28,,71.0,10.0,,,,,,2023,2,7,15,3.54,241.0
26,0,57.49,7.113,4,19.0,69.0,50.516166,-84.8079529,116,18.5,69.0,7.113,2023-02-07 15:02:29,,72.0,10.0,,,,,,2023,2,7,15,3.54,241.0
16,0,70.08,7.054,4,19.0,69.5,50.5162926,-84.8078929,110,20.0,75.0,7.054,2023-02-07 15:02:30,,73.0,10.0,,,,,,2023,2,7,15,3.54,241.0
7,0,80.7,6.967,4,19.0,70.5,50.5163971,-84.8078342,104,20.5,76.0,6.967,2023-02-07 15:02:31,,74.0,10.0,,,,,,2023,2,7,15,3.54,241.0
0,0,90.3,6.763,4,19.5,71.0,50.5164926,-84.807774,0,20.5,77.0,6.763,2023-02-07 15:02:32,,74.0,10.0,,,,,,2023,2,7,15,3.54,241.0
0,0,99.45,6.394,4,19.5,72.0,50.5165826,-84.8077197,0,21.0,78.0,6.394,2023-02-07 15:02:33,,75.0,10.0,,,,,,2023,2,7,15,3.54,241.0
0,0,107.61,6.009,4,20.0,72.5,50.5166564,-84.807658,0,21.0,79.0,6.009,2023-02-07 15:02:34,,75.0,10.0,,,,,,2023,2,7,15,3.54,241.0
0,0,115.91,5.844,3,20.0,73.5,50.5167334,-84.8075971,0,21.5,80.0,5.844,2023-02-07 15:02:35,,76.0,9.0,,,,,,2023,2,7,15,3.54,241.0
0,0,122.85,5.612,3,20.5,74.0,50.5167977,-84.8075473,0,21.5,81.0,5.612,2023-02-07 15:02:36,,77.0,9.0,,,,,,2023,2,7,15,3.54,241.0
0,0,129.07,5.033,3,20.5,75.0,50.5168357,-84.8074759,0,22.0,82.0,5.033,2023-02-07 15:02:37,,77.0,9.0,,,,,,2023,2,7,15,3.54,241.0
0,0,135.11,4.323,3,21.0,75.5,50.516867,-84.807401,0,22.5,82.5,4.323,2023-02-07 15:02:38,,78.0,9.0,,,,,,2023,2,7,15,3.54,241.0
0,0,139.79,4.077,4,21.0,76.5,50.516907,-84.8073587,0,22.5,83.5,4.077,2023-02-07 15:02:39,,79.0,9.0,,,,,,2023,2,7,15,3.54,241.0
18,0,144.09,4.278,4,21.5,77.0,50.5169487,-84.8073313,11,23.0,84.5,4.278,2023-02-07 15:02:40,,79.0,9.0,,,,,,2023,2,7,15,3.54,241.0
51,0,147.53,4.338,4,21.5,78.0,50.5169827,-84.8073159,80,23.0,85.5,4.338,2023-02-07 15:02:41,,80.0,9.0,,,,,,2023,2,7,15,3.54,241.0
63,1,150.82,4.433,4,21.5,78.5,50.5170105,-84.8072934,167,23.5,86.5,4.433,2023-02-07 15:02:42,,60.0,9.0,,,,,,2023,2,7,15,3.54,241.0
67,1,154.35,5.181,4,22.0,79.5,50.5170359,-84.8072693,202,23.5,87.5,5.181,2023-02-07 15:02:43,,47.0,9.0,,,,,,2023,2,7,15,3.54,241.0
70,1,157.96,6.301,4,22.0,80.0,50.5170651,-84.8073034,238,24.0,88.5,6.301,2023-02-07 15:02:44,,44.0,9.0,,,,,,2023,2,7,15,3.54,241.0
78,2,163.82,6.979,3,22.5,81.0,50.5170989,-84.8073698,305,24.0,89.5,6.979,2023-02-07 15:02:45,,43.0,9.0,,,,,,2023,2,7,15,3.54,241.0
84,2,170.83,7.066,3,22.5,81.5,50.5171373,-84.8074558,313,24.5,90.5,7.066,2023-02-07 15:02:46,,43.0,9.0,,,,,,2023,2,7,15,3.54,241.0
88,2,177.53,6.713,3,23.0,82.5,50.5171762,-84.8075386,317,25.0,91.5,6.713,2023-02-07 15:02:47,,49.0,9.0,,,,,,2023,2,7,15,3.54,241.0
91,2,183.82,6.448,3,23.5,84.5,50.517216,-84.8076106,294,25.0,90.5,6.448,2023-02-07 15:02:48,,54.0,9.0,,,,,,2023,2,7,15,3.54,241.0
93,3,190.43,6.573,3,25.5,88.5,50.5172654,-84.8076835,296,25.5,86.5,6.573,2023-02-07 15:02:49,,55.0,9.0,,,,,,2023,2,7,15,3.54,241.0
96,3,197.21,6.95,3,24.0,81.0,50.5173142,-84.8077565,281,26.5,90.5,6.95,2023-02-07 15:02:50,,51.0,9.0,,,,,,2023,2,7,15,3.54,241.0
96,3,204.09,7.346,3,22.0,80.0,50.5173576,-84.8078347,261,24.5,86.0,7.346,2023-02-07 15:02:51,,49.0,9.0,,,,,,2023,2,7,15,3.54,241.0
94,3,212.15,7.994,3,21.5,81.0,50.5174106,-84.8079272,242,24.0,84.0,7.994,2023-02-07 15:02:52,,56.0,9.0,,,,,,2023,2,7,15,3.54,241.0
92,4,219.27,8.074,3,22.5,82.0,50.5174583,-84.8080119,214,25.0,85.0,8.074,2023-02-07 15:02:53,,59.0,9.0,,,,,,2023,2,7,15,3.54,241.0
92,4,226.46,8.021,3,23.5,83.0,50.5175021,-84.8080967,214,26.0,86.0,8.021,2023-02-07 15:02:54,,57.0,9.0,,,,,,2023,2,7,15,3.54,241.0
92,4,234.86,8.031,3,22.5,79.0,50.5175574,-84.808189,220,25.5,84.5,8.031,2023-02-07 15:02:55,,51.0,9.0,,,,,,2023,2,7,15,3.54,241.0
