altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,temperature,timestamp,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,year,month,day,hour,wind_speed,wind_direction
54.200000000000045,0,,82.0,0,0,54.200000000000045,0.0,130.0,25,2023-02-07 23:30:52,17.5,63.0,21.0,69.5,53.0,0.0,6.492,5.0,50.5413996,-84.8234177,6.492,2023,2,7,23,4.84,308.0
54.200000000000045,0,,82.0,1,0,54.200000000000045,0.0,125.0,25,2023-02-07 23:30:53,17.5,61.5,20.5,68.5,53.0,6.0,6.463,5.0,50.5414449,-84.82348,6.463,2023,2,7,23,4.84,308.0
54.200000000000045,0,,81.0,1,0,54.200000000000045,0.0,129.0,25,2023-02-07 23:30:54,17.0,60.5,20.5,67.0,47.0,11.38,5.884,4.0,50.5414651,-84.8235435,5.884,2023,2,7,23,4.84,308.0
54.200000000000045,0,,81.0,1,0,54.200000000000045,0.0,136.0,25,2023-02-07 23:30:55,18.5,63.0,21.0,67.5,46.0,15.12,4.353,4.0,50.5414561,-84.8235966,4.353,2023,2,7,23,4.84,308.0
54.39999999999998,0,,82.0,1,0,54.39999999999998,0.0,149.0,25,2023-02-07 23:30:56,22.0,72.0,23.0,71.5,48.0,18.6,3.701,4.0,50.5414607,-84.8236444,3.701,2023,2,7,23,4.84,308.0
54.60000000000002,7,,82.0,1,0,54.60000000000002,0.06,156.0,24,2023-02-07 23:30:57,20.5,70.0,22.5,75.0,48.0,23.39,4.516,3.0,50.5414748,-84.8237085,4.516,2023,2,7,23,4.84,308.0
55.0,53,,83.0,1,0,55.0,0.56,157.0,24,2023-02-07 23:30:58,19.5,66.5,22.0,74.0,47.0,29.55,5.747,3.0,50.541502,-84.8237909,5.747,2023,2,7,23,4.84,308.0
55.0,53,,83.0,1,0,55.0,1.18,142.0,24,2023-02-07 23:30:59,18.5,64.0,22.0,72.0,49.0,36.75,6.875,3.0,50.5415234,-84.8238947,6.875,2023,2,7,23,4.84,308.0
55.0,53,,85.0,2,0,55.0,1.28,126.0,24,2023-02-07 23:31:00,19.0,63.0,22.5,71.0,53.0,41.79,5.475,3.0,50.5415262,-84.823962,5.475,2023,2,7,23,4.84,308.0
54.799999999999955,53,,87.0,2,0,54.799999999999955,0.0,119.0,24,2023-02-07 23:31:01,18.0,60.5,20.5,66.0,55.0,43.55,2.694,4.0,50.5415179,-84.8239802,2.694,2023,2,7,23,4.84,308.0
54.799999999999955,53,,88.0,2,0,54.799999999999955,0.0,117.0,24,2023-02-07 23:31:02,17.0,57.5,18.5,61.0,57.0,46.88,3.208,4.0,50.5415162,-84.8240267,3.208,2023,2,7,23,4.84,308.0
54.799999999999955,53,,88.0,2,0,54.799999999999955,0.0,114.0,24,2023-02-07 23:31:03,15.5,55.0,16.5,56.0,51.0,53.96,6.057,4.0,50.5415058,-84.8241278,6.057,2023,2,7,23,4.84,308.0
54.799999999999955,53,,88.0,2,0,54.799999999999955,0.0,98.0,24,2023-02-07 23:31:04,15.0,52.5,15.5,53.0,48.0,61.61,7.222,3.0,50.5414894,-84.8242338,7.222,2023,2,7,23,4.84,308.0
