cadence,calories,power,timestamp,altitude,ascent,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,battery_soc,year,month,day,hour,wind_speed,wind_direction
80.0,0,246.0,2023-02-11 00:00:24,31.200000000000045,0.0,0.0,5.07,31.200000000000045,6.658,2.0,0.0,25.5,55.0,87.5,50.5333506,-84.8186014,26.0,85.0,6.658,12.0,,2023,2,11,0,2.39,237.0
80.0,0,234.0,2023-02-11 00:00:25,31.200000000000045,0.0,0.0,11.19,31.200000000000045,6.064,2.0,0.0,26.0,56.0,86.5,50.5333235,-84.8186829,26.5,83.0,6.064,12.0,,2023,2,11,0,2.39,237.0
79.0,0,228.0,2023-02-11 00:00:26,30.799999999999955,0.0,0.0,17.42,30.799999999999955,5.902,2.0,0.0,27.0,55.0,88.0,50.5332958,-84.8187658,27.5,84.0,5.902,12.0,,2023,2,11,0,2.39,237.0
79.0,0,223.0,2023-02-11 00:00:27,30.799999999999955,0.0,0.0,23.56,30.799999999999955,5.989,2.0,0.0,28.0,54.0,89.5,50.5332651,-84.8188476,27.5,85.5,5.989,12.0,,2023,2,11,0,2.39,237.0
79.0,0,223.0,2023-02-11 00:00:28,30.600000000000023,0.0,0.0,29.76,30.600000000000023,5.776,2.0,0.0,28.0,52.0,92.0,50.5332367,-84.8189296,26.5,90.5,5.776,12.0,,2023,2,11,0,2.39,237.0
83.0,1,227.0,2023-02-11 00:00:29,30.799999999999955,0.0,0.0,35.77,30.799999999999955,5.911,2.0,0.0,28.5,52.0,89.0,50.5332095,-84.8190111,27.5,91.5,5.911,12.0,,2023,2,11,0,2.39,237.0
89.0,1,234.0,2023-02-11 00:00:30,30.799999999999955,0.0,0.0,42.31,30.799999999999955,6.402,2.0,0.0,27.5,51.0,87.0,50.5331822,-84.819093,27.0,89.0,6.402,12.0,,2023,2,11,0,2.39,237.0
90.0,1,217.0,2023-02-11 00:00:31,30.799999999999955,0.0,0.0,48.56,30.799999999999955,6.12,2.0,0.0,26.0,57.0,86.0,50.5331552,-84.8191741,26.0,86.0,6.12,12.0,,2023,2,11,0,2.39,237.0
88.0,1,186.0,2023-02-11 00:00:32,30.799999999999955,0.0,0.0,55.08,30.799999999999955,5.998,2.0,0.0,25.0,61.0,85.5,50.533128,-84.8192626,25.0,83.5,5.998,12.0,,2023,2,11,0,2.39,237.0
88.0,1,195.0,2023-02-11 00:00:33,30.799999999999955,0.0,0.0,61.66,30.799999999999955,6.064,2.0,0.0,26.0,60.0,88.5,50.533097,-84.8193475,26.0,85.0,6.064,12.0,,2023,2,11,0,2.39,237.0
